+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                ;
+------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; signal_processing_LI_inst|lock_in|filtro_cuadratura                                                                                                  ; 133   ; 33             ; 16           ; 33             ; 67     ; 33              ; 33            ; 33              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_LI_inst|lock_in|filtro_fase                                                                                                        ; 133   ; 33             ; 16           ; 33             ; 99     ; 33              ; 33            ; 33              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_LI_inst|lock_in|multiplicador|prod_cuadratura                                                                                      ; 68    ; 0              ; 0            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_LI_inst|lock_in|multiplicador|prod_fase                                                                                            ; 68    ; 0              ; 0            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_LI_inst|lock_in|multiplicador|ref                                                                                                  ; 36    ; 16             ; 0            ; 16             ; 64     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_LI_inst|lock_in|multiplicador                                                                                                      ; 119   ; 0              ; 2            ; 0              ; 129    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_LI_inst|lock_in                                                                                                                    ; 135   ; 0              ; 0            ; 0              ; 164    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_LI_inst                                                                                                                            ; 168   ; 1              ; 32           ; 1              ; 164    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|lock_in|filtro_cuadratura                                                                                                ; 133   ; 33             ; 16           ; 33             ; 67     ; 33              ; 33            ; 33              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|lock_in|filtro_fase                                                                                                      ; 133   ; 33             ; 16           ; 33             ; 99     ; 33              ; 33            ; 33              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|lock_in|multiplicador|prod_cuadratura                                                                                    ; 68    ; 0              ; 0            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|lock_in|multiplicador|prod_fase                                                                                          ; 68    ; 0              ; 0            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|lock_in|multiplicador|ref                                                                                                ; 36    ; 16             ; 0            ; 16             ; 64     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|lock_in|multiplicador                                                                                                    ; 119   ; 0              ; 2            ; 0              ; 129    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|lock_in                                                                                                                  ; 135   ; 0              ; 0            ; 0              ; 132    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|delay_ref_cos                                                                                                            ; 36    ; 0              ; 1            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|delay_ref_sen                                                                                                            ; 36    ; 0              ; 1            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst|promC                                                                                                                    ; 70    ; 0              ; 16           ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; signal_processing_CALI_inst                                                                                                                          ; 200   ; 32             ; 48           ; 32             ; 197    ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; delay_sync                                                                                                                                           ; 4     ; 1              ; 1            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; data|adc_2308|adc2streaming_inst                                                                                                                     ; 35    ; 16             ; 0            ; 16             ; 33     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
