Barrido en frecuencia desde 10000 hasta 2000000 con incrementos 1000
N: 32 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

10000,121796387.223633,-3123.751953125,7434.08839769834,-0.00146948367846037 
11000,121788688.68457,-4243.703125,7433.61850389146,-0.00199646027144865 
12000,121786779.875977,-5527.068359375,7433.50199904748,-0.00260026326484339 
13000,121784729.703125,-6402.6796875,7433.37686522608,-0.00301225386979276 
14000,121786299.758789,-5096.275390625,7433.47269297882,-0.00239760195955611 
15000,121782952.796875,-3451.568359375,7433.26840087815,-0.00162387505885146 
16000,121784036.660156,-4897.2080078125,7433.33455968627,-0.00230399121090955 
17000,121784014.931641,-3847.28125,7433.33323114172,-0.00181003211525928 
18000,121784298.572266,-3299.4599609375,7433.3505427388,-0.00155229477530461 
19000,121785867.645508,-5473.0439453125,7433.44631907021,-0.0025748662386485 
20000,121784580.598633,-4196.1787109375,7433.36775847188,-0.0019741688885606 
21000,121780837.615234,-567.3564453125,7433.13929359148,-0.000266931402610499 
22000,121784475.417969,-5461.1669921875,7433.36134161907,-0.00256930793998883 
23000,121786297.0625,-4976.556640625,7433.47252810319,-0.00234127893477688 
24000,121782939.523438,-6876.8564453125,7433.26759957269,-0.00323538626803406 
25000,121776373.512695,-2412.857421875,7432.86681945856,-0.00113524933313727 
26000,121784082.885742,-3083.4892578125,7433.33737753094,-0.00145068974879568 
27000,121784954.696289,-5507.4814453125,7433.39059546626,-0.00259108724172737 
28000,121783309.321289,-6561.697265625,7433.29016986978,-0.0030871025060354 
29000,121783788.636719,-4492.26171875,7433.31942012221,-0.00211348028926583 
30000,121780368.391602,-3948.85546875,7433.11065740681,-0.00185787541272403 
31000,121777491.154297,-5789.7646484375,7432.9350439119,-0.00272405906325703 
32000,121778415.733398,-3740.3369140625,7432.99147256931,-0.00175979887548006 
33000,121781876.235352,-4605.5244140625,7433.20269310202,-0.00216680116452209 
34000,121776830.955078,-3661.064453125,7432.89474227795,-0.00172252422715464 
35000,121779338.919922,-3871.43359375,7433.04782137269,-0.00182146501598415 
36000,121782935.405273,-3759.283203125,7433.26733990268,-0.0017686473129284 
37000,121781457.233398,-3688.48046875,7433.17711656583,-0.00173535748719248 
38000,121783534.008789,-5242.7236328125,7433.30388022324,-0.00246655625140922 
39000,121783765.330078,-2531.4326171875,7433.31799410307,-0.00119096666680159 
40000,121779177.064453,-6057.224609375,7433.03794763601,-0.00284985835640915 
41000,121782018.49707,-5543.8935546875,7433.21137871993,-0.00260828081562462 
42000,121781735.097656,-3622.7734375,7433.1940764514,-0.0017044397328809 
43000,121785644.925781,-4987.837890625,7433.43272365013,-0.00234659889548247 
44000,121782896.541016,-6672.9541015625,7433.26497536143,-0.00313945650317689 
45000,121782439.384766,-3257.8271484375,7433.23706340776,-0.00153273121220983 
46000,121782115.90625,-6284.3203125,7433.2173264806,-0.00295663306566431 
47000,121781089.128906,-3507.7431640625,7433.15464823903,-0.00165032912990561 
48000,121781507.978516,-4299.818359375,7433.18021512033,-0.00202297909306676 
49000,121780129.799805,-5347.4658203125,7433.09609773312,-0.00251590487628088 
50000,121778972.233398,-3015.1826171875,7433.02543844268,-0.00141861304314221 
51000,121777563.960938,-4386.2177734375,7432.93948423289,-0.00206369513529745 
52000,121775871.443359,-6738.234375,7432.8361845627,-0.00317035210742075 
53000,121780344.042969,-4901.9443359375,7433.10917335283,-0.00230628944196849 
54000,121776182.541992,-4684.1171875,7432.85516721576,-0.00220388042927469 
55000,121778046.407227,-4579.2490234375,7432.96893174986,-0.00215450690825944 
56000,121776229.145508,-5987.5625,7432.85801524142,-0.00281715128602337 
57000,121779041.696289,-5460.6767578125,7433.02968344492,-0.00256919193105848 
58000,121777727.708984,-4959.015625,7432.94948026701,-0.00233319073233055 
59000,121775479.540039,-5913.8427734375,7432.81226133839,-0.00278248324404363 
60000,121777017.791016,-4845.0205078125,7432.90614871045,-0.00227956991919369 
61000,121777351.283203,-3932.5537109375,7432.92650207221,-0.00185025152783056 
62000,121783555.435547,-10011.0419921875,7433.30520627574,-0.00470991712581551 
63000,121776843.657227,-5410.236328125,7432.89552155572,-0.00254550617552957 
64000,121781244.526367,-6395.8037109375,7433.1641404045,-0.00300910505816491 
65000,121777177.213867,-3665.9931640625,7432.91587689126,-0.00172483827238214 
66000,121780848.043945,-4575.0693359375,7433.13993529365,-0.00215249087205425 
67000,121782329.408203,-4044.4208984375,7433.23035220565,-0.00190280682834579 
68000,121776542.874023,-4925.3759765625,7432.87716138977,-0.00231738600191837 
69000,121782117.714844,-4880.9716796875,7433.21743294518,-0.00229638868387934 
70000,121779807.304688,-3906.3125,7433.07641025047,-0.00183786807177695 
71000,121780063.583008,-4948.634765625,7433.09205502815,-0.00232826193322436 
72000,121781778.865234,-4386.0234375,7433.19674942574,-0.00206353227918973 
73000,121780428.730469,-4055.08984375,7433.11434052447,-0.00190785609748176 
74000,121783084.142578,-6364.6416015625,7433.27642499423,-0.00299439864015902 
75000,121782930.03125,-5463.0048828125,7433.26701582575,-0.00257020522460943 
76000,121782262.101563,-7129.126953125,7433.22625264637,-0.00335409179064004 
77000,121782798.93457,-5594.748046875,7433.2590144403,-0.00263218987495688 
78000,121793652.390625,-7423.421875,7433.92148300771,-0.00349222421782492 
79000,121782790.760742,-4614.4853515625,7433.25851302629,-0.00217100079158451 
80000,121782764.709961,-5844.109375,7433.25692618698,-0.00274950895342844 
81000,121778689.458008,-8015.45703125,7433.00819249831,-0.00377120052892545 
82000,121781611.135742,-6476.3486328125,7433.18651740766,-0.00304699075258632 
83000,121782014.110352,-5763.9853515625,7433.21111159138,-0.00271182929585892 
84000,121779356.330078,-7559.0068359375,7433.04889459987,-0.00355642533763799 
85000,121780056.136719,-5699.2470703125,7433.0916025318,-0.00268141445858925 
86000,121783178.024414,-4249.5302734375,7433.28214963568,-0.00199929213075234 
87000,121780612.256836,-4618.1884765625,7433.12554365074,-0.00217278188762997 
88000,121779232.730469,-703.6474609375,7433.04133625304,-0.000331058332955645 
89000,121777204.790039,-8905.451171875,7432.91757656561,-0.00418998585801367 
90000,121782425.510742,-9262.0322265625,7433.23623541668,-0.0043575692719817 
91000,121783769.472656,-6371.076171875,7433.31825551967,-0.00299740907062127 
92000,121777273.873047,-6281.6337890625,7432.92178320014,-0.00295548662565762 
93000,121778111.164063,-4859.6962890625,7432.97288497747,-0.00228645430832592 
94000,121787803.574219,-4045.189453125,7433.56447898186,-0.00190308287125334 
95000,121779413.775391,-4022.8466796875,7433.0523906269,-0.00189270196944443 
96000,121781228.946289,-5733.6298828125,7433.1631874302,-0.00269756510239686 
97000,121782992.443359,-4125.259765625,7433.27082206052,-0.0019408290856785 
98000,121782116.649414,-7580.9453125,7433.2173763464,-0.00356666629317262 
99000,121780793.240234,-8527.4189453125,7433.13660321609,-0.00401200470047805 
100000,121775007.12207,-6869.1123046875,7432.7834294142,-0.00323195336172731 
101000,121778366.084961,-8380.859375,7432.98845627301,-0.0039431295193026 
102000,121775732.28418,-7132.029296875,7432.82769207008,-0.00335563720244171 
103000,121778503.380859,-5862.4892578125,7432.99682741607,-0.00275825274846293 
104000,121781638.255859,-1744.1806640625,7433.18816299018,-0.000820601464913084 
105000,121774053.041016,-2479.6533203125,7432.7251848666,-0.00116669903269146 
106000,121778319.421875,-966.3193359375,7432.98559072902,-0.000454645949071914 
107000,121775883.563477,-1422.787109375,7432.8369134671,-0.00066942397889976 
108000,121775649.756836,-3356.5478515625,7432.82264492293,-0.00157926503339175 
109000,121774665.960938,-7612.4482421875,7432.76260865349,-0.00358170685198915 
110000,121772238.282227,-8131.291015625,7432.61443242948,-0.00382590205343638 
111000,121775065.926758,-10370.04296875,7432.78703380233,-0.00487915723568413 
112000,121772941.806641,-12741.7763671875,7432.65739758061,-0.00599517426321408 
113000,121773871.842773,-12463.5302734375,7432.71416245572,-0.00586421101014158 
114000,121773320.924805,-12902.68359375,7432.68053885719,-0.00607086433985424 
115000,121775841.067383,-10921.15234375,7432.83434901581,-0.00513842425192084 
116000,121774736.615234,-9845.0283203125,7432.76693094889,-0.00463214773762153 
117000,121775473.806641,-5720.4140625,7432.81191082486,-0.00269147450107955 
118000,121779113.211914,-20.796875,7433.03404107278,-9.78470883169928E-06 
119000,121775757.720703,4890.12109375,7432.829237885,0.00230081343835099 
120000,121777312.59668,5046.9208984375,7432.92414326985,0.0023745577947593 
121000,121775436.566406,1683.6083984375,7432.8096303015,0.000792143787753938 
122000,121776211.072266,4360.056640625,7432.85690788409,0.00205140923370335 
123000,121775495.75,3703.7099609375,7432.81324541904,0.00174260796829357 
124000,121777254.736328,3617.001953125,7432.92060854175,0.00170178697813816 
125000,121768398.142578,-6311.8056640625,7432.38003516726,-0.00296989884773075 
126000,121774639.759766,-15159.947265625,7432.76105248637,-0.00713285617750549 
127000,121782434.865234,-11935.46875,7433.23682058846,-0.00561535811344644 
128000,121773568.358398,-23202.6259765625,7432.69573466611,-0.0109170860631825 
129000,121774435.037109,-25171.40625,7432.74865801809,-0.0118433341247216 
130000,121770777.100586,-27372.9521484375,7432.52541747368,-0.0128795647186084 
131000,121775221.746094,-28784.0205078125,7432.79672523786,-0.013543008488543 
132000,121770328.707031,-21537.6044921875,7432.49797733799,-0.0101339450953219 
133000,121778782.554688,-22040.720703125,7433.01398048406,-0.0103699530692835 
134000,121780282.567383,-13059.87109375,7433.10545778749,-0.00614447163377359 
135000,121776537.678711,-3340.1826171875,7432.87684099976,-0.00157155368651336 
136000,121779722.0625,5116.720703125,7433.07121005845,0.00240735071569057 
137000,121777361.304688,5516.9375,7432.92711750577,0.00259569784551601 
138000,121781372.258789,16398.625,7433.17199394988,0.00771523574756762 
139000,121796442.142578,19598.8193359375,7434.09184358932,0.00921972433629785 
140000,121777764.311523,20090.58203125,7432.95180936733,0.00945251010655681 
141000,121782252.402344,25242.7177734375,7433.22580757879,0.0118761243335081 
142000,121791960.748047,22945.4619140625,7433.8183483075,0.0107944572287427 
143000,121778946.466797,19001.9814453125,7433.02395393535,0.00894024264418475 
144000,121765804.945313,8679.673828125,7432.22176303375,0.00408414067712018 
145000,121772768.955078,4028.4736328125,7432.64681061512,0.0018954528088364 
146000,121763113.598633,-10723.083984375,7432.05750119313,-0.0050457600493523 
147000,121767371.125,-14794.8896484375,7432.31739395116,-0.00696150966563727 
148000,121767272.888672,-25048.1484375,7432.31150028612,-0.0117860336016184 
149000,121762002.602539,-52349.3310546875,7431.99034735277,-0.024633263915292 
150000,121769935.384766,-52433.2041015625,7432.47454288972,-0.0246711235101304 
151000,121759253.900391,-53640.564453125,7431.82260908602,-0.0252414305819407 
152000,121764455.890625,-61207.052734375,7432.14034083234,-0.0288007323409354 
