Barrido en frecuencia desde 100 hasta 80001 con incrementos 100
Metodo usado: CA de 64 ciclos seguida de LI de 1 ciclo 
Formato: frecuencia,X,Y,R,phi 

100,121731228.509888,-168084.353027344,7430.11838458211,-0.0791129608084641 
200,121688071.316528,-1085707.9666748,7427.77273443323,-0.511182674441127 
300,121609843.011597,-2372378.30749512,7424.11457380921,-1.11759066439153 
400,121491596.456299,-3785534.47558594,7419.08374507583,-1.78469131502468 
500,121333592.119263,-5248592.25341797,7412.76648141439,-2.47693007080798 
600,121137143.206665,-6735175.0267334,7405.26964325067,-3.18234511720869 
700,120895364.446777,-8273246.27075195,7396.35095058544,-3.91482506981123 
800,120628308.925049,-9729060.80871582,7386.70082498792,-4.61110772075777 
900,120319826.291504,-11202806.5283203,7375.72798612864,-5.31939163090546 
1000,119971901.369995,-12683686.6981201,7363.53718973984,-6.03501451363454 
1100,119589640.058594,-14151971.2347412,7350.327171368,-6.74886819769251 
1200,119170527.960083,-15604072.7824707,7335.90364323774,-7.45981380681965 
1300,118721450.194702,-17024433.7431641,7320.52826740728,-8.16047630804414 
1400,118229874.865479,-18462620.1713867,7303.85700828722,-8.87555104044704 
1500,117708900.243896,-19866137.8265381,7286.2067047008,-9.57972960043985 
1600,117156445.276245,-21251670.642334,7267.57564973281,-10.2814106553087 
1700,116573980.642944,-22609930.1999512,7247.92482641109,-10.9764334496725 
1800,115964551.053711,-23951160.4116211,7227.52410723641,-11.6697026149472 
1900,115322804.914429,-25274551.9935303,7206.02753947352,-12.3616963680877 
2000,114657495.476196,-26563891.0498047,7183.7178606799,-13.0441718047146 
2100,113960903.294067,-27834301.3399658,7160.30464833717,-13.7254470899848 
2200,113245263.73584,-29078380.1962891,7136.38445003403,-14.4009200879843 
2300,112489173.335938,-30314788.4813232,7110.95692106421,-15.0823747796993 
2400,111735787.692871,-31486145.8383789,7085.62336370794,-15.7373616965727 
2500,110947037.221802,-32651927.1671143,7059.05550923085,-16.3992578211612 
2600,110101702.595459,-33835480.0489502,7030.45375044288,-17.0827764830653 
2700,109312413.568604,-34897961.9729004,7003.86734155215,-17.7056704912342 
2800,108277847.32251,-36218050.7370605,6968.87726007575,-18.4946651475685 
2900,107605866.357178,-37035370.6959229,6946.06670216667,-18.9922402725664 
3000,106731791.409912,-38060208.0897217,6916.40051418275,-19.6260682958066 
