Barrido en frecuencia desde 200 hasta 125000 con incrementos 200
Metodo usado: LI de 64 ciclos
Formato: frecuencia,X,Y,R,phi 

200,121650709.712433,-2470850.90679932,7426.72810360181,-1.1635761628461 
400,121402707.748138,-5561124.3678894,7417.82957940849,-2.62272878029163 
600,120996074.611755,-8640612.13372803,7404.04708440264,-4.08469118455051 
800,120436997.044006,-11695808.7668152,7385.69675320758,-5.54668236541465 
1000,119725865.12384,-14692166.0708008,7362.52764034746,-6.99607669431727 
1200,118875181.860504,-17609674.6690674,7334.96601691021,-8.42627884227226 
1400,117887880.885681,-20462784.466156,7303.11898207867,-9.84719263993093 
1600,116766100.175262,-23251557.8292542,7266.98378243597,-11.2619586137859 
1800,115529171.168732,-25935072.7962341,7227.05558965616,-12.6525341858777 
2000,114180132.796509,-28525534.6506653,7183.413763503,-14.0270342472648 
2200,112576617.322174,-31259918.7569275,7131.32804017867,-15.5187415424469 
2400,111179156.906281,-33405423.0938721,7085.74523745879,-16.723673265629 
2600,109505649.490753,-35732156.0218506,7030.73184769838,-18.0717232837628 
2800,107839192.190765,-37849769.0454102,6975.83872845088,-19.3402278016469 
3000,106070582.340942,-39900603.9259949,6917.14701406607,-20.6148095429907 
3200,104230901.190369,-41850032.1240234,6855.60285441525,-21.8760878908941 
3400,102365641.727692,-43659176.1459045,6792.64096050372,-23.0983566424856 
3600,100442223.179688,-45374792.8451843,6727.24095307343,-24.311082095841 
3800,98529412.6662292,-46938982.4792786,6661.51695074653,-25.4729264272245 
4000,96551895.1381531,-48433731.3944702,6593.15504652995,-26.6399078044393 
4200,94573085.7613525,-49801415.3424988,6523.89788382617,-27.7709248503573 
4400,92634146.792511,-51039733.0141907,6455.55268739513,-28.8539662505546 
4600,90550341.5349426,-52252741.1681824,6381.13157738013,-29.9874116223571 
4800,88590798.1980286,-53302190.8165894,6310.60586897542,-31.0339490824362 
5000,86584142.0489807,-54279442.6217651,6237.45522657704,-32.0835250209596 
5200,84586257.1786499,-55159592.8666382,6163.65574087291,-33.1087958380633 
5400,82731400.5255432,-55913286.0134583,6094.77791972417,-34.0524466583242 
5600,80813075.6530457,-56609428.5532532,6022.40255735116,-35.0111801770029 
5800,79182702.937439,-57147421.092804,5960.32918202779,-35.8185854520344 
6000,77043252.3067627,-57777267.5682678,5877.92367169688,-36.8674360763068 
6200,75158262.4733887,-58263372.0657349,5804.41991187011,-37.7831699218604 
6400,73368768.461792,-58663910.8861084,5733.72238042296,-38.6449942663544 
