Datos provenientes de SR865 
F,X,Y,R,T,



+1.000000e+02,+1.006478e+00,-1.153197e-02,+1.006544e+00,-6.564512e-01,
+2.000000e+02,+1.005824e+00,-2.559617e-02,+1.006150e+00,-1.457745e+00,
+3.000000e+02,+1.004900e+00,-3.901704e-02,+1.005657e+00,-2.223495e+00,
+4.000000e+02,+1.003575e+00,-5.225795e-02,+1.004935e+00,-2.980802e+00,
+5.000000e+02,+1.001925e+00,-6.537702e-02,+1.004055e+00,-3.733339e+00,
+6.000000e+02,+9.999169e-01,-7.838687e-02,+1.002985e+00,-4.482443e+00,
+7.000000e+02,+9.976366e-01,-9.129931e-02,+1.001806e+00,-5.228892e+00,
+8.000000e+02,+9.950512e-01,-1.040982e-01,+1.000482e+00,-5.972329e+00,
+9.000000e+02,+9.920074e-01,-1.167639e-01,+9.988556e-01,-6.713092e+00,
+1.000000e+03,+9.887369e-01,-1.293094e-01,+9.971568e-01,-7.450992e+00,
+1.100000e+03,+9.851770e-01,-1.417159e-01,+9.953176e-01,-8.185742e+00,
+1.200000e+03,+9.813626e-01,-1.539812e-01,+9.933695e-01,-8.917317e+00,
+1.300000e+03,+9.771821e-01,-1.660781e-01,+9.911947e-01,-9.645604e+00,
+1.400000e+03,+9.726882e-01,-1.779989e-01,+9.888408e-01,-1.037020e+01,
+1.500000e+03,+9.679759e-01,-1.897536e-01,+9.863994e-01,-1.109112e+01,
+1.600000e+03,+9.628296e-01,-2.012862e-01,+9.836448e-01,-1.180802e+01,
+1.700000e+03,+9.576865e-01,-2.126793e-01,+9.810178e-01,-1.252083e+01,
+1.800000e+03,+9.522046e-01,-2.238518e-01,+9.781632e-01,-1.322933e+01,
+1.900000e+03,+9.464766e-01,-2.348133e-01,+9.751694e-01,-1.393331e+01,
+2.000000e+03,+9.405519e-01,-2.455707e-01,+9.720817e-01,-1.463281e+01,
+2.100000e+03,+9.343919e-01,-2.561009e-01,+9.688528e-01,-1.532739e+01,
+2.200000e+03,+9.279955e-01,-2.663984e-01,+9.654759e-01,-1.601711e+01,
+2.300000e+03,+9.212983e-01,-2.764319e-01,+9.618759e-01,-1.670166e+01,
+2.400000e+03,+9.145817e-01,-2.862797e-01,+9.583401e-01,-1.738101e+01,
+2.500000e+03,+9.076275e-01,-2.958709e-01,+9.546345e-01,-1.805507e+01,
+2.600000e+03,+9.005679e-01,-3.052402e-01,+9.508913e-01,-1.872367e+01,
+2.700000e+03,+8.932937e-01,-3.143441e-01,+9.469877e-01,-1.938663e+01,
+2.800000e+03,+8.858633e-01,-3.231946e-01,+9.429786e-01,-2.004378e+01,
+2.900000e+03,+8.783485e-01,-3.318152e-01,+9.389341e-01,-2.069514e+01,
+3.000000e+03,+8.707533e-01,-3.402046e-01,+9.348533e-01,-2.134066e+01,
+3.100000e+03,+8.629255e-01,-3.482957e-01,+9.305646e-01,-2.198009e+01,
+3.200000e+03,+8.550677e-01,-3.561662e-01,+9.262804e-01,-2.261347e+01,
+3.300000e+03,+8.470957e-01,-3.637792e-01,+9.219037e-01,-2.324076e+01,
+3.400000e+03,+8.389623e-01,-3.711106e-01,+9.173771e-01,-2.386196e+01,
