Datos provenientes de SR865 
F,X,Y,R,T,



+2.000000e+02,+1.003601e+00,-1.399975e-02,+1.003698e+00,-7.991970e-01,
+4.000000e+02,+1.001763e+00,-4.065502e-02,+1.002587e+00,-2.323987e+00,
+6.000000e+02,+9.984238e-01,-6.678624e-02,+1.000655e+00,-3.826909e+00,
+8.000000e+02,+9.938830e-01,-9.249993e-02,+9.981781e-01,-5.317157e+00,
+1.000000e+03,+9.878778e-01,-1.177243e-01,+9.948676e-01,-6.795825e+00,
+1.200000e+03,+9.806817e-01,-1.424081e-01,+9.909676e-01,-8.262359e+00,
+1.400000e+03,+9.723582e-01,-1.664749e-01,+9.865060e-01,-9.715265e+00,
+1.600000e+03,+9.629603e-01,-1.898492e-01,+9.814964e-01,-1.115292e+01,
+1.800000e+03,+9.524082e-01,-2.124348e-01,+9.758124e-01,-1.257401e+01,
+2.000000e+03,+9.410410e-01,-2.342311e-01,+9.697537e-01,-1.397725e+01,
+2.200000e+03,+9.287544e-01,-2.551473e-01,+9.631640e-01,-1.536133e+01,
+2.400000e+03,+9.155979e-01,-2.751224e-01,+9.560396e-01,-1.672468e+01,
+2.600000e+03,+9.017857e-01,-2.941752e-01,+9.485549e-01,-1.806706e+01,
+2.800000e+03,+8.873317e-01,-3.122523e-01,+9.406695e-01,-1.938699e+01,
+3.000000e+03,+8.723301e-01,-3.293356e-01,+9.324279e-01,-2.068330e+01,
+3.200000e+03,+8.569818e-01,-3.454661e-01,+9.239939e-01,-2.195533e+01,
+3.400000e+03,+8.411248e-01,-3.605629e-01,+9.151484e-01,-2.320324e+01,
+3.600000e+03,+8.249722e-01,-3.746747e-01,+9.060686e-01,-2.442595e+01,
+3.800000e+03,+8.086283e-01,-3.878443e-01,+8.968294e-01,-2.562389e+01,
+4.000000e+03,+7.919961e-01,-4.000012e-01,+8.872761e-01,-2.679626e+01,
+4.200000e+03,+7.752770e-01,-4.112374e-01,+8.775936e-01,-2.794324e+01,
+4.400000e+03,+7.586088e-01,-4.216257e-01,+8.679029e-01,-2.906478e+01,
+4.600000e+03,+7.419307e-01,-4.311211e-01,+8.580947e-01,-3.016002e+01,
+4.800000e+03,+7.252972e-01,-4.397700e-01,+8.482062e-01,-3.122972e+01,
+5.000000e+03,+7.087686e-01,-4.476182e-01,+8.382810e-01,-3.227419e+01,
+5.200000e+03,+6.923567e-01,-4.546807e-01,+8.283069e-01,-3.329348e+01,
+5.400000e+03,+6.760851e-01,-4.609875e-01,+8.182912e-01,-3.428805e+01,
+5.600000e+03,+6.600680e-01,-4.666207e-01,+8.083468e-01,-3.525756e+01,
+5.800000e+03,+6.442097e-01,-4.715416e-01,+7.983468e-01,-3.620298e+01,
+6.000000e+03,+6.286601e-01,-4.758728e-01,+7.884595e-01,-3.712440e+01,
+6.200000e+03,+6.133368e-01,-4.795813e-01,+7.785758e-01,-3.802262e+01,
+6.400000e+03,+5.982189e-01,-4.826628e-01,+7.686542e-01,-3.889774e+01,
+6.600000e+03,+5.834714e-01,-4.852780e-01,+7.589029e-01,-3.975058e+01,
+6.800000e+03,+5.690615e-01,-4.874204e-01,+7.492727e-01,-4.058117e+01,
