----- Barrido de N desde 1 a 1024-----
frecuencia: 200 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 

1,-148.18994140625,-99.427001953125,0.0108923270869102,-146.140641246097 
2,-128.078857421875,-208.152099609375,0.0149174637013564,-121.604558823069 
3,-178.704345703125,-392.276123046875,0.0263108351857416,-114.491995198028 
4,-192.404541015625,-603.85009765625,0.038682951641673,-107.673420827688 
5,-276.82373046875,-525.910888671875,0.0362753864717656,-117.760974185741 
6,-1065.86401367188,-680.474853515625,0.0771849757824764,-147.444797780587 
7,-437.767822265625,-660.23486328125,0.0483523668699867,-123.546313659285 
8,-630.49267578125,-462.985107421875,0.0477446928118688,-143.709315638544 
9,-1039.41333007813,-1153.54150390625,0.0947753394636358,-132.020837589535 
10,-592.326171875,-1575.1923828125,0.102717910310243,-110.607976259843 
11,-1214.61450195313,-1486.46411132813,0.117166658124282,-129.252828725605 
12,-1491.52783203125,-1180.09350585938,0.116087146307535,-141.649033273708 
13,-1491.6279296875,-1082.24755859375,0.112484016816673,-144.037315592874 
14,-1737.18383789063,-1845.23876953125,0.15468656646196,-133.272338097927 
15,-1686.9443359375,-1877.12524414063,0.154042978460435,-131.945559381708 
16,-1807.43701171875,-1693.3994140625,0.15117515639161,-136.86571513685 
17,-1813.5107421875,-1737.49951171875,0.153295609444952,-136.226258840647 
18,-1563.61962890625,-1665.80395507813,0.139450677042228,-133.187671039647 
19,-1772.40234375,-2787.32690429688,0.201612594392554,-122.451419538312 
20,-1862.10668945313,-2142.408203125,0.173256502518154,-130.996033920941 
21,-1499.89453125,-2599.24169921875,0.183169449960713,-119.987130075663 
22,-2020.7451171875,-2249.01123046875,0.184544519302822,-131.939814566891 
23,-2515.08862304688,-2476.619140625,0.215446957395096,-135.441551359176 
24,-2923.30639648438,-3563.89477539063,0.28134733168381,-129.360525096802 
25,-2983.95825195313,-3313.30200195313,0.272159249150449,-132.006185288017 
26,-2524.59399414063,-3497.37158203125,0.263275402526805,-125.823810259805 
27,-2817.7099609375,-2404.82446289063,0.226106280736713,-139.520313719859 
28,-2298.92504882813,-3298.10009765625,0.24538491481255,-124.878242288704 
29,-2779.23608398438,-3230.45166015625,0.260106312098236,-130.706210742281 
30,-3257.63720703125,-3882.51904296875,0.309344827029882,-129.998414407469 
31,-2581.34326171875,-3143.28344726563,0.248260628594583,-129.393698858948 
32,-3472.5341796875,-3507.4697265625,0.301258578155098,-134.713231868695 
33,-2675.6943359375,-3940.93872070313,0.290746033698558,-124.17448400772 
34,-3711.59204101563,-3296.724609375,0.303006283056018,-138.387753012857 
35,-3085.38500976563,-4025.20336914063,0.309559775761086,-127.470762222892 
36,-3352.92797851563,-4027.81958007813,0.319879733990658,-129.775433472861 
37,-3892.67260742188,-4010.37426757813,0.341130879601832,-134.146745561207 
38,-3513.49365234375,-4696.77709960938,0.35801400055795,-126.798869516993 
39,-4578.75048828125,-4367.72875976563,0.386234667474617,-136.351192197582 
40,-3352.18139648438,-4353.20141601563,0.335356527487277,-127.598058391011 
41,-3540.701171875,-5310.53173828125,0.38957836465099,-123.692656925671 
42,-4032.93774414063,-4721.75512695313,0.379017567374508,-130.501248103316 
43,-3705.01806640625,-5704.3994140625,0.41517437517823,-123.00379905187 
44,-5657.45068359375,-5873.63940429688,0.497765732878289,-133.925925460844 
45,-4696.63037109375,-5264.92504882813,0.430636705432169,-131.734884245756 
46,-5373.9736328125,-5676.33764648438,0.477106515236283,-133.432635987181 
47,-3819.802734375,-4626.513671875,0.36619933442337,-129.544207508359 
48,-4384.86791992188,-6204.22485351563,0.463718574354551,-125.250956460344 
49,-4521.08618164063,-4705.53686523438,0.39829775560565,-133.854744782437 
50,-4728.8544921875,-6026.01977539063,0.467541091579507,-128.122670309732 
51,-5966.76147460938,-7854.25,0.602047464744442,-127.223417707993 
52,-4739.43530273438,-6676.26586914063,0.49973916391383,-125.370680793406 
53,-4775.2666015625,-6260.00952148438,0.480570658761891,-127.337148099943 
54,-5848.13037109375,-6688.13134765625,0.542274427700454,-131.166586444164 
55,-4498.90234375,-6911.94482421875,0.503380046249207,-123.059622445504 
56,-6204.56396484375,-6138.76733398438,0.532741921158942,-135.305414596533 
57,-5974.39233398438,-5888.61791992188,0.512017228378641,-135.414264690991 
58,-4549.07080078125,-6598.5126953125,0.48918958358663,-124.582710107181 
59,-5961.53051757813,-7615.3857421875,0.590307013483022,-128.054803071762 
60,-4948.89086914063,-7114.90283203125,0.528995427757314,-124.821196328772 
61,-5385.8251953125,-7669.80908203125,0.57203470961542,-125.07695715193 
62,-7078.677734375,-7579.72583007813,0.633021636134798,-133.042299197722 
63,-5766.70556640625,-7894.93994140625,0.596744078358924,-126.145534822029 
64,-5841.90844726563,-8124.681640625,0.610792255170526,-125.717354632248 
65,-4857.06713867188,-7498.82250976563,0.545328926456972,-122.931559770123 
66,-5215.90161132813,-7870.22412109375,0.576294380444522,-123.533974508952 
67,-5919.31787109375,-8220.267578125,0.618287597798092,-125.757216141023 
68,-5989.6494140625,-8777.98193359375,0.648628160518148,-124.307643655193 
69,-7151.91967773438,-8838.42724609375,0.693966348684707,-128.979252868997 
70,-7354.88134765625,-8573.07592773438,0.689453347747746,-130.626445315965 
71,-6798.611328125,-7849.67211914063,0.633840769252905,-130.895879853623 
72,-5458.44506835938,-7725.154296875,0.577349002478904,-125.2442905588 
73,-5962.68115234375,-10098.6564941406,0.715817295221413,-120.559429689845 
74,-5033.99609375,-8110.35571289063,0.582636589374567,-121.827355815466 
75,-5292.69604492188,-9996.173828125,0.690382710588582,-117.899975139819 
76,-6842.44189453125,-9207.0029296875,0.700166480573088,-126.618918929516 
77,-7810.2509765625,-9516.04223632813,0.751412756757263,-129.377291509531 
78,-7688.49877929688,-9477.72265625,0.744902341661137,-129.049584774058 
79,-7771.55395507813,-9929.29931640625,0.769618566989142,-128.049898013543 
80,-7575.5087890625,-9964.29541015625,0.764000920743557,-127.244470732233 
81,-6101.32275390625,-10453.7922363281,0.738794839455194,-120.269837280725 
82,-5733.50854492188,-10909.724609375,0.752255472259358,-117.723770838553 
83,-8401.99926757813,-9214.021484375,0.761109314959532,-132.360781080454 
84,-7832.65502929688,-10570.8666992188,0.803034039333996,-126.53719593766 
85,-7976.166015625,-10341.8664550781,0.797166428700108,-127.641211085382 
86,-8271.67211914063,-10918.3771972656,0.836076878380634,-127.147267639211 
87,-7137.265625,-11134.7048339844,0.807264389868227,-122.659579047547 
