----- Barrido de N desde 1 a 32-----
frecuencia: 2000000 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 

1,1939.5703125,4791.921875,0.315535108226827,67.9639488731205 
2,-868.984375,-2213.8359375,0.145162962875614,-111.431213122868 
3,-7903.5,1779.984375,0.494488976952477,167.307908437892 
4,-10358.96875,-1114.4609375,0.635929163466548,-173.859499853625 
5,2219.7265625,-18961.625,1.16526432718125,-83.3231075372924 
6,-16007.609375,-21562.0703125,1.63912119813129,-126.590070125823 
7,-25475.8984375,-27633.375,2.29407034055528,-132.673732622425 
8,-5492.5625,-32874.1328125,2.03435280900229,-99.4852821312847 
9,-27017.734375,-13743.765625,1.85018605461424,-153.037822072143 
10,-31212.90625,-42283.5390625,3.20786740753802,-126.434039849243 
11,-26583.8515625,-38602.1640625,2.86082548087926,-124.553715834027 
12,-19897.171875,-56886.6484375,3.67845569946998,-109.278241635467 
13,-24273.375,-26726.171875,2.2036688510737,-132.246510772225 
14,-39403.171875,-60991.984375,4.43207447659812,-122.864017588382 
15,-33648.359375,-28435.6171875,2.68895358022024,-139.799454748197 
16,-75992.8515625,-29421.640625,4.97387908282762,-158.835427011096 
17,-40639.203125,-51382.0859375,3.99858332123989,-128.341234674415 
18,-26258.765625,-61678.75,4.09166197702439,-113.06112304702 
19,-70963.109375,-42105.1015625,5.03642421709149,-149.317738278082 
20,-45419.578125,-78622.96875,5.54211738884117,-120.014528577373 
21,-50999.3984375,-58557.828125,4.73969563273246,-131.05337777064 
22,-76286.96875,-34905.8203125,5.12060862215537,-155.413090640309 
23,-66042.28125,-64640.640625,5.64055880408842,-135.614502735421 
24,-59723.2265625,-60217.109375,5.17663160438992,-134.764072356676 
25,-35179.6328125,-85387.90625,5.63682772061684,-112.391555187004 
26,-70029,-50211.53125,5.25955631465812,-144.359077872159 
27,-69446.8203125,-55208.4296875,5.4150643720464,-141.516206698218 
28,-62450.046875,-83373.71875,6.35816662523726,-126.834589345196 
29,-74725.0390625,-72842.7890625,6.369499792624,-135.730776717096 
30,-80521.09375,-108265.3203125,8.23548096502201,-126.639604232302 
31,-73912.296875,-106369.25,7.90598937021401,-124.794094697705 
---------------------------------------------------------- 

----- Barrido de N desde 1 a 32-----
frecuencia: 200 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 

1,-2075.15625,-5135.3984375,0.338073411640509,-112.003074934362 
2,-4712.8515625,-4729.765625,0.407541084452247,-134.897369199667 
3,-11649.96875,-5630.3359375,0.789769153129903,-154.205896315631 
4,-19262.1953125,-9194.0859375,1.30276991230689,-154.484275179849 
5,-16884.921875,-15462.1171875,1.39743805629262,-137.518567180071 
6,-9222.484375,-32416.765625,2.05713853007281,-105.880912955209 
7,-19004.7578125,-24593.46875,1.89708271323081,-127.695281647178 
8,-28264.65625,-37118.046875,2.84765017892218,-127.288552561114 
9,-23777.703125,-39815.125,2.83058038201543,-120.845766087195 
10,-49932.296875,-62584.859375,4.88681253755632,-128.584038106592 
11,-44241.2109375,-42904.46875,3.76162297870834,-135.878800645456 
12,-27277.5625,-47834.484375,3.36103065346922,-119.693903161342 
13,-48958.4453125,-64992.15625,4.96651953749123,-126.990632669552 
14,-33220.96875,-45330.265625,3.43029444620095,-126.236387281626 
15,-61564.4296875,-56166.4453125,5.08656624787891,-137.625184492043 
16,-40618.1796875,-68263.0078125,4.84838167611966,-120.753693168155 
17,-54686.3359375,-79725.6171875,5.90097912030293,-124.44746518444 
18,-52159.28125,-74464.9453125,5.54920792793214,-125.009480808284 
19,-66178.3984375,-70074.5859375,5.88304033963277,-133.362059478978 
20,-49258.875,-52531.625,4.3955165753318,-133.158470695849 
21,-59525.3984375,-74885.328125,5.83888093514166,-128.480743663616 
22,-73180.2265625,-79063.5625,6.57569923247124,-132.786952949066 
23,-95188.0859375,-99494.8671875,8.4045116683148,-133.732708009424 
24,-62402.296875,-92816.46875,6.82658701679905,-123.913699314547 
25,-97580.390625,-104121.9453125,8.70998733731668,-133.142450120971 
26,-93330.0546875,-89116.7734375,7.87644794329302,-136.322907811622 
27,-98287.3359375,-98072,8.47481316452877,-135.062832945484 
28,-92832.78125,-114811.1953125,9.01191190907818,-128.957932226156 
29,-68862.1953125,-109471.8359375,7.89387893924395,-122.171546813687 
30,-108832.1328125,-121560.3828125,9.95883259603853,-131.837855535266 
31,-117245.2265625,-128747.1015625,10.6285517942583,-132.322968234383 
---------------------------------------------------------- 

----- Barrido de N desde 1 a 32-----
frecuencia: 200 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 

1,-44.39501953125,-188.3681640625,0.0118124346837396,-103.261586030218 
2,-186.02587890625,-140.192626953125,0.0142177740969492,-142.997628465611 
3,-300.492431640625,-366.6201171875,0.0289334792296889,-129.339035473416 
4,-433.6376953125,-687.0146484375,0.0495878647889603,-122.259765850505 
5,-666.725341796875,-487.92529296875,0.0504283171539811,-143.802456272065 
6,-595.95068359375,-1065.3369140625,0.07450767572084,-119.222698943542 
7,-540.2783203125,-998.558349609375,0.0692983745876875,-118.415973690721 
8,-810.318115234375,-667.437744140625,0.0640769110557761,-140.52261331689 
9,-1007.3154296875,-1306.26049804688,0.100683349327134,-127.637410796311 
10,-772.158447265625,-1401.50366210938,0.0976676451075639,-118.852566751463 
11,-626.40673828125,-1615.34448242188,0.105749576144294,-111.195557256714 
12,-1688.625,-1185.51513671875,0.125933149716062,-144.928863295727 
13,-1181.17041015625,-1750.2138671875,0.128879374549943,-124.014313137475 
14,-1338.86791992188,-2082.42041015625,0.151108750954177,-122.738517963454 
15,-1647.36596679688,-1382.3837890625,0.131262228275629,-139.998375128241 
16,-1923.40185546875,-1615.97314453125,0.153333494536266,-139.964229378475 
17,-1813.03271484375,-2748.50244140625,0.200971772657633,-123.410594412777 
18,-1449.43017578125,-1801.62329101563,0.141135410942399,-128.817145497829 
19,-1913.79272460938,-2069.82495117188,0.172063539615244,-132.756958332245 
20,-1947.818359375,-2489.82397460938,0.192950555886834,-128.036486972226 
21,-1658.15063476563,-2349.50073242188,0.175523802312134,-125.212376543714 
22,-2318.66137695313,-3343.50561523438,0.248348074815225,-124.740616574643 
