----- Barrido de N desde 1 a 1024-----
frecuencia: 200 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 

1,2200.484375,-3688.140625,0.262136144803505,-59.1780975094118 
2,-2797.4765625,890.46875,0.179191316715634,162.343132811193 
3,-3198.796875,-4306.91666666667,0.327455686110455,-126.601700009205 
4,-3338.447265625,-2892.703125,0.269621740892718,-139.091672686793 
5,-4101.471875,-3715.2375,0.337778340209496,-137.828762741033 
6,-4092.62109375,-4464.53385416667,0.369672810063798,-132.511365691806 
7,-1583.93973214286,-4463.24888392857,0.289069773111808,-109.539006576011 
8,-1239.8427734375,-2630.2626953125,0.177485449463787,-115.238065959482 
9,-3665.00520833333,-4692.08506944444,0.363403182664196,-127.99352828296 
10,-1082.33828125,-4533.29453125,0.28447582991918,-103.428164929604 
11,-3963.39417613636,-4509.37002840909,0.366440314283243,-131.313018928257 
12,-3177.42578125,-3255.82161458333,0.277677578542433,-134.301825690242 
13,-2267.14783653846,-4817.32632211538,0.324970353271058,-115.202786210578 
14,-2788.84598214286,-4667.28180803571,0.331859464196762,-120.859629867792 
15,-4316.58020833333,-3347.52135416667,0.333413920792007,-142.206310997724 
16,-3925.30029296875,-4254.30029296875,0.353314477243913,-132.696689990125 
17,-2943.67830882353,-3696.93060661765,0.288444561099046,-128.528531215361 
18,-4077.41536458333,-2796.85329861111,0.301795220553588,-145.552301205563 
19,-2661.57771381579,-4103.45435855263,0.298534883778014,-122.968200858138 
20,-1886.98125,-4339.965625,0.288854104197528,-113.49900617498 
21,-2935.87723214286,-3300.8125,0.26963401592016,-131.651198537932 
22,-2272.05859375,-3340.48224431818,0.246585567054801,-124.221925676791 
23,-3695.53328804348,-3862.65455163044,0.326288777684479,-133.733322955113 
24,-1908.85123697917,-3670.99446614583,0.252548094731865,-117.473622174642 
25,-2290.0984375,-2944.90875,0.227701938167291,-127.870302297928 
26,-3670.00240384615,-4546.05498798077,0.356612582535203,-128.913725690393 
27,-3115.13946759259,-4156.52575231481,0.317044868046055,-126.849999975795 
28,-2922.51283482143,-4331.17717633929,0.318915807321612,-124.009972350976 
29,-3529.96740301724,-3196.26400862069,0.290659114048974,-137.840243083307 
30,-2154.6421875,-3946.19817708333,0.274428865358467,-118.634741401461 
31,-3271.61441532258,-2796.42338709677,0.262696441843253,-139.477722366699 
32,-2776.92626953125,-3662.19506835938,0.280524653182212,-127.171887481836 
33,-2713.70454545455,-4246.11292613636,0.307578537459196,-122.582777935179 
34,-3299.47288602941,-3930.07375919118,0.313209731065509,-130.01496355433 
35,-3776.36160714286,-3644.75736607143,0.320343554234334,-136.015962324506 
36,-2994.04383680556,-4071.29644097222,0.308461994710032,-126.330876998044 
37,-2972.39991554054,-3648.2191722973,0.287228722010706,-129.171552021885 
38,-3693.37171052632,-3626.52282072368,0.315937552990589,-135.523238792343 
39,-2799.97516025641,-3701.84074519231,0.283303083807134,-127.102904380261 
40,-2437.8640625,-3607.0818359375,0.265733482739983,-124.05298831905 
41,-4039.51676829268,-3919.52877286585,0.343548971855193,-135.863707204525 
42,-3146.73288690476,-4516.74665178571,0.33599716480926,-124.864204996664 
43,-2586.19821947674,-3902.64316860465,0.285761770498166,-123.531585437513 
44,-3313.8359375,-3495.62357954545,0.29399887158123,-133.470775647822 
45,-2906.30711805556,-5055.66510416667,0.355937263291066,-119.892936855465 
46,-2746.04364809783,-4029.06334918478,0.297608562913394,-124.276731184261 
47,-2802.46791888298,-3593.04504654255,0.278129288036216,-127.953167864658 
48,-3102.60856119792,-4093.66194661458,0.313520306405634,-127.158685424382 
49,-2989.06552933673,-4024.10044642857,0.305964744907464,-126.604632057373 
50,-3464.01875,-3970.634375,0.321621441626629,-131.101750335709 
51,-2756.10431985294,-3909.52849264706,0.291961978619261,-125.182727752108 
52,-2947.36358173077,-3539.13521634615,0.28111791771452,-129.787262453945 
