Barrido en frecuencia desde 100000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100000,779631.03125,30091680.90625,1837.32284045246,88.515882944824 
110000,4719700.96875,31185265.6875,1925.13154849674,81.393941628925 
120000,8148296.34375,31881082.59375,2008.47795460864,75.663031837111 
130000,11196924.375,32199772.5625,2080.81318097619,70.8257486109904 
140000,13995968.03125,32369236.28125,2152.5002028842,66.617074782361 
150000,16852850.34375,32324506.625,2225.04196291527,62.4640628523126 
160000,19160722.5,32032166.5625,2278.23727636986,59.1133476686728 
170000,21578593.875,31704326.03125,2340.83135180959,55.7600192843106 
180000,23503059.875,31288395.75,2388.53502468051,53.0870411625756 
190000,25605797.09375,30708975.09375,2440.4871754584,50.1779332945167 
200000,27099673.6875,30165045.53125,2475.06600958811,48.0641100501626 
210000,28610513.34375,29560068.59375,2510.95875325179,45.9351922378033 
220000,29885558.4375,29016414.40625,2542.46763266602,44.1546179421851 
230000,31337338.21875,28243992.09375,2574.97514748728,42.0279836252564 
240000,32371577.125,27631424.71875,2597.77929443729,40.4830950799705 
250000,33438966.1875,26981932.34375,2622.59609150295,38.9000913813442 
260000,34451966.46875,26344054.9375,2647.16870323226,37.4037127317586 
270000,35350337.90625,25757775.28125,2669.70463059414,36.0786892191862 
280000,36195893.03125,25108062.4375,2688.78804943734,34.74794598259 
290000,36842329,24592073.15625,2703.69004017345,33.7229148613023 
300000,37499854.5,24032221,2718.57178585594,32.6542552837592 
310000,38351733.15625,23361946.3125,2740.98759053023,31.3476705638731 
320000,38690853.03125,22919690,2744.83026186388,30.6416549127785 
330000,39323279.8125,22375547.71875,2761.53590739839,29.6405382767917 
340000,39704901.28125,22000420.9375,2770.63542223594,28.990765068088 
350000,40328013.59375,21372727.3125,2785.81817909472,27.9223475430082 
360000,40658780.09375,21022585.15625,2793.79276650367,27.3411830591422 
370000,41101754.84375,20560281.15625,2805.10056826142,26.5755372496705 
380000,41541077.5,20023602.25,2814.7304290983,25.734965333586 
390000,41824090.59375,19663689.65625,2820.88461537568,25.1806683476631 
400000,42166471.3125,19290730.875,2830.26465267757,24.5836118177821 
410000,42378648.21875,19044995.25,2835.86533851663,24.1991851468515 
420000,42810484.34375,18481935.03125,2846.13171091334,23.3505895616059 
430000,43022272,18196249.65625,2851.16674706918,22.9259091369758 
440000,43251018.0625,17896461.59375,2856.9849473767,22.4788559727257 
450000,43362733.90625,17417281.4375,2852.25694663285,21.8835888383328 
460000,43768420.9375,17125364.65625,2868.70923309547,21.369022978245 
470000,43949176.09375,16887961.15625,2873.75697456579,21.0198284992115 
480000,44137331.9375,16386071.25,2873.67535915522,20.3675426835983 
490000,44336183.46875,16227067.8125,2881.70685594835,20.1026538928007 
500000,44571068.625,15953514.5,2889.50484397539,19.6940309183602 
510000,44709627.125,15630760.0625,2890.90770065726,19.2699398392749 
520000,44925877.65625,15350654.75,2897.79769551425,18.8647066000324 
530000,45031684.25,15074591.34375,2898.51679590889,18.5082387865288 
540000,45190110.90625,14819881.96875,2902.8060304897,18.1566578945597 
550000,45327243.40625,14479657.28125,2904.37423068634,17.7159317150196 
560000,45451474.40625,14332039.4375,2908.87594043411,17.5014270579087 
570000,45563248.25,14033019.71875,2909.9588319688,17.1183031511275 
580000,45648310.28125,13954608.1875,2913.51840749284,16.9983002015861 
590000,45803359.3125,13614350.1875,2916.58499358203,16.553778801186 
600000,45894524.125,13360185.0625,2917.54517371834,16.2306107165979 
610000,45959263.84375,13288654.6875,2920.12369147647,16.1266888057068 
620000,46091020,12987133.0625,2922.8051489776,15.7363203316114 
630000,46128260.15625,12985014.625,2924.95800950677,15.7218066365737 
640000,46226597.625,12701528.09375,2926.10421261903,15.3638213863126 
650000,46292852,12460829.03125,2926.15085120282,15.0654517197662 
660000,46355933.46875,12431257.21875,2929.40095081573,15.0117876909863 
670000,46463063.25,12212129.8125,2932.28875315291,14.7262713828368 
680000,46465963.71875,11986238.78125,2928.98567689402,14.4645393841399 
690000,46590138.59375,11901504.4375,2935.04096099277,14.329819955115 
700000,46691136.375,11669873.3125,2937.55399507165,14.032881642261 
710000,46697814.8125,11600638.375,2936.92777375056,13.950971766955 
720000,46842468.90625,11420843.21875,2942.87855546266,13.7021707383894 
730000,46805987.4375,11170311.78125,2937.12794157015,13.422647099362 
740000,46873091.46875,11129127.75,2940.53032865928,13.3564792727374 
750000,46936021.71875,10987000.28125,2942.27828319763,13.1748378750518 
760000,47028240.1875,10786850.875,2945.00392338599,12.9184578303384 
770000,47026780.25,10754413.59375,2944.4750589732,12.8812947265093 
780000,47093067.34375,10562899.28125,2945.83891830755,12.642115593886 
