Barrido en frecuencia desde 10000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

10000,121741007.40625,-497.53125,7430.70817635222,0.0032946587572278 
20000,121834051.34375,-5809.15625,7440.95410521227,-0.0042649132990086 
30000,121781450.8125,-14326.28125,7434.53515070564,-0.00320602456940118 
40000,121769542.3125,-14390.9375,7433.85924753065,-0.0055729225108718 
50000,121771549.40625,6599.75,7432.1719927961,0.00184074653889972 
60000,121775538.34375,-10511.75,7433.55523755942,-0.00285704279590396 
70000,121777699.875,-14418.875,7434.59022547123,-0.00667233116251635 
80000,121782774.09375,-3464.46875,7435.6311626568,0.00639045242382945 
90000,121795962.96875,6708.875,7434.83926304461,0.00286006541873001 
100000,121810624.125,-16891.125,7439.52907746981,-0.00271799801698964 
110000,121776432.8125,-8075.1875,7435.74426402452,0.000140535459818236 
120000,121830441.5,11458.78125,7437.41368238354,0.00612831766742603 
130000,121772115.0625,-25804.4375,7433.22222909226,-0.00107906175243081 
140000,121789327.15625,19280.28125,7434.61159363869,-0.00348316788188583 
150000,121758657.78125,-53932.90625,7433.62129997298,-0.00124937865324212 
160000,121762567.59375,2103.21875,7431.8677727372,0.00376776605042923 
170000,121801371.71875,67112.1875,7435.27885527652,-0.00952382358621198 
180000,121759098.75,-93252.96875,7434.51462404989,-0.000964623770753949 
190000,121770737.625,-124404.71875,7434.84204460809,0.0161242245458827 
200000,121764654.78125,100036.8125,7434.07151506298,-0.00231877260453963 
210000,121794933.84375,219430.59375,7433.93786254434,-0.0160530421868761 
220000,121768716.8125,38259.21875,7433.81428857311,-0.00635434732879861 
230000,121703644.1875,-377867.625,7435.47430723525,0.0143552072642986 
240000,121647963.75,-493585.875,7433.57046980324,0.02372356270528 
250000,121705432.3125,-153845.4375,7429.60788353957,0.0223952898034604 
260000,121744427.78125,283672.5625,7433.14841647831,-0.0117786489858778 
270000,121765774.4375,638345.1875,7435.10905568676,-0.033346141126332 
280000,121829968.65625,616939.25,7432.93720590864,-0.0425077462743197 
290000,121757784.40625,167796.8125,7434.56951422826,-0.0291357238933393 
300000,121567442.09375,-544525.15625,7434.00433215109,-0.0170085050659438 
310000,121622372.46875,-1284306.3125,7435.23222345089,0.0268585915031409 
320000,121570499.15625,-1492299.03125,7433.95176975667,0.0512441158410729 
