Barrido en frecuencia desde 10000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

10000,121740294.65625,-514.1875,7430.66467222119,-0.000241996897669701 
20000,121822921.71875,-11877.3125,7435.70801707501,-0.00558613983682672 
30000,121776538.9375,-15488.1875,7432.87697515397,-0.00728718174301039 
40000,121782827.46875,-14123.125,7433.26079822246,-0.00664457764060146 
50000,121773625.65625,3415.5625,7432.69909995731,0.00160705830024524 
60000,121784269.0625,-6469.3125,7433.34874931049,-0.00304361396677882 
70000,121784787.75,-3124.40625,7433.38040040764,-0.00146993146580429 
80000,121765431.96875,-8552.875,7432.19899710864,-0.00402448898241336 
90000,121771775.9375,-5729,7432.58620394093,-0.00269559606945981 
100000,121818748.46875,-11218.28125,7435.45329052372,-0.00527636488864146 
110000,121806781.5625,-8333.0625,7434.72285210983,-0.00391972683950192 
120000,121721481.1875,3624.6875,7429.51635740037,0.0017061844278951 
130000,121767095.78125,-19004.375,7432.30062344864,-0.00894223898465174 
140000,121777384.625,18910.71875,7432.92862290205,0.0088974185688169 
150000,121771115.25,-56768.71875,7432.54667699578,-0.0267108316321761 
160000,121812191.15625,6012.71875,7435.05302924562,0.00282815212684654 
170000,121785501.65625,59380.1875,7433.42485626076,0.0279362798901901 
180000,121764044.875,-83454.125,7432.11606028711,-0.039269132375391 
190000,121754696.15625,-137543.28125,7431.54843872516,-0.0647256033028485 
200000,121771059.8125,81647.90625,7432.54415632161,0.038417007623644 
210000,121792350.1875,228174.40625,7433.85503258468,0.107341841712457 
220000,121784443.96875,22847.21875,7433.35954538786,0.0107489031437025 
230000,121717947.375,-385637.0625,7429.3379483867,-0.181528711670834 
240000,121645871.21875,-496477.65625,7424.96318616667,-0.233842021083835 
250000,121674945.9375,-156398.21875,7426.68211632569,-0.0736466562907998 
260000,121739953.78125,271996.375,7430.66241240112,0.12801235679067 
270000,121744259.625,639249.15625,7431.00911792105,0.30084327777105 
280000,121833472.28125,597336.28125,7436.44133487367,0.280912732704458 
290000,121743329.21875,141518.1875,7430.8549132522,0.0666023450154012 
300000,121574579.09375,-549439.09375,7420.62566872151,-0.258938398823457 
310000,121595752.09375,-1259592.84375,7422.2404180406,-0.593497481420057 
320000,121611174.78125,-1453514.375,7423.31374725925,-0.684774849077973 
