Barrido en frecuencia desde 100 hasta 100000 con incrementos 100
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100,1077.0390625,-4819.390625,0.301417455991757,-77.4025179295701 
200,-1656.4453125,-8511.6953125,0.529274963891678,-101.012578723112 
300,-3939.4140625,-1879.3515625,0.266410649464351,-154.495883441121 
400,1594.4921875,-9942.671875,0.614625291855036,-80.889133215582 
500,-4491.6328125,-196.9453125,0.274419292877098,-177.489351316476 
600,-5423.125,4581.140625,0.43330752887602,139.810820653968 
700,3173.046875,-6190.296875,0.424582567465568,-62.8610507186467 
800,-7679.2578125,-5232.203125,0.567174655112562,-145.73174061999 
900,-2992.984375,-9517.203125,0.6089497641743,-107.457397451951 
1000,2351.84375,-3557.125,0.260280537793153,-56.5287491582867 
1100,-2826.1640625,291.3046875,0.173414557366049,174.115063968967 
1200,-6250.40625,-4372.6015625,0.465593736127118,-145.024488240506 
1300,728.3359375,4619.4921875,0.285443071704835,81.0401718115503 
1400,974.9375,-9817.984375,0.602207822198809,-84.3290522224679 
1500,-4159.2578125,2747.5703125,0.304259396098734,146.551588495507 
1600,5057.140625,69,0.30870151821292,0.781699340349804 
1700,-6049.7421875,-1327.1640625,0.378039196054546,-167.626725729565 
1800,1626.65625,-1130.6484375,0.120914572481515,-34.802206170306 
1900,-5742.359375,-5434.40625,0.482568810395598,-136.578269774976 
2000,-2898.421875,-5195.078125,0.363104532207033,-119.157886241686 
2100,-1821.0078125,-4150.9140625,0.276667799426695,-113.687082342533 
2200,-3993.5390625,1889.2578125,0.269654126030038,154.682171430552 
2300,-1748.4140625,-7993.1328125,0.499412348521782,-102.33851442827 
2400,-8664.5625,5682.390625,0.632445452118691,146.742348948936 
2500,-114.4921875,-5211.3671875,0.318163073545561,-91.2585687747342 
2600,-5752.8984375,-526.78125,0.352608797767307,-174.76813158265 
2700,-1966.9375,-5634.6328125,0.364273562390253,-109.243072077687 
2800,-7849.2265625,-5111.890625,0.571737322135665,-146.925394004473 
2900,-6046.53125,2677.8515625,0.403636237934511,156.112691957793 
3000,-1859.40625,-66.7890625,0.113565805862955,-177.942844979216 
3100,-10627.9609375,-321.046875,0.648994957426789,-178.269749103693 
3200,-4938.015625,-12766.3359375,0.835479146878561,-111.146458161535 
3300,-2986.9765625,-253.8671875,0.182973443308108,-175.142028810317 
3400,-1765.78125,6382.7734375,0.404218920348588,105.463996799599 
3500,2827.890625,446.0078125,0.174739597669245,8.96271789637293 
3600,-8623.9453125,-4016.7265625,0.580675175453851,-155.025573178789 
3700,5511.1015625,-156.265625,0.336516406735431,-1.6241693939197 
3800,-6734.109375,-3694.4453125,0.46882293573607,-151.250088954618 
3900,160.8515625,-6492,0.396373936882275,-88.5806792287489 
4000,2785.171875,-7195.0859375,0.470921245836764,-68.8388972625101 
4100,-4163.4453125,1632.2890625,0.272956596438599,158.59221421155 
4200,-5374.578125,-3281.234375,0.384351950232349,-148.595512019311 
4300,-6345.7421875,-1397.328125,0.396604298465003,-167.581688863821 
4400,-2515.9765625,-3218.8125,0.249363616399114,-128.012870633788 
4500,106.796875,790.296875,0.0486758161382768,82.3039482779834 
4600,-4391.796875,-1880.578125,0.29160402347634,-156.819272926201 
4700,722.375,-4747.3984375,0.29310239335626,-81.3481092988824 
4800,2697.8984375,-7249.3671875,0.472128268271027,-69.5869273272769 
4900,-1911.5,3045.546875,0.219471908410531,122.113931001357 
5000,-2123.0078125,-8756.9921875,0.549984098543489,-103.627616630402 
5100,-1156.2421875,3691.9375,0.236137534546974,107.389529576049 
5200,286.5546875,-4073.0078125,0.249218761840086,-85.9756116153051 
5300,-6166.2734375,-3738.0625,0.440127440700716,-148.77529749217 
5400,-5256.8671875,-1992.421875,0.343136622844812,-159.242632225194 
5500,-3764.515625,-5968.9140625,0.430730735118457,-122.239091213798 
5600,-1074.140625,-2605.546875,0.172018873115669,-112.403979134879 
5700,-3671.609375,-2357.984375,0.266339742401307,-147.290574301179 
5800,-9055.7265625,-7017.9296875,0.699286932693687,-142.225337117014 
5900,-9527,-5144.9453125,0.660876730238115,-151.629252739278 
6000,-2629.859375,-7213.359375,0.468630425436221,-110.030933943051 
6100,-5503.3671875,-569.359375,0.337702003622911,-174.093389911349 
6200,4598.015625,4731.09375,0.402682432362058,45.8172589135257 
6300,-4022.609375,-4313.25,0.359991720887297,-133.003116724769 
6400,-6581.2109375,-10615.703125,0.762365537305343,-121.796865997002 
6500,-6606.5546875,1799.1796875,0.417930289604395,164.765935225046 
6600,-5583.796875,4554.7109375,0.439823200849044,140.795826417235 
6700,-1300.0390625,-7586.2421875,0.469791479447406,-99.724206457614 
6800,223.828125,-7520.2421875,0.45921643088218,-88.2951849542364 
6900,921.3125,-1358.3671875,0.100182150067974,-55.8529187109383 
7000,-11129.1875,-2310.671875,0.693779146451924,-168.270739608589 
7100,-2771.9375,98.8984375,0.169298453349345,177.956642050692 
7200,-1233.921875,-4940.328125,0.310806141319787,-104.023579250051 
7300,-260.7109375,-6307.4296875,0.385315438920659,-92.3669131299112 
7400,-9704.84375,-937.03125,0.595109431627299,-174.485019074333 
7500,-5646.78125,2232.8203125,0.370629047762902,158.425429332048 
7600,859.3203125,-3588.953125,0.225250715153093,-76.534889928237 
7700,-1571.3984375,-1932.3125,0.152019244043515,-129.11875727022 
7800,-3046.890625,1111.6171875,0.197963625293009,159.956180257881 
7900,-1527.859375,-8142.6171875,0.505674550699617,-100.627259187304 
8000,4813.9453125,-4894.21875,0.419015674894958,-45.4737481083743 
8100,-3533.9140625,-11698.2734375,0.745896721119582,-106.80896373923 
8200,-3143.2578125,-2685.3359375,0.252335472522631,-139.49219984663 
8300,-2020.2578125,-3180.4609375,0.229978978064179,-122.424085451202 
8400,-5827.40625,242.53125,0.355995424015014,177.616778127116 
8500,-7300.734375,-4606.828125,0.52691455101323,-147.747711038718 
8600,-8167.078125,-11805.3203125,0.876187954304843,-124.676002037316 
8700,1339.2109375,-6627.84375,0.41271948048303,-78.576715677534 
8800,-1402.1015625,-6067.28125,0.380088600742668,-103.012186394453 
8900,-8878.78125,-735.1015625,0.543788563953546,-175.267100976508 
9000,243.3359375,-6685.78125,0.408350353483532,-87.9155807906263 
9100,398.1875,-2.765625,0.0243047641991048,-0.397943411711756 
9200,2393.3125,2787.2734375,0.224238061882148,49.348723915155 
9300,-253.84375,-933.671875,0.0590572135465975,-105.209755553709 
9400,-366.34375,-12372.8984375,0.75553579549459,-91.6959502515665 
9500,3954.5625,-4853.453125,0.382125725791682,-50.8270728644893 
9600,-7528.7890625,6335.0390625,0.600572583069184,139.921335559359 
9700,3817.8125,-5433.8046875,0.4053424526335,-54.9079721097766 
9800,-3514.9375,-2714.2421875,0.271061382954793,-142.32460404393 
