Barrido en frecuencia desde 10000 hasta 2000001 con incrementos 10000
N: 64 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

10000,121747925.387695,-19409.9560546875,7431.13052369364,-0.00913451748359894 
20000,121731497.51416,-42133.1040039063,7430.12816587486,-0.0198309311074668 
30000,121708395.293457,-115836.23828125,7428.72099472911,-0.0545313702329625 
40000,121676394.363281,-285405.920898438,7426.7848194196,-0.134393567553618 
50000,121620909.911133,-659970.28125,7423.48707828971,-0.310909864073234 
60000,121544139.280273,-1194995.58300781,7419.0504841366,-0.563301512032889 
70000,121433378.276367,-1972446.05761719,7412.9091140814,-0.930575255690897 
80000,121326490.036133,-2835360.54345703,7407.4291964424,-1.33874002159085 
90000,121170402.169434,-3729698.43408203,7399.38290164756,-1.76304217198943 
100000,120994946.332031,-4778108.26464844,7390.92707167351,-2.26144371400085 
110000,120788093.126953,-6035045.03857422,7381.74177464503,-2.86034239666623 
120000,120546217.514648,-7273492.11328125,7371.16314401964,-3.45291437363744 
130000,120311054.957031,-8261152.36376953,7360.71945723448,-3.92804606297501 
140000,120032552.537109,-9653071.11816406,7350.08265026183,-4.59785690749081 
150000,119723752.844727,-10810570.9042969,7337.31116318121,-5.15958498231514 
160000,119357243.59375,-12178274.2504883,7323.03369992486,-5.82584968447567 
170000,118979630.353516,-13815184.1826172,7310.95383501481,-6.62317491353223 
180000,118694248.226563,-14676306.9492188,7299.91481976025,-7.04873181737558 
190000,118169895.949707,-16157297.8598633,7279.84678753816,-7.78573861692438 
200000,117768748.373535,-17407602.1118164,7266.35461785947,-8.40810657441885 
210000,117321353.606445,-18947797.0541992,7253.73522847575,-9.17424532709316 
220000,116828703.5625,-20270657.3725586,7237.4168819067,-9.84325214471737 
230000,116330945.688477,-21302806.9995117,7218.56582864994,-10.377167186679 
240000,115770105.093262,-22550301.0722656,7199.06561221432,-11.0223512725041 
250000,115244305.918945,-23963970.6201172,7184.63582712007,-11.7467215396893 
260000,114567363.672363,-25385232.1992188,7162.45187678638,-12.4934498834583 
