Barrido en frecuencia desde 10000 hasta 2000001 con incrementos 10000
Metodo usado: LI de 64 ciclos
Formato: frecuencia,X,Y,R,phi 

10000,121754758.874512,-12840.5083007813,7431.54756624683,-0.00264469662335457 
20000,121739598.125,-38232.6166992188,7429.93875236531,-0.0197046246321708 
30000,121723664.719727,-110238.928710938,7429.28890945293,-0.0608424744171519 
40000,121687697.140625,-268857.354492188,7427.68675833062,-0.0742592617937898 
50000,121638298.110352,-627252.932617188,7423.49287184457,-0.327992259301619 
60000,121562377.529785,-1150020.62744141,7425.17081036317,-0.15929957482479 
70000,121468100.65625,-1913518.37695313,7418.8407373218,-0.460672130103069 
80000,121353861.143555,-2762841.43896484,7401.58894541113,-1.93512956110914 
90000,121199851.469727,-3648690.28955078,7413.48686989241,-0.851948558683652 
100000,121027111.212891,-4689641.23583984,7377.43759392308,-3.33438094155957 
110000,120826827.827637,-5936808.69091797,7388.28653733197,-2.0663813957082 
120000,120591093.099121,-7164292.21142578,7401.61892417174,-2.00149025718841 
130000,120358852.762207,-8146558.77294922,7312.76591256123,-5.77225652841681 
140000,120089900.664063,-9532548.60351563,7341.82265822193,-5.99235284739326 
150000,119786360.561035,-10678123.9785156,7339.27453825982,-5.16824837766822 
160000,119438513.414063,-12045578.3818359,7328.230585695,-4.62442882586668 
170000,119044538.060059,-13664442.4331055,7331.59490153589,-4.27151143916473 
180000,118759329.530273,-14510395.4936523,7372.14076208813,-4.50024496949222 
190000,118265115.785156,-16002079.527832,7216.05470686598,-8.90827214371729 
200000,117864154.257813,-17277087.4829102,7191.33513753654,-10.9369496758421 
210000,117428975.213379,-18806009.5668945,7254.42538383214,-10.7286600415494 
220000,116931358.197754,-20107209.1040039,7259.66877685864,-10.4611602042161 
230000,116450768.086914,-21140528.402832,7243.8591344022,-10.2287474884778 
240000,115895328.072266,-22379715.9707031,7221.14954634379,-10.5895289853262 
250000,115377188.174316,-23794642.9277344,7193.13010394112,-11.2546265144809 
260000,114678990.160645,-25236304.4995117,7164.15819896879,-11.8843625252492 
270000,114084805.311523,-26673212.9946289,7139.77617109757,-12.5700794980571 
280000,113515972.792969,-28321776.9921875,7117.38562593084,-13.3795364827935 
290000,112660638.529785,-29549579.4174805,7087.40282832868,-13.890276706073 
300000,112440251.270508,-30049240.9829102,7087.67723253586,-13.9100994490617 
310000,111548008.981445,-31522160.425293,7069.78230542744,-14.3284210170993 
320000,110996217.911133,-32478895.3774414,7072.34029705911,-14.4955582213241 
330000,110133908.916992,-33812997.6020508,7093.79504569849,-14.554338784206 
340000,109701888.959961,-34684811.4379883,7130.93672557161,-14.6324482688509 
350000,108649637.27832,-36215011.4033203,7240.25104088531,-15.6324898158459 
360000,108153338.59375,-37121876.5048828,7281.13902711303,-17.548101125017 
370000,107329353.934082,-38212944.0727539,7103.29815298846,-21.1577824313257 
380000,106323426.510254,-39726678.3344727,6535.93221954232,-25.880545891235 
390000,105761078.253418,-40699509.3569336,6393.73660556129,-28.2380828535256 
400000,104880457.144531,-41793142.2900391,6435.75491283977,-30.3039041046374 
410000,104481757.232422,-42467530.9492188,6513.26799900048,-30.8891482648928 
420000,103005110.293457,-44572128.6650391,6679.49000554882,-31.3267356743277 
430000,101812940.689941,-45455777.0493164,6694.94490196567,-31.2990566734888 
440000,101454613.922363,-46054828.2167969,6734.99230456178,-30.8948128711657 
450000,101268264.535645,-46260382.3413086,6767.44657529674,-30.3038570263647 
460000,99941466.5224609,-47187651.5874023,6738.65529697576,-29.9845454017797 
470000,99202085.5927734,-47878042.3535156,6725.82496090349,-29.9628109560488 
480000,98188500.8105469,-48763513.7270508,6708.39137015511,-30.0673044273444 
490000,97237591.1259766,-49657435.3754883,6684.92747125149,-30.2194622074816 
500000,96360433.3569336,-50564800.9458008,6662.12104855061,-30.3416965087959 
510000,95330985.2441406,-51365441.3457031,6639.29231597998,-30.585784267587 
520000,94318625.5288086,-52161162.1171875,6609.04942643635,-30.871821941678 
530000,93551872.3691406,-52992304.2246094,6586.13927164974,-31.103343372221 
540000,92411430.1494141,-53721720.3071289,6557.50743850414,-31.5018469435105 
550000,91425051.6728516,-54461753.4296875,6528.2061053496,-31.8907512631784 
560000,90711787.4506836,-55217903.9858398,6502.36335968109,-32.2443238285574 
