----- Barrido de N desde 1 a 2048-----
frecuencia: 2000 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 

1,-5783.65625,-578.1796875,0.3547767019412,-174.291230620271 
2,-3043.33203125,733.90625,0.191080852577195,166.441861670655 
3,-4344.5,-3171.7265625,0.328323166712002,-143.86847765828 
4,-324.6328125,667.958984375,0.0453302370735525,115.92008122564 
5,-3418.3953125,-3267.9484375,0.288653565234957,-136.288973023558 
6,-137.96484375,-2667.78125,0.163051015213854,-92.9604254556734 
7,-4168.58705357143,-5010.3671875,0.397823245107197,-129.760196506362 
8,-5066.5810546875,-1698.3623046875,0.326160939088822,-161.468397508575 
9,-2524.15885416667,-2753.609375,0.228002005392511,-132.510638467331 
10,-1821.43984375,-2539.2484375,0.190738738176626,-125.652424452389 
11,-3843.66761363636,-2094.38920454545,0.267173798293641,-151.414324145108 
12,-2627.654296875,-3050.96744791667,0.245767582188968,-130.736768366959 
13,-2047.24278846154,-4557.39603365385,0.304947334017124,-114.190248929419 
14,-2844.64620535714,-4046.4140625,0.301904908666744,-125.107380542486 
15,-3975.38541666667,-2141.6953125,0.275618118444916,-151.68691989056 
16,-803.275390625,-1458.111328125,0.101610413680636,-118.850424940167 
17,-2759.42876838235,-2931.59788602941,0.245735320995872,-133.267174516556 
18,-328.266493055556,-5043.55946180556,0.308495192935453,-93.723916284735 
19,-2262.74300986842,-2244.78577302632,0.194545088741543,-135.228255545182 
20,-2453.151953125,-3366.623828125,0.254254979335099,-126.079635911842 
21,-1375.8984375,-2107.68303571429,0.153631817070605,-123.136558604969 
22,-980.873934659091,-3488.54261363636,0.221186932953101,-105.704396284846 
23,-3823.83457880435,-1306.46942934783,0.246642227518995,-161.136511534018 
24,-1841.38899739583,-2424.51920572917,0.185827470527457,-127.216170793748 
25,-2371.178125,-1541.2503125,0.172616512205069,-146.976395206284 
26,-3386.58233173077,-3195.50721153846,0.284200618693628,-136.662803908692 
27,-2627.07552083333,-1704.83015046296,0.191153790840544,-147.018606152288 
28,-1605.189453125,-3505.85379464286,0.235350102308121,-114.60113849022 
29,-2798.06627155172,-2660.65086206897,0.235671177278071,-136.442034879558 
30,-1663.64375,-3222.42708333333,0.221352807498816,-117.305968234389 
31,-3232.00831653226,-3386.06678427419,0.285711449817422,-133.666484439501 
32,-1420.23999023438,-2799.66845703125,0.191613713946525,-116.898162664291 
33,-1775.59422348485,-2379.21567234849,0.181202884153231,-126.733756870126 
34,-1984.85753676471,-4006.81502757353,0.272926442303362,-116.352452920409 
35,-2497.13147321429,-2036.37566964286,0.196672711712047,-140.803239131437 
36,-2154.326171875,-3249.98763020833,0.237993824035315,-123.5392879219 
37,-2610.23859797297,-1469.43243243243,0.182831876489553,-150.622687354565 
38,-2138.79050164474,-2307.54893092105,0.192040803656699,-132.826412720945 
39,-1903.42828525641,-2766.94911858974,0.204988506461861,-124.524700914105 
