Barrido en frecuencia desde 100000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100000,121828033.9375,1050.78125,7436.020016604,0.000494182897557671 
110000,121681466.9375,2663.4375,7427.07400534986,0.0012541246548325 
120000,121649328.75,-820.5625,7425.11238458006,-0.000386477825723231 
130000,121816466.875,-85823.15625,7435.31584261118,-0.0403664951888489 
140000,121811532.75,-14455.28125,7435.0128853846,-0.00679924621843157 
150000,121812941.28125,-13744.25,7435.09885290916,-0.00646472785196688 
160000,121778692.1875,-14488.09375,7433.00839560101,-0.00681651778515013 
170000,121790674.125,-20022.125,7433.73978519835,-0.00941930289236366 
180000,121765145.875,-20099,7432.18161771338,-0.00945745068261897 
190000,121761482.0625,-51941.5,7431.95856448292,-0.0244414612950533 
200000,121696431,-86162.5,7427.98922708983,-0.0405660768917504 
210000,121753374.03125,-40610.03125,7431.46341159418,-0.0191106269435817 
220000,121816949.09375,12912.59375,7435.34347228109,0.00607335126330978 
230000,121754246.4375,14261.96875,7431.51629827598,0.00671147526344816 
240000,121687767.78125,-167616.78125,7427.46563442865,-0.0789210636575239 
250000,121652267.75,-153823.75,7425.29770815289,-0.0724478641440331 
260000,121616317.46875,-191870.40625,7423.10671240824,-0.0903937530705167 
270000,121679571.375,-117792.53125,7426.96178410094,-0.055465455000274 
280000,121780453.65625,46323.03125,7433.11639554806,0.0217942533237839 
290000,121764008.6875,100274.46875,7432.11462607195,0.0471839143228267 
300000,121749512.875,100214.4375,7431.2298421728,0.0471612812460997 
310000,121631372.40625,-59889.5625,7424.01728267065,-0.0282116268438152 
320000,121745141.46875,-179019.84375,7430.96854080772,-0.0842503773009598 
330000,121627981.25,-432072.59375,7423.85623934588,-0.203537308394315 
340000,121661760.53125,-494350.15625,7425.9324855806,-0.232809566047508 
350000,121554540.84375,-608363.21875,7419.41973448801,-0.286754847421012 
360000,121580740.46875,-591589.90625,7421.01380932066,-0.278788706150704 
370000,121583419.90625,-543677.125,7421.163699088,-0.256204317032958 
380000,121573658.96875,-367282.71875,7420.52758941404,-0.173094121128772 
390000,121528598,-166818.375,7417.75032764913,-0.0786480136110086 
400000,121599050.40625,-116362.46875,7422.04694246869,-0.0548283584103081 
410000,121741345.5625,87548.5625,7430.73073776358,0.0412034403414644 
420000,121803589.90625,344025.03125,7434.55767947186,0.161827167314343 
430000,121781241.75,386601.59375,7433.20141563225,0.181888154095147 
440000,121802118.3125,385750.125,7434.47548757902,0.181456451839013 
450000,121609369.65625,221944.625,7422.68576234741,0.10456822706323 
460000,121731610.34375,81912.375,7430.13628973587,0.038553935627713 
470000,121714521.75,-124832.75,7429.09547809781,-0.0587636307428502 
480000,121400498.4375,-605932.90625,7410.01682125888,-0.285971724617203 
490000,121348896.75,-963143.84375,7407.00820440229,-0.454745943694452 
500000,121416635.1875,-1203791.9375,7411.27369436889,-0.568043559311695 
510000,121276282.125,-1603282.125,7402.98955783544,-0.7574106538739 
520000,121343825.84375,-1889930.71875,7407.36367636219,-0.892309916223221 
530000,121314379.6875,-1981024.125,7405.65528411128,-0.935538181286777 
