Barrido en frecuencia desde 100000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100000,121578983.125,500844.5,7420.88166355376,0.236028571538707 
110000,121450197.46875,1250182.625,7413.35074043764,0.589769795841599 
120000,122555600.75,1748348.40625,7481.18966473845,0.8173122203398 
130000,120431776.84375,-4259206.6875,7355.39226361528,-2.02548618611762 
140000,121732054.5625,246301.46875,7430.17693009066,0.115926864463456 
150000,123412043.28125,10796545.34375,7561.47368556664,4.9997192329425 
160000,118287832.0625,-14466093.625,7273.72781473791,-6.97240489881372 
170000,120925916.78125,-8969850.78125,7401.23515171693,-4.24222636266696 
180000,122516721.96875,8396377.3125,7495.59601435075,3.92049291019107 
190000,123493093.25,18529745.46875,7622.02949366658,8.53338893909945 
200000,120471562.75,-1683456.46875,7353.94295445601,-0.800592861472945 
210000,117439248.40625,-19850414.28125,7269.81798277392,-9.59385866512646 
220000,119814734.25,-19113271.25,7405.60108022046,-9.06365753656989 
230000,122169599.25,-5814633.71875,7465.30924691943,-2.72492301328776 
240000,123280775.65625,6985754.34375,7536.76212693136,3.24321988430417 
250000,122559943.5625,13205299.375,7523.99044559794,6.14964624151792 
260000,118884410.34375,6450096.53125,7267.02214915611,3.10554872605523 
270000,119756197.8125,3156456.6875,7312.09988805873,1.50981566994352 
280000,124533785.1875,6280527.84375,7610.83134940736,2.88711309587255 
290000,124028278.9375,3623941.6875,7573.54722894938,1.67363046027512 
300000,120565089.8125,-5334802.78125,7366.13422830657,-2.53358938291729 
310000,115581993.03125,-15561357.8125,7118.43248169513,-7.66789653669313 
320000,115642508.84375,-17319496.3125,7137.19692871233,-8.51774035885897 
330000,119307188.59375,-13447295.25,7328.26499151394,-6.43075450634903 
340000,120626287.21875,-8053969.75,7379.06196767261,-3.81985214808773 
350000,123435973.53125,1900414.125,7535.0567342284,0.882053290838681 
360000,124118522.0625,4923514.96875,7581.78266581256,2.27160942334877 
370000,123898490.84375,3457278.1875,7565.33815168371,1.59837346264219 
380000,120934306.3125,-4466232.96875,7386.50163795315,-2.11503305422121 
390000,116823264.125,-10984898.53125,7161.99730815854,-5.37173107980432 
400000,116419816.375,-15451625.34375,7168.23240254806,-7.56030032707508 
410000,117688887.84375,-16561735.78125,7254.15800869817,-8.01033151535369 
420000,119665473.40625,-16841413.15625,7376.00458903959,-8.01104653031564 
430000,119818024.21875,-15206605.59375,7371.9984353902,-7.23297759345918 
440000,120802423.34375,-13156697.78125,7417.02108983824,-6.21563506027543 
450000,120299544.6875,-10408881.375,7370.16007875257,-4.94518362686723 
460000,120819814.9375,-5209985.25,7381.33458116951,-2.46917565395125 
470000,120817020.125,-1654218.53125,7375.00194212755,-0.784440950834648 
480000,120618583.40625,3090907.65625,7364.61561233086,1.46790991583679 
490000,120980245.8125,8911932.15625,7404.28160016086,4.21304720586382 
500000,122196310.4375,14757582.21875,7512.69369637669,6.88623032558539 
510000,123364571.875,22518687.46875,7654.22442861673,10.3447485677079 
520000,125491575.34375,29111406.03125,7863.02972358068,13.0604075332717 
530000,127257867.28125,32597318.5,8018.21783940984,14.3674931984546 
540000,127606189.65625,32719357.96875,8040.66206852675,14.3813196658723 
550000,128818326.09375,29499699.21875,8066.22008101188,12.8984633858146 
560000,128682477.375,23738866.46875,7986.9251219196,10.452202234692 
570000,127175440.09375,16501357.0625,7827.48006193076,7.39297807176686 
580000,125580559.59375,12357257.6875,7702.08309829035,5.61987226624493 
