Barrido en frecuencia desde 100000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100000,119922004.890625,-4101407.2265625,7323.96128628564,-1.95878784778294 
110000,121460392.625,-6045034.1171875,7422.75637229116,-2.84923655830018 
120000,121309502.40625,-1109603.34375,7404.68013573954,-0.52406294917426 
130000,121177420.78125,5990490.3359375,7405.34088920375,2.83015280763214 
140000,122700253.429688,12343733.21875,7527.05982128563,5.7446687611725 
150000,121828500.890625,3632676.65625,7439.3535172923,1.70793686618571 
160000,118456262.765625,-9110980.9609375,7251.57191514929,-4.39820563875177 
170000,120362465.3125,-5388197.828125,7353.92377319261,-2.56321613643246 
180000,123212782.609375,5154382.109375,7527.11859927711,2.39546775343328 
190000,119564141.023438,2952388.46875,7300.06329681717,1.41451298650607 
200000,117206358.75,-7842301.1171875,7169.92283274819,-3.82796640395142 
210000,119475460.703125,-12876903.328125,7334.65893833801,-6.15151569479149 
220000,120407039.609375,-11131642.0390625,7380.62718376919,-5.28198589159512 
230000,121006797.875,-7302267.9140625,7399.33034621927,-3.45337926048016 
240000,120999877.640625,-3931310.0703125,7389.36889664465,-1.86089665116325 
250000,121301311.789063,-1135233.125,7404.19470047208,-0.536203335016649 
260000,121680434.421875,-33000.4765625,7427.01125503343,-0.0155389647610773 
270000,121814408.210938,-293827.5,7435.20997221786,-0.138202395368354 
280000,121707981.09375,-896840.796875,7428.89403152797,-0.42219303999722 
290000,121311269.210938,-2498188.125,7406.04811776787,-1.17973712093985 
300000,120870322.304688,-3465324.125,7380.59554557625,-1.64220687674648 
310000,120553226.242188,-4820195.09375,7364.08905276834,-2.28969235193466 
320000,120361161.757813,-5270389.53125,7353.5262144747,-2.5072730612537 
330000,120479150.835938,-5372266,7360.99540821506,-2.55317538147164 
340000,120363705.53125,-5861449.140625,7355.34781287638,-2.7879766346574 
350000,120484532.632813,-5878009.8828125,7362.76320490278,-2.79304186137563 
360000,120464876.914063,-6097570.9609375,7362.23020582084,-2.89766760991251 
370000,120352539.875,-6203129.7265625,7355.71108865589,-2.95048974291219 
380000,120254744.046875,-6553793.6640625,7350.88351463282,-3.11949112769395 
390000,120063677.890625,-6778491.6484375,7339.99901754427,-3.23134449526868 
