Barrido en frecuencia desde 100000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100000,122095874.65625,-13038,7452.36825784362,-0.00611832604955167 
110000,122117133.28125,-68165.5,7453.66693967469,-0.0319823676483042 
120000,122171820.8125,57735.40625,7457.00457500948,0.0270765782022649 
130000,122177129.84375,-35832.40625,7457.32811049273,-0.0168038452997287 
140000,122115930.3125,-137801.125,7453.59709848191,-0.0646551150463276 
150000,122076993.0625,47271.28125,7451.21629778826,0.0221863653787999 
160000,122072034.5625,-87525.375,7450.91500230383,-0.0410809383690646 
170000,122125427.40625,-100327.75,7454.17454247074,-0.047069275186746 
180000,122106759.8125,67484.625,7453.03375108065,0.0316655998962436 
190000,122108317.1875,104113.875,7453.13037953308,0.0488523985760236 
200000,122232645.9375,-164764.78125,7460.72310468824,-0.0772324020963353 
210000,122203961.28125,-452792.09375,7459.01670123389,-0.212292277409084 
220000,122191507.40625,-339482.0625,7458.23413759159,-0.159183234323784 
230000,122307937.1875,213285.875,7465.32323105131,0.0999147590985387 
240000,121634820.3125,440140.15625,7424.27543819815,0.207326020756853 
250000,122257148.9375,1171168.59375,7462.55430423588,0.548851053572519 
260000,121756245.71875,867695.90625,7431.82699038717,0.408311470433883 
270000,121758497.75,373008.0625,7431.81060854792,0.175525497129818 
280000,122160686.6875,-512668.375,7456.38980885393,-0.240450201547376 
290000,121751899.625,-1447760.34375,7431.89837522121,-0.681276007701726 
300000,121670441.25,-2204811.40625,7427.62025802693,-1.03815324467029 
310000,121778029,-2541725.96875,7434.5867062953,-1.19569211593632 
320000,121661489.46875,-2451294.125,7427.36179013447,-1.15426670639416 
330000,121627774.1875,-1715081.5625,7424.53479584104,-0.807878162274842 
340000,121588167.34375,-959595.34375,7421.61039661622,-0.452179048027693 
350000,121908587.875,666393.25,7441.04795837011,0.313194837992326 
360000,121774370.6875,1623785.125,7433.40533379329,0.763958133830766 
370000,122236934.4375,2568399.9375,7462.62487398318,1.20370186493772 
380000,122470279.46875,3449718.34375,7478.18569436316,1.61346942879237 
390000,122042294.5,3679438.875,7452.48252132611,1.72688066868 
400000,122522057.25,3839544.9375,7482.05227899942,1.7949237411828 
410000,121984610.21875,3593612.875,7448.80714530233,1.6874203835202 
420000,121981277.75,3124595.65625,7447.81579184588,1.46733176321821 
430000,121953629.8125,2725664.21875,7445.54492714842,1.28034779124346 
440000,121898056.03125,2164660.40625,7441.4669935721,1.01734904457666 
450000,123272517.90625,1741303.875,7524.93763929263,0.809286040290407 
460000,121881583.125,544206.25,7439.36265575235,0.255826297134023 
470000,121907997.875,-120360.84375,7440.90440331113,-0.0565686111245534 
480000,123355204.09375,-742774.21875,7529.370424722,-0.34499812019722 
490000,123320480.5,-1615499.5625,7527.76034281463,-0.75053236966594 
500000,121765492.3125,-2814606.5625,7434.18791781678,-1.32415483021024 
510000,123271690.75,-3396768.96875,7526.99246777935,-1.57839394914459 
520000,123176349.90625,-4315453.96875,7522.92990950453,-2.00652324634095 
530000,121891219.71875,-5352479.28125,7447.04623444219,-2.51435325168098 
540000,123061796.1875,-5968731.875,7520.15494865952,-2.77677857433406 
550000,122957597.6875,-6727838.34375,7516.19146100973,-3.13191493250287 
560000,121852087.09375,-7632878.625,7452.06560262354,-3.58435442661656 
570000,122748388.9375,-8042310.84375,7508.25937970289,-3.74858539050461 
580000,122074985.90625,-8316469.84375,7468.36399589765,-3.89730540905473 
590000,121998239.3125,-8833452.03125,7465.90291696775,-4.1413533465367 
600000,122536924.3125,-9046401.84375,7499.64293595421,-4.22225426140049 
610000,122462886.84375,-8726847.625,7493.72452410639,-4.07607350552138 
620000,122458142.53125,-8237407.59375,7491.37139243456,-3.84832515689897 
630000,122549093.34375,-8246248.65625,7496.94646125564,-3.84959254260358 
640000,123207393.21875,-6902407.71875,7532.00399315912,-3.20651103616776 
650000,122667968.5625,-6624083.875,7498.19568472519,-3.09097632461264 
660000,123518026.8125,-5157139.78125,7545.74057433152,-2.39083178347108 
670000,124187984.09375,-2892775.625,7582.12048659729,-1.33437923541883 
680000,123092079.125,-3224237.5,7515.75055671077,-1.50044560162054 
690000,124463129.53125,-377043.53125,7596.89325419428,-0.173568968025686 
700000,124879859,2266250.34375,7623.5493413325,1.03965787404426 
710000,124898920.78125,2268750.5,7624.71539411525,1.04064577546295 
720000,125037065.15625,4799485.46875,7637.50994486731,2.19819080032748 
730000,125225122.21875,7061004.21875,7655.50931316093,3.22729006948855 
740000,125189786.21875,7015348.375,7653.19950935723,3.20736954025559 
750000,125164843.8125,8956593.53125,7659.22387080214,4.09301647542846 
760000,125077066.40625,10451929.75,7660.93989642522,4.77676186761863 
770000,125038868.96875,10478994.40625,7658.75432125079,4.79052973423751 
780000,125029567.09375,11452310.4375,7663.37895739694,5.23350732662251 
790000,124720137.59375,12404447.875,7650.1041902681,5.6798593986642 
800000,124758663.28125,12435404.21875,7652.63131793719,5.69219418931014 
810000,124595886.53125,13047116.28125,7646.54326031692,5.97796763431626 
820000,124574827.5,13062190.21875,7645.36076310717,5.98582853034438 
830000,124305808.46875,13411593.1875,7631.28857940292,6.15793162609057 
840000,124207091.4375,13528147.59375,7626.06498838334,6.21592884460946 
850000,124200590.25,13533122.3125,7625.70339303992,6.21851966798027 
860000,123825987.4375,13523111.09375,7602.90732942455,6.23260643213194 
870000,123734621.84375,13387767.375,7596.47056250568,6.17523336673352 
880000,123735626.125,13393367.125,7596.56827890597,6.17774658208021 
890000,123418644.75,13182661.46875,7575.95660033315,6.09679309421351 
900000,123429086.625,12949315.3125,7575.09100155964,5.98916232133948 
910000,123412508.125,12921724.78125,7573.90907152176,5.97729097243822 
920000,123044761.4375,12607478.53125,7549.60613742122,5.85025487655807 
930000,122853831.59375,12285879.875,7536.03455522771,5.71082249883082 
940000,122849989.40625,12248971.34375,7535.5773603754,5.69395617536754 
950000,122662987.4375,11848338.03125,7521.8292687257,5.51723249800505 
960000,122687490.21875,11851483,7523.33637305122,5.51759255360227 
970000,122727010.625,11501457.71875,7523.71389053482,5.35388154571479 
980000,122374579.3125,11101214.6875,7500.05012428532,5.1834014715622 
990000,122381280.34375,11070171.6875,7500.28652799205,5.16870394323455 
1000000,112606938.3125,8322714.125,6891.93902044786,4.22701250026145 
1010000,117040226.03125,9144633.40625,7165.55855193023,4.46758030743784 
1020000,121032647.71875,10091173.59375,7413.10453528291,4.76604854921149 
1030000,119402815.8125,9345395.5,7310.28041610775,4.4752910745127 
1040000,117541712.46875,8924283.6875,7195.04446962645,4.34181749586636 
1050000,120173536.09375,8859040.40625,7354.93833781006,4.21614563189691 
1060000,120283157.9375,8897653.46875,7361.78472785598,4.23061033405917 
1070000,120228512.40625,8921745,7358.56709351177,4.24394450855991 
1080000,120065197,8133282.6875,7345.21672572041,3.87532727398454 
1090000,120136034.96875,8134992.34375,7349.53763295382,3.87386080730186 
1100000,120323028.71875,8146540.40625,7360.97271710625,3.87333267064558 
1110000,120305723.1875,7454417.96875,7357.18548186094,3.54564464799907 
1120000,120250425.84375,7447392.78125,7353.79024237458,3.54393646322911 
1130000,120282817.3125,7478657.28125,7355.88171524975,3.55782002131203 
1140000,120275837.84375,7441214.21875,7355.31505279943,3.5402575558978 
1150000,119900581.75,6737389.5,7329.9187879025,3.216151730462 
1160000,108929297.5625,5061511.15625,6655.89332570128,2.66039338531046 
1170000,118450060.5625,6516242.75,7240.77045813632,3.14881437695289 
1180000,117871566.4375,5805258.53125,7203.2493917337,2.81957963399662 
1190000,117847232.75,5805375.90625,7201.76628692306,2.82021782319046 
1200000,117778901.375,5791249.21875,7197.55820018171,2.81499579584069 
1210000,117755610.59375,5184050.21875,7194.41304787064,2.52075066792089 
1220000,117392897.46875,5127264.6875,7172.14353468322,2.5008671538956 
1230000,117385812.90625,5107197.59375,7171.65818206423,2.49124176674341 
1240000,117331325.0625,4506029.25,7166.83362328144,2.19932437510648 
1250000,117288653.3125,4451559.9375,7164.10412346707,2.17355410129244 
1260000,110621096.84375,3638749.28125,6755.63382835353,1.88399715314053 
1270000,110751231.3125,3105890.53125,6762.58267841807,1.60637301976216 
1280000,110761013.09375,3086470.75,6763.14637326504,1.59619337572751 
1290000,110960386,3093918.65625,6775.32344302372,1.59716966429148 
1300000,111007216.71875,2595834.375,6777.4018709566,1.33958185121763 
1310000,110946015.96875,2602967.21875,6773.67757871605,1.34400211936999 
1320000,111029009.78125,2588097.46875,6778.72066969511,1.33532860627386 
1330000,111084600.9375,2105622.9375,6781.49084886907,1.08591884687885 
1340000,111182876.46875,2139991.3125,6787.52826273245,1.10266379512773 
1350000,110938843.65625,2063378.28125,6772.54741855739,1.06553515107298 
1360000,119356540.53125,2591435.375,7286.88433312779,1.24379430720834 
1370000,119610234.71875,2608911.6875,7302.38861260217,1.24952459775193 
1380000,119721375.5625,2620940.5,7309.18673923692,1.25411895109544 
1390000,119742748.71875,2613861.25,7310.48153780187,1.25050943513775 
1400000,120023896.8125,2167351.1875,7327.09517912327,1.03451549391229 
1410000,120077797.59375,2149945.6875,7330.36549070652,1.02574877261604 
1420000,120020686.3125,2172943.0625,7326.90542210957,1.03721175172606 
1430000,120071202.1875,1694783.75,7329.51825788386,0.808666078525769 
1440000,120137549.75,1675243.3125,7333.55078552289,0.798902184547436 
1450000,120130284.46875,1711773.25,7333.1388067655,0.816369876953966 
1460000,120169841.5,1174980.8125,7335.15949881608,0.56020125744761 
1470000,120215261.75,1272195.84375,7337.99207508617,0.606318453958057 
1480000,120121608.4375,1226094.90625,7332.24681658604,0.584804223031134 
1490000,120232792.25,759566.1875,7338.79766177026,0.361959138093294 
1500000,120287698,824947.25,7342.17516157171,0.392935067507393 
1510000,120256931.09375,749134.53125,7340.26700150401,0.356916573011216 
1520000,120418124.59375,355503.28125,7349.99538305148,0.169150437372362 
1530000,120410655.125,340282.125,7349.53678670386,0.161918209677307 
1540000,120362944.9375,369770.84375,7346.63001974937,0.17601963871154 
1550000,120445905.125,-60125.59375,7351.65990979322,-0.028601574066523 
1560000,120319924.21875,56933.71875,7343.97031701847,0.0271115658863375 
1570000,120392536.6875,124411.78125,7348.40546709104,0.0592085493509184 
1580000,120500323.96875,-451625.75,7355.03221501498,-0.214739076068111 
1590000,120324994.1875,-385012.84375,7344.31654793275,-0.183332946479102 
1600000,120476869.96875,-500680.96875,7353.61249646759,-0.238109948005317 
1610000,120432462.4375,-925080.1875,7351.05534856424,-0.440098516429231 
1620000,120491278.78125,-926368.5,7354.64582112611,-0.440496275871788 
1630000,120529827.75,-833547.34375,7356.95730426972,-0.39623373194573 
1640000,120583737.78125,-751698.3125,7360.21489532642,-0.357167423079314 
1650000,120594561.78125,-1279390.5625,7361.14677161129,-0.607829478706227 
1660000,120663623.1875,-1290138.90625,7365.36882176667,-0.612584768640089 
1670000,120650886.59375,-1233876.75,7364.55554405104,-0.585934075682052 
1680000,120708437.28125,-1642251.21875,7368.36501762194,-0.779467126971172 
1690000,120788511.5625,-1651836.65625,7373.26003816062,-0.783496445928101 
1700000,120786141.625,-1652963.25,7373.11633839371,-0.784046124840481 
1710000,120847163.4375,-2078528.65625,7377.24155987398,-0.985370072620787 
1720000,120822016,-2063388.03125,7375.69102435123,-0.97839729978308 
1730000,120882816.125,-2080480.78125,7379.41942134737,-0.986004499156849 
1740000,120972580.65625,-2499933.9375,7385.38217315319,-1.18386561914082 
1750000,120987202.34375,-2527626.5625,7386.30955856737,-1.19683129361767 
1760000,120962974.4375,-2510831.78125,7384.80973743928,-1.18911930892522 
1770000,120951857.46875,-2771878.03125,7384.47921033669,-1.31282909704592 
1780000,121039123.625,-2730144.28125,7389.74639831902,-1.29213778205484 
1790000,121046249.34375,-2749351.375,7390.20774826662,-1.30114853324016 
1800000,121163111.5625,-3084513.84375,7397.83118740752,-1.45829418701882 
1810000,120972190.5625,-3103728.40625,7386.211706023,-1.46968930243434 
1820000,121009468.46875,-3086293.09375,7388.45908030876,-1.46098684556713 
1830000,121117534.46875,-3429128.5,7395.61559980552,-1.62174799095014 
1840000,121153223.78125,-3434578.90625,7397.80251655133,-1.62384605087955 
1850000,121201335.9375,-3431220.71875,7400.73215694934,-1.62161554193027 
1860000,121217809.40625,-3734246.6875,7402.28367168436,-1.76450087440182 
1870000,121130455.375,-3734380.53125,7396.95462377398,-1.76583579979965 
1880000,121315204.0625,-3624107.625,7408.02175044819,-1.71111557334877 
1890000,121326169.1875,-3587132.09375,7408.62368942189,-1.69351488656099 
1900000,121293319.625,-4081794.84375,7407.57353499096,-1.92740535277584 
1910000,121396595.71875,-4086316.34375,7413.88291587465,-1.92789848883879 
1920000,121480805.125,-4071049.1875,7418.98863023093,-1.91937052868646 
1930000,121251440.34375,-4520511.3125,7405.96809077874,-2.13511951863225 
1940000,121268535.625,-4541099.15625,7407.05772828586,-2.14453239353272 
1950000,121190822.0625,-4567403.875,7402.37794158272,-2.15832491872212 
1960000,121327246.71875,-4698114.59375,7411.00341258759,-2.21753748489147 
1970000,121355750.59375,-4696645.46875,7412.73843321098,-2.21632457109098 
1980000,121340991.71875,-4687220.8125,7411.81604255285,-2.21215030965096 
