Barrido en frecuencia desde 100000 hasta 2000000 con incrementos 10000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100000,113821353.03125,-40891.71875,6947.31653045294,-0.0205842114701259 
110000,120920370.40625,-61931.53125,7380.61990819543,-0.029345056066381 
120000,120953944.09375,16296.34375,7382.66824497622,0.00771956400194692 
130000,120982379.4375,-21183.28125,7384.40389977917,-0.0100321435658929 
140000,120957943.03125,-108118.59375,7382.91521056509,-0.0512139782118776 
150000,120905977.0625,7725.71875,7379.74042843905,0.00366111823610519 
160000,120948858.0625,-32599.28125,7382.35800993276,-0.0154429005405761 
170000,120982192.59375,-51036.46875,7384.39303925561,-0.0241702851012555 
180000,120956180.15625,46789.59375,7382.80521293259,0.0221637795590488 
190000,120949159.1875,82730.125,7382.37784853708,0.0391907334758694 
200000,121077014.125,-166129.03125,7390.18696232555,-0.0786151396341709 
210000,121022492.71875,-388308.78125,7386.8902050554,-0.183836718824771 
220000,121025496.4375,-298071.40625,7387.0579237744,-0.141112406422933 
230000,121115101.5,182442.4375,7392.51313281871,0.0863077653976499 
240000,120530742.4375,335586.4375,7356.86572546031,0.159524752421664 
250000,121249888.0625,986952.59375,7400.9768856191,0.466367188084807 
260000,120639655.6875,758557.5,7363.6305118684,0.360259404383973 
270000,120683395.8125,335881.1875,7366.18324638328,0.159462904096317 
280000,121072037.65625,-402777.0625,7389.91714986374,-0.190608344241037 
290000,120686271.0625,-1270914.65625,7366.73865212998,-0.603344139411791 
300000,120626620.96875,-1915893.96875,7363.6179652182,-0.909943496130967 
310000,120754156.125,-2246245.5625,7371.74879798186,-1.06568215188867 
320000,120639833.1875,-2167099.75,7364.68372697846,-1.02911545359487 
330000,120593321.3125,-1589071.1875,7361.29584882239,-0.754948966156626 
340000,120541531.28125,-897000.4375,7357.69943629702,-0.426354221035339 
350000,120800932.0625,558961.5625,7373.40771198828,0.265113102474074 
360000,120670270,1404765.0625,7365.85262032662,0.666970196424845 
370000,121101043.25,2293285.375,7392.97190637616,1.08487810295825 
380000,121281776.40625,3132510.78125,7405.14685432963,1.47952773905888 
390000,121049645,3368610.65625,7391.36981414501,1.59403502519001 
400000,121417779.28125,3512206.84375,7414.07921436015,1.65691162036304 
410000,120902685.0625,3312901.3125,7382.30937174134,1.56959109492794 
420000,120959239.78125,2893815.71875,7385.10394580508,1.37047658250986 
430000,120906964.5,2537324.53125,7381.42554466927,1.20221900816956 
440000,120836917.53125,1998492.1875,7376.53387174504,0.947514481255595 
450000,122229801.90625,1631088.40625,7461.2069706397,0.764534782446491 
460000,120870077.71875,493404.5,7377.61069242542,0.233886160672136 
470000,120916859.875,-106894.90625,7380.40755177374,-0.0506515418147385 
480000,122315585.125,-737481.78125,7465.91438749859,-0.345451329655222 
490000,122302840.40625,-1547432.9375,7465.59828109923,-0.724894413244541 
500000,120866955.71875,-2694301.65625,7379.19137890339,-1.27699544252097 
510000,122281756.40625,-3241194.53125,7466.33529707734,-1.518323751707 
520000,122246882.125,-4090181.59375,7465.76057578484,-1.91630860959808 
530000,120935600.84375,-5063808.90625,7388.01661316625,-2.39768516552165 
540000,122097705.84375,-5628927,7460.39545128551,-2.63957099836941 
550000,121978799.125,-6359120.90625,7455.33290686655,-2.98429928481807 
560000,120875956.84375,-7172811.65625,7390.88644720797,-3.3959646061009 
570000,121741893.4375,-7528603.75,7444.95732656775,-3.53870463850423 
580000,121106918.875,-7764015.0625,7407.18005304612,-3.66814191519232 
590000,121016542.875,-8217762.78125,7403.49986968348,-3.88476968097934 
600000,121453064,-8380626.90625,7430.76051339767,-3.94732419228954 
610000,121345608.84375,-8057357.71875,7422.88395164499,-3.79886766444284 
620000,121310381.34375,-7658718.375,7419.16567298657,-3.61247419919108 
630000,121222995.28125,-7607914.4375,7413.64761733158,-3.59115388943251 
640000,121976729.8125,-6381595.34375,7455.27831820314,-2.99487795834288 
650000,121447415.3125,-6100432.6875,7422.13412241818,-2.87561095488656 
660000,122239844.3125,-4747898.6875,7466.78156427554,-2.22429833291905 
670000,122545092.71875,-2650070.71875,7481.53591216159,-1.23884361060167 
680000,121482740.5625,-2931902.84375,7417.10349723338,-1.38252606286336 
690000,122850469.25,-391059.6875,7498.46441006638,-0.182384276506567 
700000,123293182.34375,1939944.0625,7526.37979221352,0.901440241508987 
710000,123070269.1875,1904763.8125,7512.7419879965,0.886698431552636 
720000,123292347.40625,4193627.59375,7529.74926987056,1.94808980380817 
730000,123478776.9375,6173476.40625,7546.19012841908,2.86219118263702 
740000,123472273.84375,6193925.8125,7545.85612641399,2.87180723155049 
750000,123556438.28125,7999642.1875,7557.30675652701,3.70443581608031 
760000,123499843.78125,9509755.1875,7560.37711794154,4.40321001121966 
770000,123503711.34375,9482136.84375,7560.48325394217,4.39033527764396 
780000,123494065.53125,10458991.5625,7564.69447819882,4.84095676643876 
790000,123297069.3125,11480248.1875,7558.23734665331,5.3194998177209 
800000,113237675.59375,7175136.59375,6925.55124367684,3.62561468250328 
810000,112659787.78125,7674611.40625,6892.35451510342,3.89708293815491 
820000,113535217.59375,7814943.125,6946.248472048,3.93761610932762 
830000,113629653.4375,8384986.1875,6954.47290640978,4.22033444684174 
840000,121076492.3125,11838959.3125,7425.39304632332,5.58467521936944 
850000,121566480.25,12106203.65625,7456.75780694558,5.68705251589795 
860000,120475316.125,11809083.5,7388.69596205002,5.59829265272715 
870000,120554380.625,11926114.75,7394.19863157219,5.64973186212656 
880000,120736354.5625,12012827.875,7405.77404925905,5.68202101198582 
890000,120475626.21875,11901884.6875,7389.26951951397,5.6419894229683 
900000,120537972.15625,11795027.75,7392.41846733322,5.58878338160303 
910000,120530186.625,11784363.125,7391.88215160308,5.58412055840229 
920000,120172667.625,11570250.875,7368.90016834915,5.49949882686522 
930000,120009238.59375,11328186.5625,7357.56773163334,5.39241617663485 
940000,120013512.6875,11319391,7357.77702450484,5.38806322079297 
950000,119840069.34375,11026587.6875,7345.57836246797,5.25703187701299 
960000,119834549.90625,11003895.59375,7345.1161089822,5.24651392177988 
970000,119928439.6875,10761456.6875,7349.48557298031,5.12755028303813 
980000,119619013,10421523.28125,7328.84487844716,4.97918659917302 
990000,119628124.3125,10386066.78125,7329.21140289272,4.96195489112705 
1000000,119660600,10045580.90625,7329.41837865694,4.79876358550207 
1010000,119390022.40625,9704149.09375,7311.24332354065,4.64684708149173 
1020000,119380834.5625,9715798.78125,7310.74201312821,4.65275756716931 
1030000,119435853.6875,9380137.21875,7312.45652631108,4.49062267171894 
1040000,119447045.15625,9402288.71875,7313.24349868853,4.50076389423266 
1050000,119238859.78125,8689715.65625,7297.28560369307,4.1681496470197 
1060000,119241272.40625,8582430.21875,7296.95944471758,4.11678364187324 
1070000,119192955.34375,8570358.28125,7293.96504626714,4.11267365148333 
1080000,119079664.9375,7991391.625,7284.61643393683,3.83934141718722 
1090000,119154174.09375,8018429.4375,7289.26467068619,3.8498906140023 
1100000,119182916.75,7952787.53125,7290.74722619299,3.81754941565581 
1110000,119165243.75,7299704.65625,7287.12505785108,3.50538705666017 
1120000,119172987.40625,7287528.15625,7287.55142192154,3.4993275003447 
1130000,119164713,7317609.0625,7287.15962332819,3.51397901565523 
1140000,119161124.6875,7302935.5,7286.88617337343,3.50705558936585 
1150000,119107018.03125,6624266.40625,7281.1721364466,3.18328769510776 
1160000,119112885.3125,6611138.28125,7281.48525489295,3.17683574537673 
1170000,119143228.09375,6617354.78125,7283.3554744925,3.17900866116623 
1180000,119025415.9375,5982736.53125,7274.1282572235,2.87751405070331 
1190000,119056121.9375,5969302.8125,7275.95899158968,2.87032442049095 
1200000,119054742.59375,6000566.71875,7275.97071405888,2.88536562745211 
1210000,118986118.65625,5358105.25,7269.91783855409,2.57836427417339 
