Barrido en frecuencia desde 2000000 hasta 4000000 con incrementos 100000
N: 1 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

2000000,112769909.1875,15442681.6875,6947.3773299517,7.79756905928379 
2100000,112835136.625,13329394.6875,6935.00901559512,6.73721815530847 
2200000,112771975.1875,12109703.125,6922.83668996095,6.12906108730203 
2300000,112398527.75,9938630.1875,6887.2386624937,5.05313023669505 
2400000,112239181.9375,8933513.9375,6872.41100154789,4.55078023020286 
2500000,111934891,6675485.875,6844.31092501621,3.41291879051517 
2600000,111853609.1875,4700035.5,6833.23540557229,2.40612597386404 
2700000,111980988.5,3671751.9375,6838.65895479617,1.87800221757822 
2800000,112152011.125,1466566.5625,6846.00967830361,0.74919107137029 
2900000,112351980.25,373290,6857.66779852947,0.190364805200571 
3000000,112695233,-1552003.25,6879.23333495729,-0.789009548866752 
3100000,113660144.5,-3488900.3125,6940.74400207993,-1.75819338569797 
3200000,113656056.3125,-4112266.4375,6941.76618693609,-2.07215333353226 
3300000,114020085.625,-5605408.6875,6967.85106203684,-2.81448566598376 
3400000,114162943.0625,-6285497.25,6978.7190293894,-3.15136615641556 
3500000,114805929.875,-7898515.625,7023.97616535293,-3.93568183408254 
3600000,115437897.125,-9219535.1875,7068.42094115436,-4.5662786065443 
3700000,115909954.5625,-9960888.5625,7100.87398296234,-4.91172774036665 
3800000,116675670.625,-11444397,7155.71165127847,-5.60206593134214 
3900000,116966549.1875,-12564550.0625,7180.3616895829,-6.13120362579673 
---------------------------------------------------------- 

