Barrido en frecuencia desde 100000 hasta 2000000 con incrementos 10000
N: 128 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

100000,120556610.038086,-98068.9597167969,7358.41852632623,-0.0466082801418278 
110000,120539017.37915,-151744.551269531,7357.34811813412,-0.0721286596490515 
120000,120523132.372559,-163725.311035156,7356.37950250442,-0.0778337184463632 
130000,120469564.054443,-82665.50390625,7353.10479547902,-0.039316019601557 
140000,120494321.5,-261058.205810547,7354.63144620089,-0.124134563443286 
150000,120610605.786865,-314331.867675781,7361.73683202458,-0.149322263094541 
160000,120455738.728027,-129515.129638672,7352.26345749948,-0.0616049308246347 
170000,120473721.035156,121713.863769531,7353.36054680177,0.0578855560336129 
180000,120410309.041992,-70969.7260742188,7349.48759158521,-0.0337700761566233 
190000,120531293.988525,-448789.390380859,7356.92187278297,-0.213335626609817 
200000,120533962.329346,-742326.629638672,7357.17326414128,-0.352860259088836 
210000,120587652.105713,-531231.700683594,7360.38222802068,-0.252406751127892 
220000,120636483.197998,-60034.1791992188,7363.29222302077,-0.028512973186173 
230000,120530425.785645,200736.23046875,7356.82808573469,0.0954226129423548 
240000,120057839.90918,92643.8920898438,7327.97483162878,0.0442128807651508 
250000,120166757.342773,-113289.720458984,7334.62390489741,-0.0540167768935617 
260000,119875680.135742,-415692.69140625,7316.89815253113,-0.198683680443353 
270000,119931312.8479,-788022.211425781,7320.40783192523,-0.376462960873601 
280000,119924685.824219,-1277549.55419922,7320.26065587922,-0.610344970219627 
290000,119908256.495117,-1406764.4909668,7319.34618955232,-0.672163642090566 
300000,120177647.74585,-1242182.16943359,7335.67719389791,-0.592200484781151 
310000,120273040.965088,-771813.051269531,7341.25903311137,-0.36767194920498 
320000,120293502.063477,-264758.31640625,7342.37454885693,-0.126104148325373 
330000,120507766.665039,637025.26171875,7355.53760595086,0.302872752395502 
340000,120145169.910156,1037334.68432617,7333.57634242324,0.494680082304821 
350000,120412568.626953,1783055.82519531,7350.42997825754,0.848367479050197 
360000,120053422.184326,1792819.79614258,7328.52003481194,0.855563889512784 
370000,120552993.135986,1870680.62158203,7359.0811732629,0.889015693424201 
380000,120824579.214844,1403882.31689453,7375.26993127192,0.665699915703269 
390000,120619794.342285,739800.795654297,7362.41114789391,0.351409418396205 
400000,121245056.4729,318411.521484375,7400.46232950221,0.150468768947822 
410000,120882037.737549,-351527.532226563,7378.31042580839,-0.166616873620334 
420000,121135533.627197,-1357301.64941406,7394.21598240615,-0.641961936607818 
430000,121169229.724609,-1902404.94433594,7396.72005739362,-0.899492549142241 
440000,121138491.895508,-2534961.10913086,7395.55116237133,-1.19880456940163 
450000,122030410.15918,-2842312.01098633,7450.39259011749,-1.33428251191757 
460000,121010604.224365,-3908393.8671875,7389.97798506724,-1.84989288425034 
470000,120898825.716064,-4312437.45581055,7383.99689732271,-2.04286313531069 
480000,121493884.565674,-4500705.86572266,7420.71106049088,-2.12153549108841 
490000,121154852.715332,-4837406.98388672,7400.82320460782,-2.28646111795865 
500000,120057594.633301,-5413090.2734375,7335.40231845398,-2.58157195227222 
510000,120421003.749756,-5223100.60791016,7357.04965610769,-2.48357145816348 
520000,120013254.332764,-5245305.56347656,7332.24435831035,-2.50257965175085 
530000,119288800.739014,-5297109.4699707,7288.20788567536,-2.54259210497589 
540000,119393435.445557,-4993269.22802734,7293.789728556,-2.39482704168394 
550000,119152802.001709,-4722237.61303711,7278.44115280667,-2.2695459732065 
560000,118912980.29126,-4274088.1328125,7262.78067896438,-2.05849551382885 
570000,118985577.134766,-3950811.06787109,7266.52733927503,-1.90175708857646 
580000,119226045.377197,-3414676.99145508,7280.18641589278,-1.64052335499287 
590000,119575998.854736,-2517093.98950195,7300.17935954282,-1.20590726991636 
600000,119504612.729004,-2286017.29003906,7295.53974859873,-1.0958838076328 
610000,120317455.268555,-1479469.00195313,7344.37397261615,-0.704495101155337 
620000,120997686.534668,-466499.960205078,7385.39297548524,-0.220899648535907 
630000,120989756.943359,-514394.165283203,7384.92083041009,-0.243594481418241 
640000,121957246.474365,588375.916503906,7443.99339332024,0.276418140072596 
650000,121355524.717041,614928.558349609,7407.2745554677,0.290324726743383 
660000,122708817.245361,1571452.73291016,7490.39455085818,0.733710010961109 
670000,123432573.199951,2549236.21655273,7535.5629083276,1.18315377213096 
680000,122310598.539795,2279742.32299805,7466.77100177248,1.06781008329794 
690000,123937511.423584,3503116.69995117,7567.7974584322,1.61904474183815 
700000,124278200.407471,4425207.07788086,7590.37813752567,2.03928456229039 
710000,124280714.110352,4422494.6730957,7590.52557990565,2.03799446259125 
720000,124440478.054199,5307814.64135742,7602.38196329009,2.44238173837838 
730000,124364632.737061,6133784.63696289,7600.07342583326,2.82359553138924 
740000,124360323.455566,6134206.4987793,7599.81198799879,2.8238871052141 
750000,124220125.04248,6938000.06958008,7593.84297464442,3.1967891013548 
760000,123832376.006348,7668342.39331055,7572.8373405243,3.54352669642111 
770000,123826668.543213,7668917.33300781,7572.49180919178,3.54395462337827 
780000,123397248.856201,8287178.12988281,7548.76632866636,3.84213104582649 
790000,122907159.545654,8903735.05004883,7521.54564911607,4.14342690169026 
800000,122901902.425537,8909791.80688477,7521.2523301735,4.14641237358364 
810000,122541223.320801,9325874.65942383,7501.17978786107,4.35204764019501 
820000,122519108.327393,9341765.50683594,7499.90752563875,4.36021861376952 
830000,121955615.636963,9591613.19824219,7466.79382576445,4.49696413932044 
840000,121744055.587891,9628240.68310547,7454.09657611628,4.52187764152122 
850000,121726993.626465,9637061.58740234,7453.10087959788,4.52663490593666 
860000,121294417.733887,9492757.48779297,7426.08797292334,4.474967344672 
870000,121230915.938477,9152825.77783203,7420.63295692837,4.31758898114934 
880000,121228208.188232,9152956.89892578,7420.4687555096,4.31774667419424 
890000,121038122.226563,8742228.60131836,7407.05125982257,4.13113239587039 
900000,121162096.346436,8209280.76171875,7412.32861576953,3.87612444994666 
910000,121161998.435791,8206630.6394043,7412.31172041176,3.87488009260778 
920000,121024410.854004,7633151.16455078,7401.64725639853,3.60893149312298 
930000,121035914.067871,7055231.52587891,7400.21154337886,3.33601883021549 
940000,121034540.950928,7029918.30395508,7400.03812557907,3.32411415767495 
950000,121102251.689209,6402563.0612793,7402.04366305052,3.0263568106737 
960000,121101302.840088,6396658.5065918,7401.96681025183,3.02359467918982 
970000,121290963.559814,5935242.75463867,7412.09717642484,2.80147265918761 
980000,121163005.669922,5427107.06811523,7402.84369446658,2.56466587808977 
990000,121166920.779053,5421017.0925293,7403.06579850081,2.56170913373905 
1000000,121289645.329346,5021335.39257813,7409.49988195537,2.37066509422978 
1010000,121128101.659424,4656591.69946289,7398.75951548923,2.20156782409875 
1020000,121126969.233643,4651384.34130859,7398.67824338439,2.19912882001551 
1030000,121195509.981445,4370441.69287109,7402.22088175903,2.06525311571133 
1040000,121188545.310547,4368900.42114258,7401.79266533091,2.06464396281226 
1050000,120885920.04541,3831465.45898438,7382.22136506594,1.8153754766287 
1060000,120888338.804443,3832936.02294922,7382.37176876688,1.81603546175017 
1070000,120877936.414551,3838406.24829102,7381.74774630424,1.81878190187596 
1080000,120726389.004883,3416504.7487793,7371.72900389361,1.62101320740967 
1090000,120718276.810303,3420694.83032227,7371.2412975252,1.62310919965072 
1100000,120709445.824951,3427009.59643555,7370.71342501638,1.62622282985202 
1110000,120590908.236572,3033888.08178711,7362.83860333506,1.44117267211839 
1120000,120578408.885742,3040043.20849609,7362.08538096414,1.44424490814239 
1130000,120580935.702148,3041339.35400391,7362.24155566732,1.44483014723159 
1140000,120571605.693359,3043423.30297852,7361.67546937768,1.44593156798933 
1150000,120451248.10083,2548158.64013672,7353.63007696408,1.21191738353717 
1160000,120454839.331299,2544403.96459961,7353.84438252876,1.21009610385734 
1170000,120442572.360596,2549903.22412109,7353.10290722012,1.2128341996565 
1180000,120347131.293701,1962432.29736328,7346.60666918024,0.934206929234079 
1190000,120349074,1965543.26342773,7346.72832874376,0.935672525897452 
1200000,120343534.016357,1963411.52197266,7346.38810604226,0.934700936002456 
1210000,120323576.883301,1308252.97998047,7344.62653603058,0.622940430129861 
1220000,120319587.085938,1302901.83056641,7344.37948118977,0.62041318599011 
1230000,120316620.497314,1301467.78833008,7344.19747280271,0.61974565911609 
1240000,120447066.739502,528172.263671875,7351.80057848822,0.251246032096839 
1250000,120449032.834961,515943.700927734,7351.91734689714,0.245425098353896 
1260000,120378441.742188,556759.140869141,7347.61981635647,0.264995301964935 
1270000,120480742.752441,-43267.9943847656,7353.7858529504,-0.0205765112583926 
1280000,120478967.675537,-46763.0834960938,7353.67758726289,-0.0222389620237148 
1290000,120477281.317627,-55356.3212890625,7353.57487930261,-0.0263259871184544 
1300000,120603315.461182,-675593.093994141,7361.38234857435,-0.320954925014406 
1310000,120603204.968994,-672451.700195313,7361.37453298693,-0.319462862489238 
1320000,120601358.45166,-679507.649902344,7361.26424274832,-0.322819817373894 
1330000,120679611.251221,-1263676.9375,7366.32754073984,-0.599941516996091 
1340000,120682890.222168,-1267296.34521484,7366.52998480842,-0.601643389887219 
1350000,120680962.96582,-1269289.07177734,7366.41363550856,-0.602598980940124 
1360000,120725877.678223,-1792647.49975586,7369.56000695318,-0.850717260752232 
1370000,120724516.373535,-1794763.52294922,7369.47884489563,-0.851730893764787 
1380000,120725617.183594,-1802465.87084961,7369.55303100443,-0.855377813522612 
1390000,120724281.50708,-1795590.5390625,7369.46526146799,-0.852124965864835 
1400000,120776235.778809,-2323977.97412109,7373.18599307081,-1.10235013307988 
1410000,120778359.539063,-2322382.07519531,7373.31372375445,-1.10157395923121 
1420000,120778595.369629,-2327290.19628906,7373.33388090313,-1.10389929466769 
1430000,120823492.216064,-2757320.93017578,7376.62591159557,-1.30732386436222 
1440000,120822504.878174,-2758597.87304688,7376.56744177578,-1.30793977327488 
1450000,120821940.958984,-2758389.51806641,7376.53274052209,-1.30784712184625 
1460000,120897690.293701,-3210280.61450195,7381.83570007454,-1.52105732697445 
1470000,120893391.913574,-3210796.68798828,7381.57426844727,-1.52135579659299 
1480000,120897640.853027,-3212252.70043945,7381.83587955733,-1.52199190025107 
1490000,120974841.111816,-3659065.63476563,7387.32050094639,-1.73246865590151 
1500000,120982753.454346,-3669457.04199219,7387.82242734206,-1.73727213875019 
1510000,120975095.75293,-3662551.18261719,7387.34247134779,-1.73411431348711 
1520000,121053128.946045,-4097271.88574219,7392.95321834403,-1.93854387417276 
1530000,121055856.675293,-4108008.27514648,7393.14181178781,-1.94357593374909 
1540000,121057608.25,-4116777.78271484,7393.26683393059,-1.94769360059304 
1550000,120992229.15625,-4405714.66186523,7389.89933024483,-2.0854015117916 
1560000,121203201.463867,-4653877.39355469,7403.33364368938,-2.19892380187187 
1570000,121038832.589844,-4505620.02319336,7392.96630584498,-2.13182717214474 
1580000,121162697.479736,-4985653.79833984,7401.66814107616,-2.356301619433 
1590000,121169434.717773,-4997351.09423828,7402.10840088893,-2.36169252693832 
1600000,121166986.242432,-5003067.26342773,7401.97346595462,-2.36443858493188 
1610000,121237294.559326,-5424667.24365234,7407.3668696401,-2.56194572312226 
1620000,121236112.203613,-5461128.19799805,7407.39458619599,-2.57916733872065 
1630000,121240942.530273,-5449477.07641602,7407.65715005696,-2.57356978506878 
1640000,121240953.492676,-5465288.48193359,7407.7012154574,-2.58102656247366 
1650000,121339953.766113,-5885098.5065918,7414.934919883,-2.77672170211044 
1660000,121346721.405029,-5913182.83300781,7415.43074631959,-2.78979627909411 
1670000,121343564.321045,-5915671.04272461,7415.2456693985,-2.79104084229696 
