Barrido en frecuencia desde 100 hasta 100000 con incrementos 500
Metodo usado: LI de 64 ciclos
Formato: frecuencia,X,Y,R,phi 

100,121728428.291992,-164992.717529297,7429.94720962339,-0.0776595961055616 
600,121134826.457886,-6716863.05871582,7405.0664885196,-3.17377106630159 
1100,119596610.10498,-14120759.0664063,7350.52602797056,-6.73373156004259 
1600,117174362.37561,-21210172.7072754,7268.20011147603,-10.2602254422955 
2100,113992771.645874,-27785906.1315918,7161.49415567338,-13.6987967330214 
2600,110156593.450684,-33773281.1240234,7032.54260897893,-17.0451922591298 
3100,105907298.895996,-38991569.970459,6888.45377679736,-20.2120406570129 
3600,101292496.551758,-43542002.4676514,6729.61183721272,-23.2611304705794 
4100,96479515.6911621,-47397956.4748535,6561.08582994004,-26.1637241562467 
4600,91542827.6876221,-50599325.9482422,6384.24491973274,-28.9311572096751 
5100,86684332.4157715,-53142316.8641357,6206.08108582013,-31.5106133609839 
5600,81884779.3482666,-55136868.7312012,6025.43631738918,-33.9542344624665 
6100,77212372.0174561,-56640008.4918213,5844.86138605387,-36.2623308227813 
6600,72733644.8226318,-57701610.8079834,5666.80615019247,-38.425939779521 
7100,68456629.3270264,-58393144.6385498,5491.99871233943,-40.4640039249084 
7600,64426716.7590332,-58759327.6700439,5322.29520464868,-42.3658650504539 
8100,60554318.6347656,-58860070.404541,5154.40672212143,-44.1871435173308 
8600,57115048.0316162,-58745018.2911377,5000.9793722735,-45.806008998532 
9100,53733852.3925781,-58440993.680542,4845.69223664091,-47.402866644409 
9600,50627644.3243408,-57990967.0219727,4698.7051328846,-48.8781826993026 
10100,47722060.4443359,-57424646.6479492,4557.37924183862,-50.2687347213672 
10600,45000664.239502,-56758147.7355957,4421.09760742235,-51.5874827978737 
11100,42491322.8565674,-56023090.3103027,4291.77455923063,-52.8177075825849 
11600,40160939.128418,-55233141.7335205,4168.25238028613,-53.9750766844457 
12100,38004503.59375,-54408362.8348389,4050.85926490173,-55.0621173981929 
12600,35962961.8933105,-53537466.90625,3936.57778924086,-56.1059835415974 
13100,34093115.0178223,-52662798.520752,3829.17227694524,-57.0781810125939 
13600,32333537.6865234,-51768124.1567383,3725.45700979566,-58.008365449852 
14100,30683351.9440918,-50863237.8876953,3625.68989182995,-58.8960362324869 
14600,29167804.1507568,-49971616.0517578,3531.67766336637,-59.725029987793 
15100,27755381.2207031,-49086464.1340332,3441.56621174187,-60.5162173396824 
15600,26381526.3947754,-48173826.619873,3352.12025758199,-61.2951896987832 
16100,25176245.7670898,-47325105.4492188,3271.59568056961,-61.9894036095366 
16600,24047615.0606689,-46490670.3911133,3194.49706407785,-62.6511382450353 
17100,22990654.1306152,-45672951.019043,3120.72164254649,-63.2821374609321 
17600,21997122.2794189,-44873112.0327148,3050.02536711789,-63.8872846881985 
18100,21016971.989502,-44045362.7597656,2978.49944492629,-64.492797281193 
18600,20109903.3538818,-43244164.4405518,2910.67067472468,-65.0617940412071 
19100,19273046.1254883,-42483410.6573486,2847.15938957687,-65.5997910130191 
19600,18584235.0725098,-41832878.6816406,2793.72104353405,-66.0485499677083 
20100,17753413.8458252,-41017111.7296143,2727.76038085981,-66.5973287016722 
20600,17042001.2995605,-40296118.9512939,2670.22464418429,-67.0772769534822 
21100,16382904.7624512,-39613167.8568115,2616.24945661204,-67.5330839566221 
21600,15752725.5974121,-38931975.3052979,2563.20777596933,-67.9723819533346 
22100,15188981.1671143,-38305373.411377,2514.91353777095,-68.3722207446522 
22600,14587938.6625977,-37615392.3076172,2462.31696815556,-68.8045050846027 
23100,14093908.0136719,-37032336.9592285,2418.28583257344,-69.1656960799223 
23600,13735684.6994629,-36602941.2993164,2386.04243617016,-69.4325172299483 
24100,13111015.6113281,-35834732.2843018,2328.83129313925,-69.9054251939226 
24600,12627715.7398682,-35218895.0705566,2283.44713729489,-70.276443036877 
25100,12212547.4625244,-34677529.9851074,2243.92623768264,-70.6079803662606 
25600,11810628.7055664,-34139677.2880859,2204.84834548265,-70.9258800597907 
26100,11472480.9718018,-33680209.3814697,2171.6233314009,-71.1985829577324 
26600,11088089.0074463,-33143615.8590088,2133.08914919106,-71.511455239617 
27100,10701166.4276123,-32596689.6829834,2093.97355424606,-71.834462932872 
27600,10373643.5756836,-32122077.5628662,2060.24015351066,-72.1113831539264 
28100,10039746.3376465,-31625595.5645752,2025.16652361583,-72.3965809465794 
28600,9725891.31750488,-31145852.260376,1991.48446276271,-72.6669745470498 
29100,9450016.10461426,-30718160.1022949,1961.56591022428,-72.9091637030985 
29600,9195579.94140625,-30319287.5113525,1933.74638575615,-73.136851908654 
30100,8899818.02514648,-29844424.2537842,1900.79258173091,-73.4040005838215 
30600,8662776.91162109,-29458480.5638428,1874.09836273036,-73.6220654058038 
31100,8348474.89233398,-28934207.2368164,1838.01161246186,-73.9143540905608 
31600,8122514.02770996,-28556182.3575439,1812.03322933927,-74.1310923602372 
32100,7955372.7401123,-28265939.197998,1792.2103153486,-74.2898386374242 
32600,7766809.82177734,-27937770.9423828,1769.82101096149,-74.4728135092735 
33100,7559528.71740723,-27568504.4371338,1744.72895338646,-74.674850829589 
33600,7344734.91369629,-27180011.0771484,1718.4067419828,-74.8873303039792 
34100,7155884.49963379,-26834162.8048096,1695.03159194668,-75.0773206439357 
34600,6971532.68896484,-26492719.1456299,1672.00544318605,-75.2658661249517 
35100,6775380.11975098,-26120123.7121582,1647.10481449988,-75.4060290026045 
35600,6629121.67980957,-25839643.8812256,1628.29736332973,-75.5588438403509 
36100,6452924.61669922,-25496270.6341553,1605.3315909159,-75.7447631752349 
36600,6267153.62451172,-25127428.5559082,1580.73340203906,-75.9429856840225 
37100,6151035.60009766,-24896589.7432861,1565.35070511806,-76.0698940861437 
37600,5997106.60131836,-24585000.8400879,1544.6400429783,-76.2390263234819 
38100,5870946.86181641,-24331388.6159668,1527.78066447115,-76.3820129163508 
38600,5759504.84423828,-24098143.8398438,1512.34887575052,-76.5060151861138 
39100,5610749.14672852,-23783605.6230469,1491.57149849433,-76.6738124231031 
39600,5428344.28601074,-23391165.8890381,1465.71075561569,-76.8824143244729 
40100,5366297.11535645,-23258840.2449951,1456.98788277024,-76.9556903256709 
40600,5227028.60107422,-22951915.1791992,1436.82778945651,-77.1180448940306 
41100,5139843.83703613,-22755439.1395264,1423.95508538441,-77.2196754617359 
41600,4993653.83728027,-22427484.0756836,1402.46958437531,-77.3950831022925 
42100,4883316.08947754,-22178198.0915527,1386.15730381916,-77.5301178858379 
42600,4795209.34631348,-21975338.4775391,1372.91066832844,-77.6381856037954 
43100,4723977.39782715,-21811576.4761963,1362.21934117559,-77.7272246465632 
43600,4615205.97509766,-21553214.5129395,1345.404916049,-77.861402135803 
44100,4454025.62915039,-21166317.3991699,1320.26097124504,-78.0643028423868 
44600,4408144.64672852,-21056221.9064941,1313.1089139238,-78.1235005882247 
45100,4321493.94152832,-20840986.8275146,1298.94826174866,-78.3179522941148 
45600,4246317.06884766,-20656862.0493164,1287.01584855921,-78.4163767631566 
46100,4159964.93579102,-20440846.4274902,1273.04411020664,-78.5292328889349 
