Barrido en frecuencia desde 100 hasta 80001 con incrementos 100
Metodo usado: LI de 64 ciclos
Formato: frecuencia,X,Y,R,phi 

100,121718298.122803,-167432.296630859,7429.32909819925,-0.0788144268229501 
200,121675361.945923,-1087518.51965332,7426.998010085,-0.512088570549441 
300,121597757.923462,-2376127.50036621,7423.38154373717,-1.11946762185122 
400,121476261.645874,-3791465.36022949,7418.15949242783,-1.78771112036491 
500,121319124.796387,-5255111.5447998,7411.90147385857,-2.48029820517351 
600,121123417.959961,-6743702.82702637,7404.46210422963,-3.18672649638876 
700,120879071.902466,-8285050.98425293,7395.40805718057,-3.92092030469588 
800,120612536.843506,-9742426.60144043,7385.80689831873,-4.61801628317757 
900,120303308.114136,-11218803.6887207,7374.81470628793,-5.32767104866136 
1000,119955048.290161,-12699521.3690186,7362.61592092066,-6.04333574693541 
1100,119570066.753906,-14168341.190918,7349.25826142518,-6.75769846883489 
1200,119150246.114136,-15623035.3485107,7334.82656280343,-7.47003390854066 
1300,118702111.097778,-17045686.8768311,7319.54409930476,-8.17183947355133 
1400,118205847.261108,-18484928.6186523,7302.61825107924,-8.88788179005017 
1500,117685166.887329,-19889824.5565186,7285.01908744023,-9.59283786704134 
1600,117130255.460205,-21276935.2857666,7266.2782277118,-10.2956246928693 
1700,116549652.318481,-22637620.9735107,7246.7891398363,-10.9917874566706 
1800,115938874.237427,-23978809.3648682,7226.33088619596,-11.6853201196138 
1900,115292679.15918,-25302806.5307617,7204.60088463362,-12.3782239254774 
2000,114626002.079102,-26593756.0384521,7182.25696461366,-13.0617994161878 
2100,113927971.820557,-27866932.7276611,7158.82498989822,-13.7447497160824 
2200,113208639.712891,-29109374.3272705,7134.69016569191,-14.420099622802 
2300,112451058.98291,-30345773.9633789,7109.20320847192,-15.1019708099745 
2400,111698119.547241,-31518630.2276611,7083.9486260682,-15.7578409748171 
2500,110907405.985474,-32684576.6038818,7057.29805537405,-16.4203232808331 
2600,110063106.883911,-33870205.9084473,7028.82507000609,-17.1049329060078 
2700,109268947.917236,-34932164.7077637,7001.97546170357,-17.7285463230115 
2800,108232443.304688,-36252820.7578125,6966.92287952841,-18.5184469055831 
2900,107558133.117065,-37069395.9124756,6943.98829420532,-19.0162668371114 
3000,106679903.531006,-38093173.5374756,6914.09388704795,-19.6505887857032 
3100,105784593.525513,-39083935.5172119,6883.37772516347,-20.2776168208615 
3200,104856507.160278,-40085055.1181641,6851.85022292118,-20.9210984150985 
3300,103965393.480713,-40996887.9967041,6821.29250403221,-21.5209075262979 
3400,103040384.809326,-41904639.9561768,6789.4787374327,-22.1306763631122 
3500,101953538.380615,-42922481.001709,6751.93682140555,-22.831112407446 
3600,101152647.243774,-43639358.5986328,6724.12226030592,-23.336373326698 
3700,100187916.939453,-44471475.7397461,6690.54015476008,-23.9355076925091 
3800,99226109.9228516,-45268699.2938232,6656.97499400071,-24.5233070839426 
3900,98202051.0541992,-46079820.1431885,6621.03762329793,-25.1376039455295 
4000,97252370.0253906,-46801395.6049805,6587.58667613953,-25.6985604809109 
4100,96317705.0157471,-47485335.302124,6554.57939839044,-26.243635478773 
4200,95330116.1185303,-48177913.5808105,6519.52579840672,-26.8111113374886 
4300,94344933.8109131,-48837500.2425537,6484.32307744866,-27.3682692165843 
4400,93367018.5539551,-49469102.1364746,6449.33219282772,-27.9162028002033 
4500,92374271.8948975,-50080452.0643311,6413.55252724891,-28.4642108562112 
4600,91361116.1578369,-50676060.5473633,6376.81072430905,-29.0161965683623 
4700,90386631.5831299,-51224689.3684082,6341.30623798659,-29.5414682913285 
4800,89417292.1383057,-51748774.3009033,6305.86194650722,-30.0594004570769 
4900,88444119.1456299,-52252038.3547363,6270.09078379575,-30.5742350244494 
5000,87456617.0479736,-52741996.5130615,6233.66328127806,-31.092694524914 
5100,86485038.4819336,-53204488.5098877,6197.7012724159,-31.599297283029 
5200,85430904.3630371,-53680122.3481445,6158.38868660555,-32.1430145353029 
5300,84530433.4245605,-54066311.4997559,6124.58970997501,-32.6032922631601 
5400,83581065.5341797,-54455805.3964844,6088.79959932999,-33.0855626644771 
5500,82603123.541748,-54837589.7929688,6051.73263522937,-33.578920636428 
5600,81676571.3822021,-55181617.5908203,6016.42773024867,-34.0434063912799 
5700,80710057.0444336,-55522460.5670166,5979.40299780743,-34.5250523205209 
5800,79776584.9847412,-55835032.5671387,5943.46835881021,-34.9878857810822 
5900,78851751.7902832,-56128497.2624512,5907.6793751506,-35.444139014963 
6000,77908313.0754395,-56411243.878418,5870.96606451377,-35.9072525215471 
6100,76996301.1376953,-56668126.3498535,5835.24976258683,-36.35251259139 
