Datos provenientes de SR865 
F,X,Y,R,T,



+1.000000e+02,+1.006288e+00,+3.323908e-05,+1.006288e+00,+1.893670e-03,
+2.000000e+02,+1.005742e+00,-1.399114e-02,+1.005839e+00,-7.970045e-01,
+3.000000e+02,+1.005009e+00,-2.741116e-02,+1.005383e+00,-1.562329e+00,
+4.000000e+02,+1.003972e+00,-4.063271e-02,+1.004794e+00,-2.317608e+00,
+5.000000e+02,+1.002406e+00,-5.373919e-02,+1.003845e+00,-3.068703e+00,
+6.000000e+02,+1.000644e+00,-6.674956e-02,+1.002868e+00,-3.816351e+00,
+7.000000e+02,+9.983991e-01,-7.965336e-02,+1.001571e+00,-4.561456e+00,
+8.000000e+02,+9.959784e-01,-9.245339e-02,+1.000260e+00,-5.303380e+00,
+9.000000e+02,+9.931936e-01,-1.051405e-01,+9.987432e-01,-6.042881e+00,
+1.000000e+03,+9.900242e-01,-1.176939e-01,+9.969954e-01,-6.779495e+00,
+1.100000e+03,+9.865966e-01,-1.301132e-01,+9.951394e-01,-7.512861e+00,
+1.200000e+03,+9.828346e-01,-1.423797e-01,+9.930941e-01,-8.242887e+00,
+1.300000e+03,+9.788397e-01,-1.545028e-01,+9.909583e-01,-8.969727e+00,
+1.400000e+03,+9.746748e-01,-1.664832e-01,+9.887909e-01,-9.693089e+00,
+1.500000e+03,+9.699574e-01,-1.782434e-01,+9.861988e-01,-1.041274e+01,
+1.600000e+03,+9.652405e-01,-1.898686e-01,+9.837375e-01,-1.112834e+01,
+1.700000e+03,+9.602374e-01,-2.013017e-01,+9.811108e-01,-1.183988e+01,
+1.800000e+03,+9.546750e-01,-2.124703e-01,+9.780326e-01,-1.254712e+01,
+1.900000e+03,+9.491072e-01,-2.234866e-01,+9.750645e-01,-1.325009e+01,
+2.000000e+03,+9.434218e-01,-2.343170e-01,+9.720849e-01,-1.394828e+01,
+2.100000e+03,+9.373031e-01,-2.448768e-01,+9.687629e-01,-1.464165e+01,
+2.200000e+03,+9.310680e-01,-2.552375e-01,+9.654191e-01,-1.533012e+01,
+2.300000e+03,+9.246097e-01,-2.653647e-01,+9.619363e-01,-1.601358e+01,
+2.400000e+03,+9.180667e-01,-2.752940e-01,+9.584535e-01,-1.669203e+01,
+2.500000e+03,+9.111823e-01,-2.849345e-01,+9.546941e-01,-1.736491e+01,
+2.600000e+03,+9.042354e-01,-2.943717e-01,+9.509450e-01,-1.803254e+01,
+2.700000e+03,+8.971829e-01,-3.035855e-01,+9.471543e-01,-1.869460e+01,
+2.800000e+03,+8.897804e-01,-3.124841e-01,+9.430564e-01,-1.935089e+01,
+2.900000e+03,+8.824238e-01,-3.212000e-01,+9.390640e-01,-2.000138e+01,
+3.000000e+03,+8.747776e-01,-3.296077e-01,+9.348139e-01,-2.064592e+01,
+3.100000e+03,+8.671523e-01,-3.378212e-01,+9.306322e-01,-2.128466e+01,
+3.200000e+03,+8.593345e-01,-3.457522e-01,+9.262831e-01,-2.191733e+01,
+3.300000e+03,+8.514509e-01,-3.534467e-01,+9.218965e-01,-2.254388e+01,
+3.400000e+03,+8.435950e-01,-3.609439e-01,+9.175691e-01,-2.316433e+01,
