Barrido en frecuencia desde 10000 hasta 500001 con incrementos 1000
Metodo usado: LI de 64 ciclos
Formato: frecuencia,X,Y,R,phi 

10000,121359564.298828,-4996372.63635254,7413.70104504832,-2.35413773119867 
11000,121273584.671509,-5706477.11755371,7410.36825881527,-2.69064363257669 
12000,121178522.872437,-6431618.92932129,7406.78632481513,-3.0347575022848 
13000,121074123.615601,-7164651.72412109,7402.93131302799,-3.38317341378184 
14000,120959429.671509,-7872820.15283203,7398.62458403561,-3.72052862456832 
15000,120839608.505127,-8600321.39135742,7394.34615814897,-4.06755735259775 
16000,120708611.744263,-9336125.36853027,7389.01825869208,-4.42440874537537 
17000,120572064.634155,-10066473.1724854,7384.28433342005,-4.77422498864432 
18000,120427779.932861,-10772571.8568115,7379.22365891854,-5.11335916955481 
19000,120251272.801147,-11596127.7259521,7373.1488173876,-5.50985283138084 
20000,120102855.810181,-12224048.9229736,7367.91435469777,-5.81325338579497 
21000,119930564.589111,-12965937.190918,7362.18237498345,-6.17210813941045 
22000,119747287.370483,-13657386.7189941,7355.72403358316,-6.5082793583835 
23000,119560720.402466,-14366523.8232422,7349.44871525106,-6.85357203536289 
24000,119366170.500366,-15094459.0559082,7343.10124378194,-7.20879986592756 
25000,119153229.633545,-15771167.4401855,7335.51295836714,-7.54157508610184 
26000,118928448.840576,-16506128.8498535,7328.26030546784,-7.91057992289514 
27000,118718697.200806,-17218236.949707,7321.69194078965,-8.26124277759348 
28000,118493347.822266,-17873766.0643311,7313.94116907289,-8.58689030281447 
29000,118246114.299683,-18569935.8575439,7305.49199940602,-8.93405905196172 
30000,117997987.955322,-19276101.6223145,7297.35621731919,-9.28681550687262 
31000,117809932.54895,-19797587.3153076,7291.23591174452,-9.54819862638949 
32000,117485031.411621,-20671593.7208252,7280.73498903798,-9.98805162557065 
33000,117236649.144775,-21278700.6966553,7272.33087261437,-10.2962687495868 
34000,116928835.150757,-22014682.7041016,7262.02345063708,-10.6714536673694 
35000,116719211.763428,-22511955.4178467,7255.1371869905,-10.925697234308 
36000,116369174.784668,-23309872.9639893,7244.13199676338,-11.2746626674244 
37000,116118993.855713,-23906186.9204102,7236.41103704173,-11.5809892413372 
38000,115793230.053101,-24639374.8205566,7226.11796541322,-11.960339964336 
39000,115469568.221558,-25282189.5839844,7215.08601478089,-12.297753018967 
40000,115167467.175781,-25887833.0638428,7205.09102001664,-12.6162871003006 
41000,114849823.704346,-26499016.7440186,7194.47093487991,-12.9400184939255 
42000,114533630.245361,-27109416.6011963,7184.15631169732,-13.2641627527881 
43000,114204177.634399,-27714112.4598389,7173.20367767955,-13.5880507987652 
44000,113720746.597534,-28588975.4313965,7157.36318148277,-14.0591849352572 
45000,113535170.102539,-28916329.2149658,7151.28354965741,-14.2365701568715 
46000,113158516.436401,-29599062.1210938,7138.22746428111,-14.6910693824752 
47000,112841995.621338,-30175721.3278809,7128.55152980934,-15.0040143551878 
48000,112436800.141479,-30832270.7084961,7115.15655672063,-15.3671613253971 
49000,112033588.012817,-31434952.8319092,7101.27619515518,-15.7058644349787 
50000,111693485.475708,-31938469.310791,7089.68083800956,-15.9902845389324 
51000,111244973.089233,-32626219.6533203,7075.06501944311,-16.3780346289583 
52000,110895972.963623,-33113696.9364014,7063.08390898948,-16.6582380089701 
53000,110538453.673584,-33655469.3181152,7051.73927186425,-16.9663744753953 
54000,110065084.935547,-34320550.0606689,7036.08370049563,-17.3510865477366 
55000,109884111.448364,-34580283.423584,7030.28263806215,-17.5012093089018 
56000,109379186.831299,-35266839.0739746,7019.38507082967,-17.4880183753531 
57000,108981769.432861,-35762368.9576416,7005.66422800396,-17.7845288743287 
58000,108527934.75647,-36352465.3601074,6990.69574024936,-18.136042910045 
59000,108073384.390625,-36943820.4918213,6975.97500438104,-18.489765780487 
60000,107735494.462891,-37326223.0480957,6964.06112550358,-18.7265206556231 
61000,107332951.316162,-37884786.1016846,6952.11458276629,-19.058532365685 
62000,107079904.139282,-38229843.4746094,6944.59995290593,-19.2649430463417 
63000,106236784.572021,-39264320.6575928,6917.77307087879,-19.9012138585741 
64000,105990689.873535,-39515831.8594971,6909.02754105822,-20.063921507635 
65000,105474990.716187,-39945693.848877,6888.77779706811,-20.3600551599982 
66000,105224993.192993,-40304219.9855957,6881.22655364381,-20.5164385546256 
67000,104736058.378052,-40814518.7712402,6864.60531614696,-20.8484807585833 
68000,104194045.968262,-41383938.69104,6846.53448730549,-21.2202077958148 
69000,103832629.80835,-41750878.1252441,6834.35506686918,-21.4631053936495 
70000,103247224.873047,-42327612.8566895,6814.48107147264,-21.8499994736422 
71000,102712417.644043,-42847756.7796631,6796.43939720511,-22.2022130977812 
72000,102515978.088257,-43000919.7189941,6788.98187313031,-22.3140463511727 
73000,101917273.405762,-43455414.2908936,6766.11828067767,-22.6505471407975 
74000,101474713.540039,-44013326.5334473,6754.75059375385,-23.0063081266962 
75000,101071935.54541,-44322326.8476563,6739.74795505134,-23.2366880297762 
76000,100579747.488037,-44823306.1030273,6714.39881933754,-24.6510273443176 
77000,100283325.188477,-45088758.1160889,6704.51466730401,-24.8402493250548 
78000,99684120.3414307,-45611612.4869385,6684.40981814274,-25.2179191489732 
79000,99011020.9451904,-46176240.6417236,6661.58890197641,-25.634069863657 
80000,98768723.0343018,-46370293.086792,6653.22200991249,-25.780196484179 
81000,98136673.4848633,-46780834.4973145,6629.08910547838,-26.1176132951166 
