Datos provenientes de SR865 
F,X,Y,R,T,



+1.000000e+04,+1.003674e+00,-6.777307e-02,+1.005959e+00,-3.863034e+00,
+1.100000e+04,+1.002965e+00,-7.466386e-02,+1.005741e+00,-4.257422e+00,
+1.200000e+04,+1.001954e+00,-8.152429e-02,+1.005265e+00,-4.651642e+00,
+1.300000e+04,+1.000888e+00,-8.836314e-02,+1.004781e+00,-5.045262e+00,
+1.400000e+04,+9.996326e-01,-9.516739e-02,+1.004153e+00,-5.438302e+00,
+1.500000e+04,+9.984484e-01,-1.019579e-01,+1.003641e+00,-5.830627e+00,
+1.600000e+04,+9.970288e-01,-1.087002e-01,+1.002937e+00,-6.222048e+00,
+1.700000e+04,+9.954938e-01,-1.154033e-01,+1.002161e+00,-6.612538e+00,
+1.800000e+04,+9.937928e-01,-1.220599e-01,+1.001261e+00,-7.002132e+00,
+1.900000e+04,+9.921202e-01,-1.286944e-01,+1.000432e+00,-7.390942e+00,
+2.000000e+04,+9.903483e-01,-1.352865e-01,+9.995461e-01,-7.778738e+00,
+2.100000e+04,+9.883723e-01,-1.418188e-01,+9.984950e-01,-8.165477e+00,
+2.200000e+04,+9.864675e-01,-1.483296e-01,+9.975569e-01,-8.551187e+00,
+2.300000e+04,+9.844243e-01,-1.547904e-01,+9.965196e-01,-8.935996e+00,
+2.400000e+04,+9.822244e-01,-1.611930e-01,+9.953632e-01,-9.319741e+00,
+2.500000e+04,+9.800450e-01,-1.675629e-01,+9.942663e-01,-9.702313e+00,
+2.600000e+04,+9.776770e-01,-1.738642e-01,+9.930162e-01,-1.008372e+01,
+2.700000e+04,+9.754124e-01,-1.801490e-01,+9.919087e-01,-1.046405e+01,
+2.800000e+04,+9.727779e-01,-1.863248e-01,+9.904613e-01,-1.084304e+01,
+2.900000e+04,+9.702109e-01,-1.924732e-01,+9.891183e-01,-1.122081e+01,
+3.000000e+04,+9.676922e-01,-1.985918e-01,+9.878598e-01,-1.159733e+01,
+3.100000e+04,+9.649948e-01,-2.046394e-01,+9.864544e-01,-1.197293e+01,
+3.200000e+04,+9.622920e-01,-2.106464e-01,+9.850775e-01,-1.234733e+01,
+3.300000e+04,+9.590952e-01,-2.164988e-01,+9.832271e-01,-1.272031e+01,
+3.400000e+04,+9.561597e-01,-2.223686e-01,+9.816768e-01,-1.309223e+01,
+3.500000e+04,+9.531456e-01,-2.281744e-01,+9.800765e-01,-1.346273e+01,
+3.600000e+04,+9.501884e-01,-2.339478e-01,+9.785650e-01,-1.383179e+01,
+3.700000e+04,+9.471684e-01,-2.396645e-01,+9.770195e-01,-1.419966e+01,
+3.800000e+04,+9.439546e-01,-2.452842e-01,+9.753024e-01,-1.456603e+01,
+3.900000e+04,+9.407277e-01,-2.508534e-01,+9.735996e-01,-1.493100e+01,
+4.000000e+04,+9.374650e-01,-2.563642e-01,+9.718864e-01,-1.529447e+01,
+4.100000e+04,+9.340615e-01,-2.617937e-01,+9.700551e-01,-1.565683e+01,
+4.200000e+04,+9.307906e-01,-2.672125e-01,+9.683871e-01,-1.601778e+01,
+4.300000e+04,+9.272465e-01,-2.725009e-01,+9.664590e-01,-1.637710e+01,
