Datos provenientes de SR865 
F,X,Y,R,T,



+1.000000e+04,+1.005286e+00,-6.771196e-02,+1.007563e+00,-3.853391e+00,
+1.100000e+04,+1.004445e+00,-7.460248e-02,+1.007212e+00,-4.247693e+00,
+1.200000e+04,+1.003457e+00,-8.147191e-02,+1.006759e+00,-4.641733e+00,
+1.300000e+04,+1.002315e+00,-8.831153e-02,+1.006197e+00,-5.035191e+00,
+1.400000e+04,+1.001125e+00,-9.512970e-02,+1.005635e+00,-5.428106e+00,
+1.500000e+04,+9.997168e-01,-1.019066e-01,+1.004897e+00,-5.820369e+00,
+1.600000e+04,+9.983373e-01,-1.086607e-01,+1.004233e+00,-6.211717e+00,
+1.700000e+04,+9.968483e-01,-1.153797e-01,+1.003503e+00,-6.602294e+00,
+1.800000e+04,+9.952323e-01,-1.220590e-01,+1.002689e+00,-6.992049e+00,
+1.900000e+04,+9.934989e-01,-1.286944e-01,+1.001799e+00,-7.380797e+00,
+2.000000e+04,+9.917373e-01,-1.352983e-01,+1.000924e+00,-7.768648e+00,
+2.100000e+04,+9.898620e-01,-1.418553e-01,+9.999749e-01,-8.155427e+00,
+2.200000e+04,+9.879624e-01,-1.483773e-01,+9.990423e-01,-8.541142e+00,
+2.300000e+04,+9.859204e-01,-1.548470e-01,+9.980063e-01,-8.925863e+00,
+2.400000e+04,+9.836813e-01,-1.612495e-01,+9.968100e-01,-9.309387e+00,
+2.500000e+04,+9.813928e-01,-1.676081e-01,+9.956025e-01,-9.691804e+00,
+2.600000e+04,+9.792259e-01,-1.739539e-01,+9.945568e-01,-1.007318e+01,
+2.700000e+04,+9.768490e-01,-1.802254e-01,+9.933353e-01,-1.045333e+01,
+2.800000e+04,+9.742625e-01,-1.864198e-01,+9.919375e-01,-1.083230e+01,
+2.900000e+04,+9.716293e-01,-1.925677e-01,+9.905281e-01,-1.121021e+01,
+3.000000e+04,+9.689780e-01,-1.986731e-01,+9.891357e-01,-1.158698e+01,
+3.100000e+04,+9.664548e-01,-2.047683e-01,+9.879093e-01,-1.196267e+01,
+3.200000e+04,+9.637200e-01,-2.107777e-01,+9.865006e-01,-1.233704e+01,
+3.300000e+04,+9.606349e-01,-2.166629e-01,+9.847651e-01,-1.270990e+01,
+3.400000e+04,+9.577308e-01,-2.225455e-01,+9.832470e-01,-1.308153e+01,
+3.500000e+04,+9.547421e-01,-2.283667e-01,+9.816740e-01,-1.345195e+01,
+3.600000e+04,+9.517470e-01,-2.341427e-01,+9.801251e-01,-1.382107e+01,
+3.700000e+04,+9.486171e-01,-2.398407e-01,+9.784672e-01,-1.418885e+01,
+3.800000e+04,+9.454771e-01,-2.454905e-01,+9.768277e-01,-1.455528e+01,
+3.900000e+04,+9.422283e-01,-2.510656e-01,+9.751041e-01,-1.492033e+01,
+4.000000e+04,+9.389243e-01,-2.565776e-01,+9.733503e-01,-1.528393e+01,
+4.100000e+04,+9.356534e-01,-2.620505e-01,+9.716573e-01,-1.564608e+01,
+4.200000e+04,+9.321501e-01,-2.674094e-01,+9.697482e-01,-1.600680e+01,
+4.300000e+04,+9.287786e-01,-2.727584e-01,+9.680014e-01,-1.636616e+01,
