Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi

999.942444,121623172.401574,-1070897.304761,0.927975,-0.504494
1999.959351,121586704.858221,-2131903.499959,0.927804,-1.004552
2999.976318,121527984.003469,-3186955.088049,0.927532,-1.502227
3999.993164,121450826.690175,-4249301.131000,0.927192,-2.003897
4999.935547,121352538.964641,-5298303.640906,0.926757,-2.500044
5999.952637,121238482.223328,-6338397.724191,0.926268,-2.992811
6999.969727,121107919.510041,-7385208.129523,0.925725,-3.489701
7999.986328,120958965.740100,-8420243.850375,0.925105,-3.982190
8999.928711,120791672.205479,-9450541.899229,0.924412,-4.473746
9999.945312,120605834.050812,-10479422.996406,0.923645,-4.966096
10999.962891,120399761.142484,-11498791.308515,0.922785,-5.455653
11999.979492,120181159.571568,-12510404.165298,0.921892,-5.943045
12999.996094,119947000.570384,-13525495.952712,0.920951,-6.433815
13999.939453,119691848.950781,-14524217.765324,0.919903,-6.919033
14999.956055,119425954.088314,-15521559.718699,0.918839,-7.405331
15999.972656,119136909.915200,-16504079.600600,0.917651,-7.887241
16999.990234,118836022.806577,-17475334.288037,0.916426,-8.365873
17999.931641,118525135.466614,-18461892.960905,0.915207,-8.853710
18999.949219,118184110.015675,-19412336.077010,0.913784,-9.328104
19999.966797,117839684.621937,-20362811.024875,0.912397,-9.804238
20999.982422,117474870.231920,-21307214.356083,0.910913,-10.280667
22000.000000,117106771.504160,-22246938.464283,0.909461,-10.756703
22999.941406,116702994.302595,-23161814.847337,0.907767,-11.225840
23999.958984,116303372.690467,-24079654.405610,0.906171,-11.697692
24999.976562,115883571.671172,-24976957.823828,0.904452,-12.163531
25999.992188,115463812.414642,-25882178.924189,0.902807,-12.634849
26999.935547,115011194.561677,-26746942.103696,0.900909,-13.092351
27999.953125,114554887.315016,-27627234.788939,0.899069,-13.559517
28999.968750,114079169.190213,-28463778.610421,0.897065,-14.010176
29999.986328,113601225.650042,-29314345.915721,0.895127,-14.469728
30999.929688,113122092.246367,-30168212.630304,0.893244,-14.932955
31999.945312,112611742.199100,-30977801.084200,0.891101,-15.381233
32999.960938,112103130.226874,-31788386.592039,0.889027,-15.831882
33999.980469,111576521.737994,-32577965.834573,0.886832,-16.277159
34999.996094,111049044.848737,-33366296.533632,0.884682,-16.724151
35999.937500,110497226.469457,-34136315.388458,0.882366,-17.168187
36999.957031,109942847.385016,-34890057.879871,0.880049,-17.607211
37999.972656,109395213.870324,-35649841.925068,0.877846,-18.050347
38999.988281,108826607.819988,-36385084.246313,0.875485,-18.487387
39999.933594,108251917.386000,-37102909.873750,0.873088,-18.919503
40999.949219,107666573.991672,-37807685.426265,0.870631,-19.349564
41999.964844,107075646.063263,-38506013.585772,0.868167,-19.779932
42999.984375,106483058.091654,-39209226.546701,0.865753,-20.215329
44000.000000,105872934.802420,-39845094.100921,0.863083,-20.624349
44999.941406,105263757.547602,-40512066.287583,0.860549,-21.050462
45999.960938,104646591.587897,-41135914.401179,0.857886,-21.460109
46999.976562,104036201.959906,-41766887.285211,0.855335,-21.874376
47999.992188,103386629.426129,-42380868.564422,0.852504,-22.290657
