Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi

999.942444,121642457.290099,-1072828.475592,0.928123,-0.507326
1999.959351,121612902.354562,-2124140.262764,0.928003,-1.004685
2999.976318,121544951.829949,-3197295.667810,0.927663,-1.512898
3999.993164,121486973.760850,-4231264.892338,0.927462,-2.002816
4999.935547,121374766.025109,-5272611.177672,0.926918,-2.497496
5999.952637,121261263.618180,-6308408.866052,0.926429,-2.990140
6999.969727,121132567.331430,-7353484.440325,0.925898,-3.488068
7999.986328,120982795.529275,-8383335.561425,0.925267,-3.980036
8999.928711,120816482.495359,-9409099.772640,0.924576,-4.471324
9999.945312,120633654.456219,-10434735.647344,0.923827,-4.963918
10999.962891,120436878.373930,-11450415.289918,0.923032,-5.453208
11999.979492,120216894.823715,-12458941.064799,0.922123,-5.941069
12999.996094,119982050.226569,-13470739.502539,0.921170,-6.432175
13999.939453,119733005.281402,-14467198.377609,0.920163,-6.917838
14999.956055,119463771.847701,-15459020.852716,0.919064,-7.403587
15999.972656,119180712.810150,-16438481.821550,0.917913,-7.885479
16999.990234,118881518.575329,-17407609.238419,0.916694,-8.364825
17999.931641,118574593.385723,-18391412.841874,0.915497,-8.852909
18999.949219,118242545.250564,-19340452.750802,0.914135,-9.327730
19999.966797,117896416.677875,-20287933.810187,0.912727,-9.804329
20999.982422,117533935.276742,-21229359.569629,0.911251,-10.280937
22000.000000,117165305.581712,-22164993.646614,0.909783,-10.756887
22999.941406,116768063.669518,-23078237.389420,0.908130,-11.226429
23999.958984,116377345.645166,-23996307.804245,0.906595,-11.699252
24999.976562,115956075.259687,-24887591.894375,0.904849,-12.164017
25999.992188,115534944.795970,-25790407.647436,0.903184,-12.636133
26999.935547,115092812.752447,-26653860.810327,0.901355,-13.093546
27999.953125,114646836.836192,-27537799.201348,0.899592,-13.562894
28999.968750,114169327.359311,-28370943.209515,0.897562,-14.013898
29999.986328,113692792.307678,-29218618.671417,0.895621,-14.473464
30999.929688,113216640.995253,-30073534.452819,0.893756,-14.938494
31999.945312,112711163.255500,-30879144.942200,0.891633,-15.385861
32999.960938,112202958.873775,-31687278.541611,0.889550,-15.836797
33999.980469,111684103.855610,-32481234.800680,0.887414,-16.284689
34999.996094,111156971.177513,-33267619.303730,0.885254,-16.732423
35999.937500,110619041.878389,-34043635.245472,0.883046,-17.178855
36999.957031,110063666.606660,-34790556.266042,0.880698,-17.616175
37999.972656,109510641.236908,-35547538.101176,0.878442,-18.060298
38999.988281,108946072.189031,-36282357.357587,0.876101,-18.498109
39999.933594,108376533.142875,-37002176.128875,0.873738,-18.931726
40999.949219,107799798.569635,-37707426.552210,0.871337,-19.362382
41999.964844,107214219.989369,-38406974.246883,0.868907,-19.793606
42999.984375,106634306.997984,-39115461.096492,0.866589,-20.230908
44000.000000,106015892.424309,-39747035.268527,0.863841,-20.640656
44999.941406,105410876.810856,-40413391.946280,0.861327,-21.067123
45999.960938,104794495.409659,-41039083.940204,0.858667,-21.478980
46999.976562,104195398.140109,-41670413.236452,0.856189,-21.892856
47999.992188,103561278.101545,-42294758.668967,0.853488,-22.312210
48999.933594,102944349.439969,-42922497.287289,0.850964,-22.732473
49999.953125,102305888.998125,-43495387.989844,0.848171,-23.133613
50999.968750,101677552.251833,-44091478.172617,0.845560,-23.546375
51999.984375,101019972.267631,-44628126.210107,0.842606,-23.939676
52999.929688,100378089.625041,-45177727.708182,0.839841,-24.338598
53999.945312,99744326.893689,-45727015.995275,0.837172,-24.737713
54999.960938,99083491.510828,-46255123.020454,0.834288,-25.135961
55999.980469,98439412.022051,-46775295.573854,0.831533,-25.528860
56999.996094,97784245.167973,-47269420.343605,0.828655,-25.914579
57999.937500,97108772.453606,-47720752.466292,0.825531,-26.287434
58999.957031,96465162.106379,-48219598.857670,0.822821,-26.678179
59999.972656,95826222.840990,-48714309.409151,0.820167,-27.068456
60999.988281,95144308.321006,-49138576.362943,0.817013,-27.438391
61999.933594,94495304.607053,-49598540.195892,0.814242,-27.819228
62999.949219,93826607.118527,-50022976.531798,0.811246,-28.191578
63999.964844,93169955.354000,-50430752.310200,0.808305,-28.554892
64999.984375,92502601.515742,-50836231.327239,0.805316,-28.923430
66000.000000,91840267.397277,-51238576.691419,0.802382,-29.291073
