Barrido en frecuencia desde 10000 hasta 2000001 con incrementos 10000
N: 64 | Fuente: Highspeed_ADC 
 
Formato: frecuencia,X,Y,R,phi 

10000,121760767.790039,-20352.4267578125,7431.91439503175,-0.00957704329872864 
20000,121736095.266113,-34331.3784179688,7430.40864937842,-0.0161582563640501 
30000,121717817.771484,-102003.284179688,7429.29535889312,-0.0480156185743228 
40000,121693856.800781,-260735.229492188,7427.84729268192,-0.122758911203555 
50000,121641355.511719,-610308.278320313,7424.7191714032,-0.287466338968709 
60000,121568099.391602,-1132885.37939453,7420.47657218361,-0.53392026661008 
70000,121466670.476563,-1878906.04248047,7414.85039994839,-0.88620854527377 
80000,121358698.525879,-2722491.8671875,7409.23686026439,-1.28512530388326 
90000,121207127.545898,-3614082.70019531,7401.40976403791,-1.70790575450551 
100000,121042178.634277,-4647140.76513672,7393.49675077392,-2.19866205183599 
110000,120838879.355957,-5877556.32128906,7384.36450973219,-2.78464993689983 
120000,120622319.801758,-7061661.68701172,7375.03283462967,-3.3504754405275 
130000,120386310.229004,-8095165.03515625,7364.61536304718,-3.84696237255836 
140000,120125539.04248,-9417727.95849609,7354.60334886914,-4.48276529498893 
150000,119817721.990234,-10629284.6708984,7342.03749077882,-5.06955924542863 
160000,119473524.344727,-11958311.7998047,7328.74519858135,-5.71579682301873 
170000,119104913.228516,-13518992.8974609,7316.48878049647,-6.47563807321734 
180000,118794517.659668,-14452939.8149414,7304.32963930139,-6.93670529655002 
190000,118333925.66748,-15892746.5126953,7287.59956856532,-7.64929288713347 
200000,117923408.98877,-17154786.3818359,7273.45583886869,-8.27698267187482 
210000,117496428.930664,-18594770.9311523,7260.88545560753,-8.99294267941232 
220000,117014223.286133,-19922086.6035156,7244.97279081836,-9.66216387334583 
230000,116527466.507324,-21045642.965332,7227.5587339369,-10.2376414318018 
240000,115991507.725586,-22276306.9257813,7209.1576585146,-10.8713539297692 
250000,115458415.259766,-23653994.0834961,7193.61007100212,-11.5779915844827 
260000,114785600.406738,-25046996.8598633,7171.02791694311,-12.3093813164143 
270000,114192997.555664,-26459792.5107422,7154.66378826795,-13.045846305041 
280000,113637708.17627,-28046566.6977539,7144.23604688717,-13.8639234037357 
290000,112833426.777344,-29294351.3222656,7115.34089866887,-14.5540760285686 
300000,112522878.390625,-29959547.4399414,7107.3337013833,-14.9092839891264 
310000,111670983.431152,-31436951.6791992,7081.00200077436,-15.7226572262321 
320000,111128109.199219,-32391470.3481445,7065.19353415142,-16.2502757870992 
330000,110249747.726074,-33777099.8911133,7038.04718202788,-17.0334382767877 
340000,109838565.873047,-34600488.6088867,7028.9909740009,-17.4850633871352 
350000,108773486.67041,-36130266.7758789,6995.88290104278,-18.3744542437969 
360000,108309714.905762,-37037247.4155273,6986.73989866758,-18.8784737949614 
370000,107481402.822266,-38112801.5292969,6960.58563711144,-19.5244572662673 
380000,106478048.48877,-39597624.8452148,6933.96296833847,-20.3994296967838 
390000,105868389.076172,-40568737.3886719,6920.08484585763,-20.9668186088479 
400000,105045721.146973,-41645250.1152344,6897.16434118859,-21.6257908776831 
410000,104676168.339844,-42317554.3569336,6891.47560802998,-22.0120625452061 
420000,103228478.277344,-44356555.5200195,6857.80794091667,-23.2528586570797 
430000,102144090.166016,-45255570.3081055,6819.08946629716,-23.8960333077171 
440000,101695087.711426,-45911880.7651367,6810.42722400326,-24.2975607520092 
450000,101403620.217285,-46276361.1367188,6803.42275028415,-24.5299681095023 
460000,100162867.997559,-47266807.6928711,6760.1774113761,-25.2626013778012 
470000,99418744.5439453,-48160851.9555664,6742.7411199459,-25.8466736447117 
480000,98434431.8730469,-48713551.0952148,6703.61758120612,-26.3300367288798 
490000,97428771.2197266,-49703135.2143555,6675.88948426781,-27.0283304357502 
500000,96565613.519043,-50531051.4008789,6652.28042341962,-27.6222547030591 
510000,95574440.706543,-51336263.5727539,6621.85149334821,-28.2417489216771 
520000,94638351.5805664,-52159769.6679688,6595.68725661395,-28.8612833419174 
530000,93771471.6352539,-52992671.2641602,6574.25991048421,-29.4719085652564 
540000,92681188.9555664,-53651477.387207,6536.458837187,-30.0657801094871 
550000,91701658.9609375,-54390333.4755859,6507.67485827787,-30.6731408108796 
560000,90980136.8979492,-55142052.7695313,6493.49872687633,-31.2195891511768 
570000,89730867.918457,-55788492.8481445,6449.15668936087,-31.8705118051812 
580000,89555147.5400391,-56168648.2348633,6452.34954838046,-32.0957805542933 
590000,88117872.8330078,-57173687.3818359,6411.38322059967,-32.9767936835493 
600000,86750908.465332,-57828716.7211914,6363.64143961301,-33.6876796159666 
610000,86694089.4433594,-58121472.6088867,6370.68917467572,-33.8387002605691 
620000,85218645.921875,-59094224.699707,6329.73162800992,-34.73908069964 
630000,85251082.1835938,-59028359.6030273,6329.06922510124,-34.6989604558787 
640000,83783575.9467773,-59945959.2670898,6288.058941068,-35.5831823051012 
650000,82349542.4775391,-60502922.9443359,6237.15039206128,-36.3050476051192 
660000,82324233.5083008,-60819228.8164063,6247.358200678,-36.4561266553918 
670000,80840587.1459961,-61652542.9018555,6205.46792242642,-37.3307168289114 
680000,79856948.2773438,-61845373.8666992,6165.03576957505,-37.7560632094763 
690000,79304105.246582,-62446245.6376953,6161.01353419209,-38.2178735358084 
700000,77892545.2539063,-63184305.8608398,6121.83503347391,-39.0480207991252 
710000,77884723.5795898,-63208185.0058594,6122.38262541153,-39.0614284655237 
720000,76435186.0283203,-63956148.28125,6083.13639976239,-39.9204698713458 
730000,74938043.7607422,-64630064.9379883,6040.12288852191,-40.7760170022585 
740000,74938508.1948242,-64630028.9575195,6040.14292104707,-40.7758256062809 
750000,73508988.3564453,-65308182.2905273,6001.75180626518,-41.6191062899852 
760000,72044116.2797852,-65945569.7402344,5961.40563648318,-42.4694214387236 
770000,72048545.8852539,-65946800.7958984,5961.65580715724,-42.4681996594331 
780000,70558554.4257813,-66547557.1362305,5919.9889209021,-43.3243074545319 
790000,69185535.7163086,-67229318.2949219,5888.22815000762,-44.1784229009325 
800000,69187981.8378906,-67227498.5551758,5888.25782449089,-44.1766353403269 
810000,67795884.2304688,-67938597.7866211,5858.26140484759,-45.0602417404347 
820000,67803138.512207,-67938071.0786133,5858.55142123434,-45.0569544359509 
830000,66191098.3242188,-68822967.878418,5828.27226686447,-46.1167423228139 
840000,63965875.4282227,-69437501.3007813,5762.48934802016,-47.348707021364 
850000,63965891.9101563,-69436959.7094727,5762.46571646405,-47.3484769693212 
860000,62266083.6914063,-69200387.246582,5681.93959337525,-48.0193134980948 
870000,61173850.0810547,-69654719.7661133,5658.37195437072,-48.7089690062588 
880000,61179597.6518555,-69667687.1123047,5659.19815566664,-48.7115881766478 
890000,60612871.6201172,-70284584.394043,5664.89403665193,-49.2257748320855 
900000,60151851.980957,-69908269.0629883,5629.12608616773,-49.2899891649921 
910000,60168394.8300781,-69912476.9853516,5629.97938172136,-49.2839046494712 
920000,58588062.3178711,-69565357.3842773,5551.31603284435,-49.895859709154 
930000,57000676.3691406,-69644816.7363281,5493.15456145011,-50.701451184894 
940000,57054076.2084961,-69637249.746582,5494.86222097001,-50.6721007249156 
950000,55458926.7768555,-69832181.5625,5442.99174204502,-51.544298761004 
960000,55473244.9697266,-69830547.7446289,5443.45721227449,-51.536442522675 
970000,54289610.9570313,-69990853.5615234,5406.5437336551,-52.2004396056734 
980000,52901879.0107422,-70138854.2285156,5362.25676367955,-52.9747586623732 
990000,52906081.625,-70133310.1586914,5362.14108077066,-52.9703930640463 
1000000,51689219.2089844,-70246402.6938477,5323.30030438755,-53.6533513383215 
1010000,50363859.3959961,-70365660.9067383,5281.67561883726,-54.4070021196195 
1020000,50418286.4379883,-70341589.1044922,5282.41556606394,-54.3684258508056 
1030000,49186855.1240234,-70433937.6069336,5243.60439512587,-55.0718520133602 
1040000,49182643.3632813,-70422138.1132813,5242.86673627277,-55.0696490138973 
1050000,46518868.5234375,-70520985.1831055,5156.5316588749,-56.5893292755769 
1060000,46603135.9921875,-70470566.496582,5156.79844651589,-56.5227983412841 
1070000,46603044.0698242,-70467386.050293,5156.63343198695,-56.5216605615783 
1080000,44320315.3422852,-70488780.140625,5082.21009022912,-57.8400833986587 
1090000,44322953.8422852,-70487943.3212891,5082.25257518442,-57.8382398826601 
1100000,44322118.1098633,-70486116.6274414,5082.1310349373,-57.8380576097007 
1110000,42082561.6918945,-70431470.777832,5007.83877787012,-59.1418278993011 
1120000,42088725.6254883,-70433711.0932617,5008.14914208625,-59.1389353717726 
1130000,42088101.6889648,-70436760.1113281,5008.28936196863,-59.1404014798519 
1140000,42089591.9023438,-70432951.6811523,5008.13647579098,-59.1381440829468 
