Barrido en frecuencia desde 10000 hasta 2000001 con incrementos 10000
Metodo usado: CA de 64 ciclos seguida de LI de 1 ciclo 
Formato: frecuencia,X,Y,R,phi 

10000,121746089.109863,-24041.0361328125,7431.018493212,-0.0113141202128031 
20000,121724502.077637,-52037.8408203125,7429.70141916296,-0.0244942342868599 
30000,121714474.999023,-103603.176757813,7429.09140857869,-0.0487700689568097 
40000,121678442.423828,-305713.747558594,7426.91283742319,-0.143953770845016 
50000,121624664.975098,-642096.692382813,7423.71043326035,-0.302480493870921 
60000,121568981.963867,-1183064.16503906,7420.55961168438,-0.557563637857186 
70000,121512942.248047,-2004014.66210938,7417.79634515685,-0.944847286204643 
80000,121341069.347656,-2833435.08935547,7408.31608679918,-1.33767054826164 
90000,121186727.571289,-3701323.92431641,7400.32580994511,-1.74940225337335 
100000,121015410.050293,-4758280.171875,7392.12749475364,-2.25168847247799 
110000,120768140.141113,-5914770.921875,7380.16266641193,-2.80389212137308 
120000,120564199.992676,-7180463.14257813,7371.91898960649,-3.40834869562761 
130000,120350480.227539,-8224452.01318359,7362.96714265205,-3.90937279231205 
140000,120104816.369629,-9567932.02294922,7354.06473567585,-4.55474530480506 
150000,119776555.672852,-10824173.1469727,7340.59571459168,-5.16377674290458 
160000,119406020.677734,-12089333.4892578,7325.44671150333,-5.7812450602365 
170000,119020726.474609,-13658811.9101563,7312.35115404834,-6.54662136274933 
180000,118869011.799805,-14578409.6577148,7309.77157473677,-6.99198927571294 
190000,118224798.769531,-16058833.5097656,7282.35565546694,-7.73531780750682 
200000,117836908.338379,-17274148.3383789,7269.2842717706,-8.33979887193695 
210000,117369130.094727,-18737655.7954102,7254.58092891836,-9.07056778349078 
220000,116937679.991699,-20136915.7802734,7242.58085482458,-9.77062845776241 
230000,116425239.65332,-21238600.5966797,7223.52285533695,-10.3383680327651 
240000,115857285.873535,-22456040.277832,7203.19178423401,-10.9693392133858 
250000,115468638.233398,-23895205.8662109,7197.19045637284,-11.6918162623248 
260000,114661708.071777,-25225156.3193359,7165.96849189743,-12.4072186036326 
270000,113991788.270996,-26664330.7807617,7145.53327434498,-13.1655966775529 
280000,113484338.807129,-28213366.355957,7137.59738298747,-13.9612744592247 
290000,112693538.652832,-29482279.1523438,7109.97135270895,-14.6608361154307 
300000,112381157.678223,-30139502.078125,7101.81235228203,-15.0128719560456 
310000,111519950.499023,-31593574.1621094,7074.72850966881,-15.817412770027 
320000,110953834.738281,-32540343.2827148,7057.53379222998,-16.3452639849053 
330000,110085270.080078,-33893330.550293,7030.53321546516,-17.1126843251329 
340000,109685124.776855,-34763650.2954102,7023.06113789595,-17.5855134354452 
350000,108615867.739258,-36312269.8061523,6990.26780341126,-18.4857236332861 
360000,108126727.21582,-37207705.0092773,6979.55107744584,-18.9889552743265 
370000,107290247.136719,-38263339.9638672,6952.6711595391,-19.627957889747 
380000,106268157.699219,-39751486.5141602,6925.24145485029,-20.5092002141454 
390000,105727660.879395,-40724651.4555664,6915.47957013341,-21.0659092318637 
400000,104809013.410645,-41798633.4360352,6887.19799490817,-21.7424902741686 
410000,104460360.942871,-42454162.3168945,6882.40036681871,-22.1175176076063 
420000,103054605.835938,-44458548.3520508,6850.52220193167,-23.3357382880568 
430000,101922586.886719,-45353669.8203125,6809.1627594119,-23.988181219221 
440000,101460154.875977,-46040164.6992188,6800.59219240695,-24.4073980694194 
450000,101134500.084473,-46433168.0483398,6792.47036809691,-24.6609403681151 
460000,99792758.5424805,-47168091.5512695,6737.17743203005,-25.2982498551389 
470000,99106439.1391602,-48061595.6342773,6722.94523602403,-25.8710322242424 
480000,98194221.3789063,-48901413.7119141,6695.58386785846,-26.4736278991501 
490000,97228951.4379883,-49756432.1455078,6666.5087940679,-27.1008704704682 
500000,96366136.5800781,-50642302.1958008,6644.65120679101,-27.7228101204397 
510000,95342304.1806641,-51439410.84375,6612.35973307272,-28.3479030875081 
