Barrido en frecuencia desde 10000 hasta 2000001 con incrementos 10000
Metodo usado: CA de 64 ciclos seguida de LI de 1 ciclo 
Formato: frecuencia,X,Y,R,phi 

10000,121714493.984375,-17423.6572265625,7429.08995217686,-0.00820199783333597 
20000,121699763.462891,-8652.6494140625,7428.19078771234,-0.00407363398325704 
30000,121729705.318848,-19527.6762695313,7430.01842616939,-0.00919129329536903 
40000,121738339.174805,-16384.6787109375,7430.54538269637,-0.00771139921498503 
50000,121703753.279297,22446.1518554688,7428.43442177795,0.0105672152122921 
60000,121750223.74707,7826.73583984375,7431.27072961467,0.00368326986651538 
70000,121744844.10791,179551.952636719,7430.95043863686,0.084501004588577 
80000,121712131.922363,42645.294921875,7428.94615884011,0.0200751993785213 
90000,121732065.396973,47228.7416992188,7430.16294190546,0.0222292082737797 
100000,121775191.941895,-131986.440917969,7432.79906423181,-0.0621001941014057 
110000,121697868.973145,-191005.195800781,7428.08428386401,-0.0899258359305257 
120000,121720966.818359,262753.479980469,7429.50226843987,0.123681584734179 
130000,121803977.586914,517735.127929688,7434.61884909112,0.24353768798314 
140000,121734742.774414,373588.752929688,7430.36079114501,0.175833054158466 
150000,121757263.759277,-31348.1879882813,7431.70066193438,-0.0147516359350454 
160000,121686406.018555,-527021.259765625,7427.4451290742,-0.248145261976964 
170000,121681058.433105,-981901.924804688,7427.2908770277,-0.462336667968341 
180000,121458331.365723,-1281341.47558594,7413.86700169615,-0.604427332687159 
190000,121675943.685547,-1218846.58349609,7427.10948325845,-0.573921412198096 
200000,121555367.696777,-948107.008300781,7419.60296401408,-0.446886300200119 
210000,121544379.479492,-726302.672363281,7418.83904620226,-0.342373564666803 
220000,121642843.777344,-274455.577636719,7424.73545920714,-0.12927287040143 
230000,121795811.525391,398898.0234375,7434.09312702209,0.187650882197834 
240000,121763734.924316,1096588.90869141,7432.3967830569,0.51598464705089 
250000,122042312.799805,1910553.74658203,7450.01169451293,0.89688340485427 
260000,122086060.861816,2566344.79052734,7453.41539801211,1.20422489005365 
270000,122031412.901855,3076001.59863281,7450.79955897928,1.44392818920545 
280000,122046005.89502,3444231.93261719,7452.29014902402,1.61650181852178 
290000,122086123.397461,3516303.57910156,7454.8631785867,1.64976712631839 
