Datos provenientes de SR865 
F,X,Y,R,T,



+1.000000e+04,+1.010739e+00,-1.558282e-02,+1.010859e+00,-8.832749e-01,
+2.000000e+04,+1.010660e+00,-2.457012e-02,+1.010959e+00,-1.392640e+00,
+3.000000e+04,+1.009882e+00,-4.200766e-02,+1.010755e+00,-2.381936e+00,
+4.000000e+04,+1.007902e+00,-5.987883e-02,+1.009679e+00,-3.399909e+00,
+5.000000e+04,+1.005022e+00,-7.786412e-02,+1.008034e+00,-4.430142e+00,
+6.000000e+04,+1.001584e+00,-9.574179e-02,+1.006150e+00,-5.460333e+00,
+7.000000e+04,+9.976016e-01,-1.132918e-01,+1.004014e+00,-6.478987e+00,
+8.000000e+04,+9.932548e-01,-1.300964e-01,+1.001739e+00,-7.462115e+00,
+9.000000e+04,+9.882010e-01,-1.470550e-01,+9.990827e-01,-8.464115e+00,
+1.000000e+05,+9.827196e-01,-1.635242e-01,+9.962319e-01,-9.447433e+00,
+1.100000e+05,+9.766323e-01,-1.796716e-01,+9.930219e-01,-1.042418e+01,
+1.200000e+05,+9.699672e-01,-1.956496e-01,+9.895025e-01,-1.140397e+01,
+1.300000e+05,+9.629017e-01,-2.111951e-01,+9.857906e-01,-1.237090e+01,
+1.400000e+05,+9.555241e-01,-2.262991e-01,+9.819561e-01,-1.332401e+01,
+1.500000e+05,+9.477066e-01,-2.410747e-01,+9.778880e-01,-1.427203e+01,
+1.600000e+05,+9.393767e-01,-2.555400e-01,+9.735139e-01,-1.521800e+01,
+1.700000e+05,+9.308879e-01,-2.695076e-01,+9.691164e-01,-1.614661e+01,
+1.800000e+05,+9.220124e-01,-2.830666e-01,+9.644862e-01,-1.706699e+01,
+1.900000e+05,+9.127166e-01,-2.962514e-01,+9.595918e-01,-1.798250e+01,
+2.000000e+05,+9.032072e-01,-3.088515e-01,+9.545535e-01,-1.887811e+01,
+2.100000e+05,+8.933886e-01,-3.211069e-01,+9.493433e-01,-1.976974e+01,
+2.200000e+05,+8.833960e-01,-3.328322e-01,+9.440158e-01,-2.064462e+01,
+2.300000e+05,+8.732534e-01,-3.441804e-01,+9.386328e-01,-2.151117e+01,
+2.400000e+05,+8.627195e-01,-3.553007e-01,+9.330184e-01,-2.238373e+01,
+2.500000e+05,+8.519796e-01,-3.658192e-01,+9.271963e-01,-2.323750e+01,
+2.600000e+05,+8.411659e-01,-3.758394e-01,+9.213117e-01,-2.407546e+01,
+2.700000e+05,+8.303882e-01,-3.853281e-01,+9.154356e-01,-2.489289e+01,
+2.800000e+05,+8.192490e-01,-3.945653e-01,+9.093133e-01,-2.571631e+01,
+2.900000e+05,+8.079914e-01,-4.033191e-01,+9.030595e-01,-2.652665e+01,
+3.000000e+05,+7.966698e-01,-4.116779e-01,+8.967505e-01,-2.732759e+01,
+3.100000e+05,+7.852519e-01,-4.195594e-01,+8.903093e-01,-2.811555e+01,
+3.200000e+05,+7.737840e-01,-4.270457e-01,+8.838041e-01,-2.889398e+01,
+3.300000e+05,+7.625864e-01,-4.340710e-01,+8.774711e-01,-2.964892e+01,
+3.400000e+05,+7.509540e-01,-4.409298e-01,+8.708335e-01,-3.041973e+01,
