Datos provenientes de SR865 
F,X,Y,R,T,



+1.000000e+04,+1.011577e+00,-8.002607e-04,+1.011578e+00,-4.532684e-02,
+2.000000e+04,+1.011574e+00,-8.181927e-04,+1.011574e+00,-4.634112e-02,
+3.000000e+04,+1.012079e+00,-3.082148e-03,+1.012084e+00,-1.744857e-01,
+4.000000e+04,+1.012058e+00,-5.477857e-03,+1.012072e+00,-3.101162e-01,
+5.000000e+04,+1.011868e+00,-7.792000e-03,+1.011898e+00,-4.412029e-01,
+6.000000e+04,+1.011710e+00,-9.957085e-03,+1.011759e+00,-5.638782e-01,
+7.000000e+04,+1.011624e+00,-1.202728e-02,+1.011696e+00,-6.811610e-01,
+8.000000e+04,+1.011587e+00,-1.405063e-02,+1.011684e+00,-7.957699e-01,
+9.000000e+04,+1.011525e+00,-1.603476e-02,+1.011652e+00,-9.081812e-01,
+1.000000e+05,+1.011436e+00,-1.799146e-02,+1.011596e+00,-1.019073e+00,
+1.100000e+05,+1.011290e+00,-1.996947e-02,+1.011487e+00,-1.131247e+00,
+1.200000e+05,+1.011046e+00,-2.197896e-02,+1.011285e+00,-1.245347e+00,
+1.300000e+05,+1.010809e+00,-2.400190e-02,+1.011094e+00,-1.360246e+00,
+1.400000e+05,+1.010685e+00,-2.597552e-02,+1.011019e+00,-1.472229e+00,
+1.500000e+05,+1.010519e+00,-2.794355e-02,+1.010906e+00,-1.583977e+00,
+1.600000e+05,+1.010342e+00,-2.994618e-02,+1.010786e+00,-1.697729e+00,
+1.700000e+05,+1.010292e+00,-3.188339e-02,+1.010795e+00,-1.807574e+00,
+1.800000e+05,+1.010242e+00,-3.381126e-02,+1.010808e+00,-1.916886e+00,
+1.900000e+05,+1.010193e+00,-3.578097e-02,+1.010827e+00,-2.028563e+00,
+2.000000e+05,+1.010141e+00,-3.773024e-02,+1.010845e+00,-2.139085e+00,
+2.100000e+05,+1.010010e+00,-3.967997e-02,+1.010789e+00,-2.249804e+00,
+2.200000e+05,+1.009861e+00,-4.160120e-02,+1.010717e+00,-2.358965e+00,
+2.300000e+05,+1.009858e+00,-4.354468e-02,+1.010796e+00,-2.469042e+00,
+2.400000e+05,+1.009827e+00,-4.549926e-02,+1.010851e+00,-2.579802e+00,
+2.500000e+05,+1.009718e+00,-4.738798e-02,+1.010829e+00,-2.687029e+00,
+2.600000e+05,+1.009528e+00,-4.933752e-02,+1.010733e+00,-2.797925e+00,
+2.700000e+05,+1.009436e+00,-5.127675e-02,+1.010738e+00,-2.907979e+00,
+2.800000e+05,+1.009335e+00,-5.329241e-02,+1.010741e+00,-3.022384e+00,
+2.900000e+05,+1.009162e+00,-5.522436e-02,+1.010672e+00,-3.132273e+00,
+3.000000e+05,+1.008954e+00,-5.719355e-02,+1.010574e+00,-3.244394e+00,
+3.100000e+05,+1.008695e+00,-5.917915e-02,+1.010429e+00,-3.357639e+00,
+3.200000e+05,+1.008481e+00,-6.111611e-02,+1.010331e+00,-3.468004e+00,
+3.300000e+05,+1.008383e+00,-6.311973e-02,+1.010356e+00,-3.581756e+00,
+3.400000e+05,+1.008253e+00,-6.506430e-02,+1.010350e+00,-3.692274e+00,
