Barrido en f -> f_inicial:10000, f_final:500000, step: 10
Parametros -> M:128,	N:256, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

10000.000000,121751884.294983,-5594.877686,7431.372077,-0.002633
10009.765625,121750149.604187,-5648.057800,7431.266197,-0.002658
10020.380435,121749732.238922,-5564.182526,7431.240722,-0.002619
10044.642857,121750113.363251,-5419.970886,7431.263984,-0.002551
10069.444444,121747703.670288,-5079.192535,7431.116903,-0.002390
10080.645161,121747011.554047,-5307.815369,7431.074659,-0.002498
10091.145833,121746703.253601,-5732.774414,7431.055842,-0.002698
10099.085366,121746178.450714,-5433.221985,7431.023809,-0.002557
10110.294118,121745125.478577,-5170.292023,7430.959538,-0.002433
10120.738636,121745287.106628,-4772.826416,7430.969402,-0.002246
10127.314815,121743645.552704,-5422.545227,7430.869208,-0.002552
10139.627660,121743615.174316,-4947.910004,7430.867353,-0.002329
10156.250000,121744102.225800,-5271.360382,7430.897082,-0.002481
10174.418605,121741747.743622,-3591.970703,7430.753368,-0.001691
10179.924242,121741406.813080,-5102.153748,7430.732561,-0.002401
10190.217391,121742418.820679,-4707.784607,7430.794330,-0.002216
10199.652778,121741280.744354,-4943.194458,7430.724866,-0.002327
10204.081633,121740327.414307,-4101.686584,7430.666676,-0.001930
10216.346154,121741654.184479,-4878.126617,7430.747660,-0.002296
10230.654762,121740751.855316,-3655.728088,7430.692582,-0.001721
10237.068966,121739296.789612,-4367.262054,7430.603770,-0.002055
10253.906250,121739848.941956,-3859.634857,7430.637471,-0.001817
10267.857143,121737635.107880,-3843.646271,7430.502345,-0.001809
10279.605263,121737293.071686,-3156.679688,7430.481467,-0.001486
10289.634146,121738597.385376,-3440.347229,7430.561079,-0.001619
10298.295455,121739591.412323,-3293.732086,7430.621751,-0.001550
10312.500000,121736756.435394,-3503.497345,7430.448713,-0.001649
10323.660714,121739191.965363,-2774.698029,7430.597369,-0.001306
10332.661290,121737672.838318,-3175.134094,7430.504647,-0.001494
10340.073529,121739498.869232,-3236.013092,7430.616102,-0.001523
10351.562500,121737983.115601,-2242.421204,7430.523584,-0.001055
10360.054348,121738154.236755,-2868.985962,7430.534029,-0.001350
10363.520408,121734886.612152,-3087.224762,7430.334584,-0.001453
10416.666667,121735029.262817,-2732.085510,7430.343290,-0.001286
10472.074468,121736452.120483,-2949.290070,7430.430137,-0.001388
10480.182927,121735452.836761,-2798.721924,7430.369144,-0.001317
10491.071429,121735436.167267,-2778.745056,7430.368126,-0.001308
10498.046875,121734920.065155,-3614.480591,7430.336626,-0.001701
10506.465517,121734999.627380,-3016.316162,7430.341482,-0.001420
10516.826923,121735850.298615,-3525.247437,7430.393405,-0.001659
10529.891304,121735377.291534,-3460.430023,7430.364534,-0.001629
