Barrido en f -> f_inicial:10000, f_final:1000000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi

9999.945312,121653651.138250,42203.043437,0.928172,-0.000152
10999.962891,121653967.677460,47874.046131,0.928175,0.000514
11999.979492,121648289.532606,54659.467844,0.928131,0.001701
12999.996094,121654265.712736,52232.925777,0.928177,-0.001444
13999.939453,121652304.210570,58546.371834,0.928162,-0.000477
14999.956055,121650739.330943,60029.482679,0.928150,-0.001799
15999.972656,121653458.557650,69002.537450,0.928171,0.000453
16999.990234,121649118.570123,79363.438961,0.928138,0.003318
17999.931641,121655038.867975,64522.334590,0.928183,-0.005699
18999.949219,121651156.055813,80281.759173,0.928153,-0.000265
19999.966797,121652146.408562,87195.226125,0.928161,0.001011
20999.982422,121654281.766111,89482.065363,0.928177,0.000067
22000.000000,121652649.893434,87510.466758,0.928165,-0.002900
22999.941406,121651750.434054,97758.856321,0.928158,-0.000105
23999.958984,121654326.411610,97589.448661,0.928177,-0.002183
24999.976562,121652270.820312,110312.675547,0.928162,0.001884
25999.992188,121661449.213862,97824.084098,0.928232,-0.006087
26999.935547,121652367.902886,119920.114411,0.928163,0.002350
27999.953125,121661484.018463,108503.743087,0.928232,-0.005003
28999.968750,121648300.978251,138419.625374,0.928132,0.006973
29999.986328,121647388.555264,138792.051373,0.928125,0.005226
30999.929688,121659694.566169,116509.751405,0.928219,-0.007329
31999.945312,121653573.581900,138373.073400,0.928172,0.000977
32999.960938,121654278.916263,144148.741570,0.928177,0.001790
33999.980469,121655386.277837,152453.745006,0.928186,0.003678
34999.996094,121649383.734660,155826.846002,0.928140,0.003119
35999.937500,121646979.664642,157743.002700,0.928122,0.001993
36999.957031,121651275.477743,171021.350676,0.928155,0.006370
37999.972656,121653051.572854,161665.113051,0.928168,-0.000013
38999.988281,121656769.689214,164686.711639,0.928197,-0.000674
39999.933594,121654904.040625,171302.639375,0.928183,0.000565
40999.949219,121653941.710058,181517.515311,0.928175,0.003069
41999.964844,121655434.015881,179263.830555,0.928187,0.000275
42999.984375,121666080.856605,155161.794920,0.928268,-0.013259
44000.000000,121646345.667812,201285.931940,0.928118,0.006576
44999.941406,121655809.415694,192447.746590,0.928190,0.000419
45999.960938,121649058.195630,215879.135116,0.928138,0.009381
46999.976562,121654079.231312,221220.838155,0.928177,0.009716
47999.992188,121651108.700465,220367.328334,0.928154,0.007500
48999.933594,121664558.011332,185440.447626,0.928256,-0.010848
49999.953125,121653292.796875,218061.745625,0.928171,0.002561
50999.968750,121663795.272394,197500.439114,0.928251,-0.009175
51999.984375,121655621.093110,231570.536562,0.928189,0.004748
52999.929688,121641447.194932,237797.270123,0.928081,0.005474
53999.945312,121661072.579480,235488.839015,0.928230,0.002642
54999.960938,121652939.135270,228281.927295,0.928168,-0.003138
55999.980469,121663823.755513,229325.570879,0.928251,-0.004521
56999.996094,121658089.392412,242862.949768,0.928208,-0.000069
57999.937500,121636862.316963,284099.775643,0.928046,0.017379
58999.957031,121653502.601032,265753.261615,0.928173,0.006653
59999.972656,121664975.870992,243661.617476,0.928260,-0.005905
60999.988281,121656159.196340,267023.938048,0.928193,0.002886
61999.933594,121664842.908739,250645.847123,0.928259,-0.006363
62999.949219,121659846.730065,251791.684977,0.928221,-0.008180
63999.964844,121656310.029400,271995.422800,0.928195,-0.000286
64999.984375,121667688.359537,277423.927280,0.928282,-0.000259
66000.000000,121662978.250206,254002.996493,0.928245,-0.013018
66999.945312,121661612.071189,282038.670017,0.928235,-0.001594
67999.960938,121648938.045261,296241.205270,0.928139,0.003281
68999.976562,121650428.860931,315908.481026,0.928151,0.009704
