Barrido en f -> f_inicial:10, f_final:400, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

9.998933,121704161.095276,-4087.910767,7428.459191,-0.001925
19.997867,121702130.202942,-4188.169983,7428.335232,-0.001972
30.001920,121700666.138306,-4629.623413,7428.245871,-0.002180
40.003765,121701530.909485,-4694.046326,7428.298654,-0.002210
50.000000,121701967.991394,-4046.110901,7428.325331,-0.001905
60.000662,121702119.167358,-3830.846985,7428.334558,-0.001804
69.996387,121702519.117859,-4753.565796,7428.358972,-0.002238
80.000883,121702074.445740,-4039.142517,7428.331829,-0.001902
89.994552,121701764.753174,-4166.272888,7428.312926,-0.001961
100.000000,121701476.729614,-4376.874084,7428.295346,-0.002061
110.000782,121702093.803528,-4124.515625,7428.333010,-0.001942
120.001324,121701540.502502,-5017.893799,7428.299240,-0.002362
130.001981,121701419.202576,-4718.909363,7428.291836,-0.002222
140.000734,121701488.592957,-4644.215210,7428.296071,-0.002187
150.000000,121701120.418396,-5165.532166,7428.273600,-0.002432
160.001766,121701262.666321,-5760.510071,7428.282284,-0.002712
170.001209,121702285.768982,-6412.214172,7428.344733,-0.003019
179.993873,121701902.945190,-4610.338867,7428.321362,-0.002171
189.992704,121700812.202637,-6930.399536,7428.254793,-0.003263
200.000000,121700466.671204,-7976.161682,7428.233707,-0.003755
210.013441,121701893.273865,-7908.405396,7428.320782,-0.003723
219.994849,121700490.427063,-9739.274597,7428.235164,-0.004585
230.001207,121700280.032654,-10754.772034,7428.222328,-0.005063
240.002648,121700774.416199,-12469.757385,7428.252514,-0.005871
250.000000,121701350.878174,-12526.423767,7428.287699,-0.005897
259.993912,121702188.064270,-15134.096558,7428.338817,-0.007125
269.990809,121702090.924011,-16827.248047,7428.332901,-0.007922
279.993444,121702810.156372,-19611.512939,7428.376826,-0.009233
290.009470,121702568.165405,-22171.063293,7428.362083,-0.010438
300.009796,121702868.586243,-24871.220093,7428.380452,-0.011709
310.019841,121701584.086731,-27951.104065,7428.302090,-0.013159
320.003531,121702247.780518,-30683.164429,7428.342640,-0.014446
330.010776,121703084.030884,-34411.077209,7428.393743,-0.016201
339.988426,121701970.621948,-37338.219421,7428.325837,-0.017579
349.981936,121701088.346619,-41496.482971,7428.272068,-0.019537
359.987745,121702338.073242,-46016.936279,7428.348446,-0.021665
370.001941,121702244.131897,-50565.173279,7428.342823,-0.023806
379.985409,121702402.872559,-53849.017273,7428.352598,-0.025352
389.426764,121702363.686707,-58248.078552,7428.350330,-0.027423
400.037651,121701950.102783,-62984.216431,7428.325230,-0.029653
