Barrido en f -> f_inicial:1000, f_final:250000, step: 10
Parametros -> M:128,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

1000.000000,121710901.558105,-633817.419678,7428.971335,-0.298378
1009.980989,121736743.520264,-659275.450439,7430.556883,-0.310296
1020.029674,121679556.697998,-718921.350586,7427.087038,-0.338528
1030.006219,121633562.465088,-729128.133789,7424.283444,-0.343464
1039.975649,121655492.060547,-719641.847412,7425.618490,-0.338934
1049.971526,121712723.902344,-727987.905029,7429.114719,-0.342703
1059.987437,121641917.293457,-785011.796387,7424.814618,-0.369762
1069.972826,121620055.700928,-819006.224854,7423.493962,-0.385843
1079.963235,121645366.042236,-851469.390869,7425.052399,-0.401053
1090.116279,121697007.853271,-830044.722900,7428.195350,-0.390796
1100.035920,121643162.460938,-846783.819824,7424.915906,-0.398853
1109.972678,121694769.344238,-855697.591553,7428.069566,-0.402881
1119.973776,121630000.548096,-857026.975342,7424.116940,-0.403722
1129.987531,121672351.667969,-918081.297363,7426.729046,-0.432331
1140.021459,121653167.487793,-934475.486816,7425.565753,-0.440120
1149.970794,121713648.584961,-936837.110107,7429.258338,-0.441013
1160.037879,121703426.871826,-971011.818604,7428.650803,-0.457139
1169.987923,121680625.261963,-950029.586670,7427.248995,-0.447345
1180.013021,121658316.361328,-985020.883545,7425.904353,-0.463906
1189.983444,121659948.866699,-1012060.551270,7426.017538,-0.476633
1200.039185,121654529.294922,-1024941.888916,7425.693338,-0.482721
1210.016835,121727514.239258,-1059819.316895,7430.166192,-0.498847
1219.969970,121631601.085938,-1106345.002686,7424.337447,-0.521156
1229.956268,121658844.469971,-1013397.197266,7425.950811,-0.477267
1240.079365,121589101.784180,-1143746.667969,7421.764646,-0.538962
1250.000000,121713979.402344,-1178636.744141,7429.406783,-0.554832
1260.080645,121664061.663330,-1140328.562500,7426.337813,-0.537020
1270.012315,121644538.052734,-1151921.492920,7425.152869,-0.542566
1280.014124,121621170.234131,-1191442.913330,7423.749869,-0.561288
1289.914330,121628425.188965,-1189030.050537,7424.191228,-0.560118
1298.753197,121677697.572998,-1225809.330566,7427.220799,-0.577208
1310.022866,121630231.914795,-1261469.524414,7424.346038,-0.594231
1320.043103,121627144.297119,-1242365.164062,7424.145587,-0.585247
1329.787234,121731989.378662,-1298920.135254,7430.580714,-0.611360
1340.008091,121615343.199463,-1359500.208496,7423.501796,-0.640484
1350.035411,121631968.992432,-1291113.716064,7424.471043,-0.608185
1359.953704,121707187.581299,-1414803.154541,7429.145823,-0.666033
1369.964455,121656152.306396,-1337844.614746,7425.977854,-0.630071
1379.985755,121647257.173340,-1444341.034668,7425.509283,-0.680272
1389.953988,121670112.024658,-1433483.603760,7426.896340,-0.675032
