Barrido en f -> f_inicial:10, f_final:100000, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

9.998933,121662440.463135,-5017.077759,7425.912691,-0.002363
19.997867,121719700.610535,6591.196777,7429.407684,0.003103
30.001920,121689189.971008,-46860.764221,7427.545945,-0.022064
40.003765,121686407.051453,-180293.949158,7427.383686,-0.084893
50.000000,121695541.595581,-241010.779541,7427.947645,-0.113474
60.000662,121663462.683533,-371553.059448,7426.009707,-0.174983
69.996387,121690629.560425,-516382.263428,7427.700135,-0.243135
80.000883,121679165.899170,-625055.042297,7427.031545,-0.294329
89.994552,121692508.055359,-744599.098511,7427.886961,-0.350581
100.000000,121667354.018311,-949761.578064,7426.438855,-0.447267
110.000782,121665403.879761,-1075103.952820,7426.383489,-0.506299
120.001324,121661405.305176,-1231231.055664,7426.229759,-0.579839
130.001981,121694368.217712,-1302398.306152,7428.286830,-0.613186
140.000734,121644003.922424,-1507725.086060,7425.357669,-0.710141
150.000000,121659337.450684,-1671896.170898,7426.424444,-0.787357
160.001766,121661751.967468,-1788908.531128,7426.673377,-0.842439
170.001209,121630033.913452,-1970006.065552,7424.908394,-0.927949
179.993873,121624880.328857,-2099573.111877,7424.726165,-0.989010
189.992704,121591877.587402,-2280137.835266,7422.910533,-1.074338
200.000000,121601771.989746,-2410762.715332,7423.668105,-1.135777
210.013441,121612861.538879,-2530712.881165,7424.493559,-1.192164
219.994849,121572708.397400,-2740253.849915,7422.320456,-1.291269
230.001207,121584355.292419,-2868576.386169,7423.211779,-1.351586
240.002648,121609615.682068,-3038276.239258,7425.004650,-1.431214
250.000000,121535624.504944,-3165354.517395,7420.687754,-1.491956
259.993912,121511429.926270,-3304297.823669,7419.437179,-1.557724
269.990809,121553938.491699,-3471332.475891,7422.314858,-1.635854
279.993444,121509984.344177,-3614032.394653,7419.886957,-1.703678
290.009470,121545105.280823,-3701697.307129,7422.190645,-1.744475
300.009796,121508242.611267,-3917551.957764,7420.354575,-1.846690
310.019841,121491498.888184,-4119499.722107,7419.740608,-1.942082
320.003531,121475580.205078,-4222661.610352,7418.985618,-1.990939
330.010776,121458141.595520,-4360877.582886,7418.219773,-2.056346
339.988426,121467822.158264,-4509464.693420,7419.141194,-2.126179
349.981936,121394727.804565,-4635761.557251,7414.972969,-2.186985
359.987745,121395649.167664,-4867522.766602,7415.582442,-2.296190
370.001941,121417010.547302,-5010526.609924,7417.239997,-2.363159
379.985409,121439839.423218,-5178597.887207,7419.062201,-2.441875
389.426764,121414231.575562,-5306262.401917,7417.836736,-2.502524
400.037651,121354564.989807,-5451474.759399,7414.590809,-2.572181
410.007156,121342575.565125,-5546089.260193,7414.121179,-2.617019
