Barrido en f -> f_inicial:10, f_final:40000, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

9.998933,121698747.393921,-7997.830750,7428.128767,-0.003765
19.997867,121692429.941101,-23676.271729,7427.743293,-0.011148
30.001920,121688989.994080,-75454.622986,7427.534616,-0.035528
40.003765,121685125.414368,-161695.406616,7427.303863,-0.076137
50.000000,121681481.759277,-268727.243042,7427.093020,-0.126538
60.000662,121678246.445618,-388800.366943,7426.915349,-0.183083
69.996387,121674263.174133,-517148.447083,7426.701387,-0.243528
80.000883,121676177.368225,-652781.906250,7426.858023,-0.307393
89.994552,121671989.391418,-792445.570312,7426.653032,-0.373171
100.000000,121665352.202393,-933028.209595,7426.308771,-0.439395
110.000782,121660309.955811,-1078846.010681,7426.074605,-0.508083
120.001324,121654435.247498,-1225662.284912,7425.800918,-0.577250
130.001981,121652202.408386,-1372177.151794,7425.760119,-0.646260
140.000734,121645923.763733,-1523991.144836,7425.487212,-0.717790
150.000000,121639270.495728,-1668898.603394,7425.197220,-0.786076
160.001766,121631076.414673,-1817841.734558,7424.827416,-0.856278
170.001209,121632273.223328,-1969867.653259,7425.044920,-0.927867
179.993873,121617365.406738,-2118438.464661,7424.287510,-0.997957
189.992704,121610183.595581,-2269251.285156,7424.015254,-1.069049
200.000000,121602810.995667,-2421210.599609,7423.744178,-1.140688
210.013441,121593548.324097,-2573253.668762,7423.369478,-1.212391
219.994849,121585469.749512,-2723722.736389,7423.076507,-1.283347
230.001207,121575613.686829,-2883481.193420,7422.699881,-1.358703
240.002648,121567295.263977,-3029650.796082,7422.409209,-1.427649
250.000000,121556852.588928,-3179665.230591,7422.005803,-1.498437
259.993912,121545671.450928,-3332986.081482,7421.574199,-1.570799
269.990809,121535320.035095,-3485138.444397,7421.203013,-1.642608
279.993444,121523725.988708,-3637407.745300,7420.767885,-1.714497
290.009470,121513344.712036,-3789199.528381,7420.417519,-1.786151
300.009796,121498494.802734,-3939642.792725,7419.803483,-1.857245
310.019841,121487645.897949,-4090803.826721,7419.446417,-1.928626
320.003531,121476412.875732,-4240887.314514,7419.075141,-1.999511
330.010776,121461729.206848,-4394175.510315,7418.511810,-2.071973
339.988426,121448458.057617,-4545812.867981,7418.042733,-2.143642
349.981936,121435644.583069,-4698587.563904,7417.615861,-2.215848
359.987745,121419438.476257,-4856938.249695,7417.007454,-2.290753
370.001941,121403959.425842,-5020441.985718,7416.469054,-2.368084
379.985409,121390897.876831,-5164597.448975,7416.041296,-2.436262
389.426764,121375916.002075,-5309947.342407,7415.510125,-2.505049
400.037651,121361414.590027,-5472692.898621,7415.066696,-2.582033
410.007156,121345644.232605,-5623536.468628,7414.525619,-2.653445
