Barrido en f -> f_inicial:10, f_final:40000, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

9.998933,121708554.034607,13944.966736,7428.727368,0.006565
19.997867,121716336.576782,-24629.689453,7429.202495,-0.011594
30.001920,121698593.031555,-28281.598938,7428.119530,-0.013315
40.003765,121720017.695740,-157796.148254,7429.433270,-0.074280
50.000000,121727749.080200,-265859.248413,7429.916648,-0.125140
60.000662,121706404.473267,-368714.302429,7428.630207,-0.173584
69.996387,121693708.784119,-516929.262573,7427.888222,-0.243386
80.000883,121652219.639343,-654600.071472,7425.396332,-0.308310
89.994552,121688622.335388,-753488.349792,7427.653132,-0.354778
100.000000,121702792.302917,-964741.101135,7428.609028,-0.454189
110.000782,121714997.364685,-1112799.399353,7429.431088,-0.523837
120.001324,121669372.188171,-1213459.089600,7426.705112,-0.571432
130.001981,121640594.828735,-1382082.229004,7425.058516,-0.650987
140.000734,121731858.605103,-1523879.099548,7430.731922,-0.717231
150.000000,121633309.023071,-1677371.836304,7424.840497,-0.790105
160.001766,121655597.066833,-1825860.507019,7426.331245,-0.859881
170.001209,121628166.385864,-1998272.359192,7424.822562,-0.941276
179.993873,121603353.654846,-2126901.766296,7423.441420,-1.002058
189.992704,121589273.825378,-2212884.806030,7422.675805,-1.042680
200.000000,121596777.037720,-2420296.516968,7423.374846,-1.140314
210.013441,121599349.953857,-2538098.558838,7423.678425,-1.195775
219.994849,121617301.401550,-2684832.500183,7424.966159,-1.264698
230.001207,121561910.976318,-2844758.506287,7421.808072,-1.340615
240.002648,121562425.338013,-3046497.085083,7422.137745,-1.435641
250.000000,121541283.004578,-3177649.294373,7421.052590,-1.497679
259.993912,121542211.614624,-3287849.009827,7421.288090,-1.549581
269.990809,121541332.067261,-3479956.265869,7421.560759,-1.640086
279.993444,121540032.633179,-3602590.665344,7421.699481,-1.697868
290.009470,121527111.393555,-3795913.309937,7421.270170,-1.789111
300.009796,121502976.112427,-3969183.718262,7420.135517,-1.871093
310.019841,121474398.154541,-4029019.424377,7418.512304,-1.899726
320.003531,121484244.772461,-4208404.509216,7419.483980,-1.984081
330.010776,121433569.469727,-4407524.908630,7416.823658,-2.078743
339.988426,121425248.381775,-4544452.351746,7416.623969,-2.143410
349.981936,121436135.442871,-4693479.651306,7417.633752,-2.213433
359.987745,121390024.855286,-4848194.909424,7415.192253,-2.287187
370.001941,121421058.580750,-5048132.390686,7417.581860,-2.380796
379.985409,121400638.959656,-5143469.358643,7416.580625,-2.426113
389.426764,121380021.677612,-5298523.975769,7415.730043,-2.499583
400.037651,121367018.077271,-5417343.524841,7415.256954,-2.555836
410.007156,121377174.061035,-5617200.478699,7416.430154,-2.649772
