Barrido en f -> f_inicial:5000, f_final:500000, step: 10
Parametros -> M:128,	N:128, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

5000.000000,121495594.328491,-2944134.196960,7417.905873,-1.388186
5010.190217,121498592.324219,-2951905.837219,7418.100314,-1.391814
5022.321429,121508874.249939,-2968591.424255,7418.752511,-1.399560
5029.965753,121502103.617554,-2973808.160828,7418.347159,-1.402096
5040.322581,121488902.099304,-2995211.945618,7417.573703,-1.412337
5049.542683,121494280.187866,-2997379.752686,7417.905128,-1.413297
5060.369318,121493115.722046,-3006703.893982,7417.848133,-1.417705
5069.813830,121492317.415161,-3022507.751160,7417.823349,-1.425163
5078.125000,121496908.685547,-3025403.865662,7418.107899,-1.426474
5089.962121,121489901.428650,-3038281.836487,7417.699939,-1.432626
5099.826389,121488685.602600,-3048147.008423,7417.640830,-1.437290
5108.173077,121492221.811584,-3046777.317749,7417.854505,-1.436603
5118.534483,121490655.033569,-3062342.334290,7417.782783,-1.443957
5129.419192,121487526.095337,-3075594.115540,7417.612289,-1.450240
5139.802632,121482165.770996,-3076860.368591,7417.287172,-1.450901
5149.147727,121492523.689453,-3092263.702271,7417.943048,-1.458037
5159.198113,121479840.458008,-3109144.949524,7417.195443,-1.466147
5170.036765,121491154.590698,-3121456.684998,7417.905061,-1.471813
5180.027174,121481883.131409,-3132933.522278,7417.357372,-1.477335
5181.760204,121478410.372864,-3120433.314148,7417.125844,-1.471485
5208.333333,121477088.050232,-3149193.514038,7417.090446,-1.485057
5235.180412,121480970.766724,-3184697.168030,7417.383830,-1.501744
5240.091463,121478288.221680,-3184842.620667,7417.220384,-1.501846
5249.023438,121473377.148315,-3196257.454224,7416.939024,-1.507287
5261.479592,121478124.147461,-3204405.493408,7417.241764,-1.511068
5271.084337,121476620.119202,-3240919.733704,7417.209099,-1.528298
5278.716216,121481323.942688,-3212425.486450,7417.449926,-1.514809
5289.713542,121477768.841248,-3232013.132874,7417.264710,-1.524085
5301.339286,121471560.113586,-3241066.540588,7416.900600,-1.528431
5308.493590,121470895.407532,-3252348.222900,7416.878442,-1.533757
5319.148936,121471290.542969,-3258335.321838,7416.912341,-1.536574
5330.882353,121474904.895813,-3279023.940247,7417.166838,-1.546280
5340.189873,121473975.775940,-3288595.225342,7417.125935,-1.550803
5349.864130,121471962.294739,-3294960.037903,7417.013606,-1.553828
5359.738372,121469339.752380,-3301678.693665,7416.864724,-1.557029
5371.093750,121474579.788025,-3308914.190857,7417.196455,-1.560372
5379.098361,121468309.044922,-3320191.752197,7416.832625,-1.565768
5391.725352,121469889.734192,-3323584.675598,7416.934731,-1.567347
5399.816176,121463508.568237,-3342979.719727,7416.577865,-1.576572
