Barrido en f -> f_inicial:5000, f_final:500000, step: 10
Parametros -> M:128,	N:128, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

5000.000000,121546447.911316,-2937710.909973,7420.999430,-1.384579
5010.190217,121537346.090515,-2956968.035156,7420.472540,-1.393756
5022.321429,121555145.708496,-2936865.425720,7421.528916,-1.384081
5029.965753,121523846.397949,-2941080.342102,7419.625277,-1.386424
5040.322581,121535645.491882,-2966405.366577,7420.382804,-1.398222
5049.542683,121543622.118469,-3000845.447815,7420.921115,-1.414356
5060.369318,121540836.183899,-2999459.463806,7420.749034,-1.413735
5069.813830,121520711.440491,-3025290.374451,7419.560125,-1.426141
5078.125000,121541149.817871,-3026776.070618,7420.809494,-1.426601
5089.962121,121530142.579163,-3026113.067871,7420.136845,-1.426418
5099.826389,121520727.705017,-3020828.462708,7419.554345,-1.424038
5108.173077,121525151.451599,-3047050.268311,7419.864219,-1.436342
5118.534483,121528327.247437,-3053209.809265,7420.067432,-1.439207
5129.419192,121540111.419617,-3057887.017517,7420.793650,-1.441271
5139.802632,121525644.465576,-3072362.296997,7419.933187,-1.448263
5149.147727,121524704.639465,-3075414.949707,7419.880553,-1.449713
5159.198113,121527129.600891,-3079735.762817,7420.035195,-1.451720
5170.036765,121528060.543884,-3099260.501648,7420.122285,-1.460908
5180.027174,121506543.291992,-3106726.860718,7418.820997,-1.464685
5181.760204,121510837.565491,-3108853.039551,7419.086339,-1.465635
5208.333333,121513107.474182,-3128410.314941,7419.255469,-1.474824
5235.180412,121500059.474182,-3160760.313293,7418.510409,-1.490227
5240.091463,121514016.178040,-3149925.875854,7419.344830,-1.484951
5249.023438,121516839.696838,-3183212.816711,7419.570038,-1.500601
5261.479592,121512922.585449,-3190664.213745,7419.342955,-1.504161
5271.084337,121512957.061279,-3235931.734314,7419.418098,-1.525491
5278.716216,121520084.175354,-3201125.878723,7419.796714,-1.509002
5289.713542,121525352.396912,-3220582.985779,7420.149526,-1.518104
5301.339286,121506922.614197,-3233069.770081,7419.045256,-1.524218
5308.493590,121512746.267822,-3253599.826477,7419.434023,-1.533819
5319.148936,121520626.167847,-3244527.158691,7419.900016,-1.529444
5330.882353,121492543.664062,-3258028.268616,7418.208599,-1.536160
5340.189873,121499893.296448,-3267626.351135,7418.672764,-1.540591
5349.864130,121501726.623047,-3282237.754578,7418.808654,-1.547453
5359.738372,121493780.900391,-3284908.023926,7418.328251,-1.548812
5371.093750,121500508.048340,-3283345.522217,7418.736130,-1.547990
5379.098361,121492985.587036,-3307194.992615,7418.316617,-1.559326
5391.725352,121485990.016602,-3310289.198608,7417.894928,-1.560874
5399.816176,121508500.610840,-3307308.985046,7419.263447,-1.559180
